customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag,total_orders,total_revenue,total_margin,recent_order_count,recent_revenue,recent_avg_discount,recent_avg_shipping_days,recent_last_order,days_since_last_order,order_velocity,revenue_90d_target
CUS-000011,Customer 00011,Mid-Market,Retail,Middle East & Africa,Country-11,2024-04-06 00:00:00+00:00,22889,10825765,58.21,24.82,70.26,1,8.0,850058.59,382456.37,1,85846.95,0.1206,4.0,2026-04-15 00:00:00+00:00,111,0.0721,93882.52
CUS-000012,Customer 00012,SMB,Logistics,North America,Country-12,2024-01-09 00:00:00+00:00,7592,3871325,50.14,32.18,60.88,1,5.0,512398.52,240307.75,1,97608.69,0.1586,2.0,2026-02-19 00:00:00+00:00,166,0.0301,84565.22
CUS-000013,Customer 00013,Mid-Market,Telecom,Middle East & Africa,Country-13,2024-03-07 00:00:00+00:00,15362,9145346,49.4,27.86,75.1,1,10.0,1291064.36,635815.88,1,1035.28,0.0665,17.0,2026-03-18 00:00:00+00:00,139,0.0719,1290.89
CUS-000014,Customer 00014,SMB,Technology,North America,Country-14,2024-07-27 00:00:00+00:00,3438,4831241,39.25,6.85,89.87,1,2.0,380706.74,153787.19,1,170479.63,0.0581,5.0,2026-04-09 00:00:00+00:00,117,0.0171,168101.0
CUS-000015,Customer 00015,Mid-Market,Healthcare,Europe,Country-15,2023-02-27 00:00:00+00:00,11414,2922644,66.59,25.63,78.54,1,8.0,340148.43,146698.96,0,0.0,0.0,0.0,Unknown,999,0.008,0.0
CUS-000016,Customer 00016,Enterprise,Education,North America,Country-16,2024-06-11 00:00:00+00:00,20870,861693126,73.51,71.88,33.3,0,49.0,4941975.86,1976373.92,9,1257247.58,0.0821555555555555,10.11111111111111,2026-08-02 00:00:00+00:00,2,24.5,1381821.9
CUS-000017,Customer 00017,Mid-Market,Telecom,Middle East & Africa,Country-17,2023-07-18 00:00:00+00:00,16809,9372945,59.58,22.64,79.09,1,9.0,584687.12,219704.56,1,193819.67,0.0,13.0,2026-04-18 00:00:00+00:00,108,0.0833,250896.58
CUS-000018,Customer 00018,Enterprise,Education,Middle East & Africa,Country-18,2024-12-10 00:00:00+00:00,7083,496543927,58.25,50.15,56.2,0,47.0,5027486.88,2069352.79,14,1922766.89,0.0733428571428571,12.214285714285714,2026-07-22 00:00:00+00:00,13,3.6154,1898932.81
CUS-000019,Customer 00019,SMB,Manufacturing,Asia Pacific,Country-19,2023-06-25 00:00:00+00:00,24297,1542508,43.56,16.38,79.31,1,6.0,336061.63,136370.72999999998,1,161920.94,0.0846,19.0,2026-05-10 00:00:00+00:00,86,0.0698,167806.56
CUS-000020,Customer 00020,Mid-Market,Technology,North America,Country-20,2023-03-05 00:00:00+00:00,20061,19483454,52.43,30.05,59.82,1,5.0,620687.62,274765.55,1,107103.49,0.1476,15.0,2026-07-10 00:00:00+00:00,25,0.2,120736.44
CUS-000021,Customer 00021,SMB,Finance,North America,Country-21,2024-01-27 00:00:00+00:00,10074,3404876,39.18,21.18,74.09,1,7.0,380668.7400000001,120685.45,2,128804.92,0.05495,11.5,2026-07-28 00:00:00+00:00,7,1.0,99302.67
CUS-000022,Customer 00022,Mid-Market,Government,Europe,Country-22,2024-02-01 00:00:00+00:00,24336,15959285,50.42,21.26,84.81,1,8.0,915542.43,426937.25,1,309462.84,0.1094,8.0,2026-03-27 00:00:00+00:00,130,0.0615,370089.4
CUS-000023,Customer 00023,SMB,Technology,Europe,Country-23,2024-04-11 00:00:00+00:00,4703,3755830,43.62,25.3,87.79,1,5.0,251539.62,112223.2,1,3908.85,0.036,2.0,2026-06-21 00:00:00+00:00,44,0.1136,5065.2
CUS-000024,Customer 00024,SMB,Logistics,North America,Country-00,2025-02-13 00:00:00+00:00,8315,1482477,31.84,0.0,100.0,1,5.0,315813.96,126282.17,1,4425.96,0.0246,4.0,2026-08-01 00:00:00+00:00,3,1.6667,5478.25
CUS-000025,Customer 00025,SMB,Retail,Asia Pacific,Country-01,2024-09-21 00:00:00+00:00,23265,2159085,44.17,11.27,87.56,1,4.0,504014.09,210291.72,1,23045.66,0.0956,13.0,2026-02-27 00:00:00+00:00,158,0.0253,27324.5
CUS-000026,Customer 00026,Enterprise,Energy,Asia Pacific,Country-02,2023-11-23 00:00:00+00:00,24256,991244583,66.89,61.09,45.87,0,47.0,5342031.26,2084185.1,10,1725931.66,0.0473,12.7,2026-06-30 00:00:00+00:00,35,1.3429,1828733.49
CUS-000027,Customer 00027,Mid-Market,Manufacturing,Middle East & Africa,Country-03,2024-10-15 00:00:00+00:00,20582,4955665,44.95,29.78,60.75,1,10.0,891001.2899999999,332169.08,3,91681.57,0.1096333333333333,9.0,2026-07-24 00:00:00+00:00,11,0.9091,115469.85
CUS-000028,Customer 00028,Enterprise,Finance,Europe,Country-04,2024-03-29 00:00:00+00:00,4800,405306089,44.72,22.74,88.35,1,12.0,1286733.67,601336.51,3,296779.09,0.0723666666666666,12.333333333333334,2026-07-18 00:00:00+00:00,17,0.7059,365146.39
CUS-000029,Customer 00029,Enterprise,Healthcare,Europe,Country-05,2023-07-21 00:00:00+00:00,5482,930721660,85.26,70.67,33.27,0,43.0,4086195.93,1646811.54,4,270082.43,0.07825,9.0,2026-07-15 00:00:00+00:00,20,2.15,306534.62
CUS-000030,Customer 00030,Mid-Market,Retail,Europe,Country-06,2023-01-20 00:00:00+00:00,16195,6521396,68.45,33.57,72.24,1,12.0,809584.22,404057.98,1,143344.39,0.0352,14.0,2026-03-12 00:00:00+00:00,145,0.0828,154914.58
CUS-000031,Customer 00031,SMB,Technology,North America,Country-07,2023-01-04 00:00:00+00:00,1422,3825036,32.73,16.84,70.05,1,1.0,50505.09,23812.51,0,0.0,0.0,0.0,Unknown,999,0.001,0.0
CUS-000032,Customer 00032,SMB,Healthcare,Asia Pacific,Country-08,2023-07-21 00:00:00+00:00,24779,4313624,53.54,23.46,80.08,1,1.0,131110.3,55773.71,0,0.0,0.0,0.0,Unknown,999,0.001,0.0
CUS-000033,Customer 00033,Mid-Market,Technology,Latin America,Country-09,2025-01-07 00:00:00+00:00,23537,8228872,43.65,14.97,98.25,1,4.0,232970.44,91973.76,1,169177.72,0.0654,5.0,2026-03-26 00:00:00+00:00,131,0.0305,211755.03
CUS-000034,Customer 00034,Mid-Market,Logistics,North America,Country-10,2024-02-22 00:00:00+00:00,20214,24261989,53.7,23.04,79.35,1,8.0,609849.13,255673.76,1,38376.35,0.1478,9.0,2026-06-15 00:00:00+00:00,50,0.16,29776.74
CUS-000035,Customer 00035,Mid-Market,Manufacturing,North America,Country-11,2024-02-11 00:00:00+00:00,24204,16881595,50.58,31.15,68.54,1,13.0,1050474.75,485632.42,1,83905.13,0.1579,18.0,2026-02-10 00:00:00+00:00,175,0.0743,86269.52
CUS-000036,Customer 00036,Enterprise,Logistics,Latin America,Country-12,2023-12-26 00:00:00+00:00,5761,36871520,68.11,26.44,72.11,1,13.0,1299795.8,552927.9299999999,4,254902.79,0.07585,9.5,2026-07-24 00:00:00+00:00,11,1.1818,281161.14
CUS-000037,Customer 00037,Enterprise,Healthcare,Europe,Country-13,2023-08-19 00:00:00+00:00,22034,767432514,81.05,46.06,49.23,0,32.0,3272866.19,1480649.28,4,506136.35,0.045375,6.25,2026-07-22 00:00:00+00:00,13,2.4615,607557.66
CUS-000038,Customer 00038,Mid-Market,Finance,Europe,Country-14,2024-10-05 00:00:00+00:00,6451,3732128,52.37,27.43,73.54,1,7.0,454367.99,221388.83,4,165443.38999999998,0.0426,11.5,2026-07-31 00:00:00+00:00,4,1.75,219482.59
CUS-000039,Customer 00039,Enterprise,Technology,Latin America,Country-15,2023-01-12 00:00:00+00:00,3051,465571029,67.25,58.52,33.3,0,42.0,4411267.4,1741638.42,3,154937.41999999998,0.0401333333333333,11.333333333333334,2026-05-14 00:00:00+00:00,82,0.5122,188878.84
CUS-000040,Customer 00040,Mid-Market,Energy,Asia Pacific,Country-16,2024-07-04 00:00:00+00:00,6579,16165715,68.41,22.94,80.56,1,12.0,1100197.44,477917.65,4,554440.61,0.0574,10.5,2026-05-20 00:00:00+00:00,76,0.1579,576167.47
CUS-000041,Customer 00041,Mid-Market,Energy,North America,Country-17,2025-04-23 00:00:00+00:00,19374,23627929,58.86,38.2,69.92,1,8.0,869947.24,317677.92,5,579820.3200000001,0.0521,13.6,2026-07-04 00:00:00+00:00,31,0.2581,685311.59
CUS-000042,Customer 00042,SMB,Manufacturing,Latin America,Country-18,2025-03-03 00:00:00+00:00,23576,3902306,35.71,20.37,76.97,1,2.0,128077.87,33787.27,1,57833.64,0.0776,15.0,2026-03-15 00:00:00+00:00,142,0.0141,52245.52
CUS-000043,Customer 00043,SMB,Technology,Middle East & Africa,Country-19,2023-11-29 00:00:00+00:00,15308,2015905,47.37,12.14,90.9,1,2.0,272501.07,72284.95,0,0.0,0.0,0.0,Unknown,999,0.002,0.0
CUS-000044,Customer 00044,Mid-Market,Healthcare,North America,Country-20,2025-02-08 00:00:00+00:00,6154,19465891,71.9,27.41,72.5,1,12.0,1409324.04,549546.38,4,522413.29,0.078675,11.0,2026-05-22 00:00:00+00:00,74,0.1622,552762.08
CUS-000045,Customer 00045,SMB,Healthcare,North America,Country-21,2023-08-02 00:00:00+00:00,15031,2323415,58.78,20.55,82.56,1,6.0,396750.43,161846.44,2,125533.75,0.1212999999999999,17.5,2026-08-02 00:00:00+00:00,2,3.0,123735.32
CUS-000046,Customer 00046,SMB,Government,Asia Pacific,Country-22,2023-08-06 00:00:00+00:00,12752,2921413,25.46,12.91,93.81,1,7.0,980454.03,393856.93,1,226660.25,0.1192,7.0,2026-05-14 00:00:00+00:00,82,0.0854,224514.14
CUS-000047,Customer 00047,Mid-Market,Manufacturing,Asia Pacific,Country-23,2023-11-06 00:00:00+00:00,12960,10525931,40.16,16.99,86.26,1,11.0,1748889.83,761171.8999999999,1,357490.62,0.0323,16.0,2026-06-02 00:00:00+00:00,63,0.1746,383018.82
CUS-000048,Customer 00048,Mid-Market,Telecom,Europe,Country-00,2023-01-16 00:00:00+00:00,8763,3967297,71.99,41.38,65.0,1,13.0,1420740.94,495715.43,1,263563.96,0.1001,2.0,2026-05-24 00:00:00+00:00,72,0.1806,270155.72
CUS-000049,Customer 00049,Mid-Market,Telecom,Europe,Country-01,2023-08-28 00:00:00+00:00,3488,10428333,53.97,31.45,72.55,1,11.0,1285328.61,584254.55,1,151027.26,0.041,9.0,2026-03-05 00:00:00+00:00,152,0.0724,211526.88
CUS-000050,Customer 00050,Enterprise,Healthcare,Asia Pacific,Country-02,2025-02-08 00:00:00+00:00,9047,635200618,41.2,28.41,77.98,1,18.0,2355648.5,923466.01,11,1548000.81,0.0749454545454545,12.0,2026-07-30 00:00:00+00:00,5,3.6,1516196.57
CUS-000051,Customer 00051,Enterprise,Logistics,Europe,Country-03,2024-11-17 00:00:00+00:00,22262,797151924,61.78,44.36,58.21,1,28.0,2555653.37,1075796.31,9,742371.78,0.0809666666666666,13.11111111111111,2026-07-11 00:00:00+00:00,24,1.1667,805150.51
CUS-000052,Customer 00052,Enterprise,Telecom,North America,Country-04,2023-10-24 00:00:00+00:00,10220,496338335,65.85,51.92,50.75,0,34.0,3293808.78,1512436.25,7,328027.8,0.0554142857142857,14.714285714285714,2026-04-23 00:00:00+00:00,103,0.3301,355558.18
CUS-000053,Customer 00053,SMB,Logistics,North America,Country-05,2023-10-09 00:00:00+00:00,542,510287,39.62,13.73,91.47,1,8.0,964027.56,420418.91,2,375807.17,0.0567499999999999,9.5,2026-07-17 00:00:00+00:00,18,0.4444,407359.22
CUS-000054,Customer 00054,Mid-Market,Finance,Europe,Country-06,2023-11-09 00:00:00+00:00,8642,18978400,68.71,30.18,69.66,1,11.0,1081313.11,411097.65,3,155780.41,0.1097666666666666,12.333333333333334,2026-06-12 00:00:00+00:00,53,0.2075,169449.89
CUS-000055,Customer 00055,SMB,Education,Middle East & Africa,Country-07,2023-04-18 00:00:00+00:00,11538,4527577,30.99,18.48,85.02,1,2.0,100858.97,54567.61,1,67108.08,0.0324,14.0,2026-06-27 00:00:00+00:00,38,0.0526,67952.38
CUS-000056,Customer 00056,SMB,Logistics,Asia Pacific,Country-08,2023-05-23 00:00:00+00:00,15008,2909992,57.1,32.66,61.45,1,10.0,572162.17,219740.61,1,666.71,0.132,18.0,2026-07-09 00:00:00+00:00,26,0.3846,665.59
CUS-000057,Customer 00057,Mid-Market,Finance,Europe,Country-09,2025-06-12 00:00:00+00:00,16049,19441343,61.99,18.71,68.95,1,6.0,726496.61,211838.38,3,241038.36,0.0468333333333333,11.0,2026-05-18 00:00:00+00:00,78,0.0769,231227.5
CUS-000058,Customer 00058,Mid-Market,Government,Middle East & Africa,Country-10,2024-09-15 00:00:00+00:00,10651,19413681,39.99,0.9,100.0,1,11.0,888428.4199999999,384629.13,0,0.0,0.0,0.0,Unknown,999,0.011,0.0
CUS-000059,Customer 00059,Enterprise,Education,Europe,Country-11,2024-09-01 00:00:00+00:00,3601,327519378,67.53,40.95,53.81,0,20.0,2721945.47,1298517.86,3,447385.9,0.1565333333333333,7.666666666666667,2026-05-29 00:00:00+00:00,67,0.2985,496724.94
CUS-000060,Customer 00060,Enterprise,Technology,Europe,Country-12,2023-09-10 00:00:00+00:00,11039,450332706,78.93,44.44,69.41,1,35.0,3074184.58,1204968.25,5,785707.37,0.12454,12.6,2026-04-29 00:00:00+00:00,97,0.3608,956844.41
CUS-000061,Customer 00061,Mid-Market,Retail,North America,Country-13,2025-02-09 00:00:00+00:00,107,20536209,58.55,27.6,67.14,1,8.0,860767.0,371408.15,5,366972.19,0.05828,5.6,2026-07-19 00:00:00+00:00,16,0.5,368428.42
CUS-000062,Customer 00062,Mid-Market,Technology,Latin America,Country-14,2023-06-09 00:00:00+00:00,12662,7179836,63.31,28.03,77.65,1,10.0,1019333.27,460600.33,1,66092.18,0.0833,12.0,2026-03-05 00:00:00+00:00,152,0.0658,66210.74
CUS-000063,Customer 00063,Mid-Market,Energy,Asia Pacific,Country-15,2025-05-21 00:00:00+00:00,11143,5957931,49.78,14.8,80.54,1,6.0,973504.27,415684.98,3,690524.76,0.0259,6.666666666666667,2026-05-09 00:00:00+00:00,87,0.069,715171.25
CUS-000064,Customer 00064,SMB,Finance,Latin America,Country-16,2024-03-29 00:00:00+00:00,8920,390787,51.77,40.0,60.15,1,7.0,823459.94,400828.62,0,0.0,0.0,0.0,Unknown,999,0.007,0.0
CUS-000065,Customer 00065,Mid-Market,Manufacturing,Europe,Country-17,2023-10-25 00:00:00+00:00,16554,5726934,52.42,23.93,68.57,1,5.0,157409.53,86350.69,0,0.0,0.0,0.0,Unknown,999,0.005,0.0
CUS-000066,Customer 00066,Mid-Market,Technology,Europe,Country-18,2024-11-06 00:00:00+00:00,18870,5449118,93.65,37.74,54.1,0,13.0,1750736.37,821045.0700000001,6,892673.4700000001,0.044,9.333333333333334,2026-05-27 00:00:00+00:00,69,0.1884,1134690.75
CUS-000067,Customer 00067,Mid-Market,Education,North America,Country-19,2024-01-11 00:00:00+00:00,6614,22393544,39.53,19.38,82.93,1,11.0,1110804.07,519461.68,1,11513.37,0.0504,11.0,2026-06-02 00:00:00+00:00,63,0.1746,13142.05
CUS-000068,Customer 00068,Mid-Market,Finance,Middle East & Africa,Country-20,2023-08-31 00:00:00+00:00,12599,3872870,95.77,47.47,50.06,0,12.0,1510101.35,619940.17,1,266988.74,0.0476,16.0,2026-06-21 00:00:00+00:00,44,0.2727,261745.8
CUS-000069,Customer 00069,Enterprise,Telecom,North America,Country-21,2024-09-07 00:00:00+00:00,12755,173279593,58.68,27.41,78.09,1,26.0,3055829.36,1260525.7,4,226766.62,0.058825,10.0,2026-07-28 00:00:00+00:00,7,3.7143,254342.36
CUS-000070,Customer 00070,Mid-Market,Retail,Asia Pacific,Country-22,2024-10-11 00:00:00+00:00,12742,3706872,75.8,52.8,56.24,0,17.0,1566105.09,663945.7000000001,7,558166.27,0.0836428571428571,8.571428571428571,2026-08-02 00:00:00+00:00,2,8.5,568557.08
CUS-000071,Customer 00071,Enterprise,Logistics,Asia Pacific,Country-23,2024-06-26 00:00:00+00:00,10097,575505856,83.58,45.58,43.57,0,27.0,2888329.92,1286076.43,7,758435.49,0.0796142857142857,13.0,2026-06-25 00:00:00+00:00,40,0.675,796638.46
CUS-000072,Customer 00072,Mid-Market,Education,North America,Country-00,2024-02-20 00:00:00+00:00,5265,15147516,45.27,9.28,98.37,1,6.0,1240547.12,426653.19,1,206488.55,0.108,13.0,2026-03-02 00:00:00+00:00,155,0.0387,233529.24
CUS-000073,Customer 00073,SMB,Logistics,Europe,Country-01,2023-10-23 00:00:00+00:00,4307,1172947,52.39,10.82,82.45,1,4.0,285159.55,108349.1,3,236913.21,0.0608666666666666,12.333333333333334,2026-06-01 00:00:00+00:00,64,0.0625,287474.05
CUS-000074,Customer 00074,Enterprise,Telecom,North America,Country-02,2023-12-30 00:00:00+00:00,795,955504756,65.06,62.76,34.91,0,58.0,7302982.57,2987455.67,13,1686779.02,0.060876923076923,10.076923076923077,2026-07-26 00:00:00+00:00,9,6.4444,2180555.54
CUS-000075,Customer 00075,Enterprise,Retail,Asia Pacific,Country-03,2025-02-25 00:00:00+00:00,1327,897649398,75.85,69.34,20.85,0,46.0,4462289.73,1950422.77,14,1299194.59,0.0474357142857142,8.785714285714286,2026-07-27 00:00:00+00:00,8,5.75,1713049.55
CUS-000076,Customer 00076,Mid-Market,Telecom,Middle East & Africa,Country-04,2023-11-20 00:00:00+00:00,20236,12063886,60.07,24.81,65.59,1,10.0,1136033.79,486179.42,1,152571.23,0.1224,16.0,2026-05-15 00:00:00+00:00,81,0.1235,159461.31
CUS-000077,Customer 00077,Mid-Market,Government,Europe,Country-05,2025-05-20 00:00:00+00:00,1773,5650734,53.11,27.86,58.53,1,6.0,447297.78,156993.76,3,358466.88,0.0368999999999999,9.666666666666666,2026-06-05 00:00:00+00:00,60,0.1,362064.17
CUS-000078,Customer 00078,Mid-Market,Retail,Middle East & Africa,Country-06,2023-05-12 00:00:00+00:00,21390,18467416,51.95,27.67,69.49,1,3.0,209893.57,69709.15,0,0.0,0.0,0.0,Unknown,999,0.003,0.0
CUS-000079,Customer 00079,Mid-Market,Healthcare,North America,Country-07,2023-05-27 00:00:00+00:00,22415,23740800,62.77,26.19,74.24,1,5.0,793081.86,283238.04,1,133849.01,0.0847,9.0,2026-06-21 00:00:00+00:00,44,0.1136,146961.94
CUS-000080,Customer 00080,SMB,Education,Europe,Country-08,2023-10-27 00:00:00+00:00,6050,373517,31.35,17.54,79.86,1,3.0,334996.4,142498.67,0,0.0,0.0,0.0,Unknown,999,0.003,0.0
CUS-000081,Customer 00081,Mid-Market,Technology,Middle East & Africa,Country-09,2023-01-03 00:00:00+00:00,11087,7041564,45.87,19.32,68.15,1,3.0,425953.81,193466.02,1,217414.4,0.036,8.0,2026-02-09 00:00:00+00:00,176,0.017,215921.52
CUS-000082,Customer 00082,Mid-Market,Manufacturing,Latin America,Country-10,2025-03-02 00:00:00+00:00,9016,16874745,71.37,29.43,56.87,0,12.0,1759431.02,605446.11,3,629734.53,0.0769666666666666,11.333333333333334,2026-05-20 00:00:00+00:00,76,0.1579,751813.81
CUS-000083,Customer 00083,SMB,Retail,Europe,Country-11,2023-11-03 00:00:00+00:00,9861,4665242,50.0,18.67,81.4,1,5.0,129878.83,55029.88,0,0.0,0.0,0.0,Unknown,999,0.005,0.0
CUS-000084,Customer 00084,Enterprise,Telecom,Asia Pacific,Country-12,2023-04-02 00:00:00+00:00,8966,503761651,53.71,43.67,61.86,1,31.0,3998531.81,1884346.53,5,1032990.47,0.0621199999999999,10.8,2026-07-19 00:00:00+00:00,16,1.9375,1082873.46
CUS-000085,Customer 00085,Enterprise,Technology,Middle East & Africa,Country-13,2024-07-10 00:00:00+00:00,8577,178900331,57.95,42.08,59.65,1,23.0,2683322.15,1083209.14,5,418352.85,0.09172,14.2,2026-07-05 00:00:00+00:00,30,0.7667,413870.15
CUS-000086,Customer 00086,Enterprise,Education,Latin America,Country-14,2025-05-12 00:00:00+00:00,17113,271415513,42.09,18.8,94.27,1,9.0,1427408.63,611193.1699999999,4,800083.9400000001,0.0648499999999999,9.75,2026-05-17 00:00:00+00:00,79,0.1139,832349.75
CUS-000087,Customer 00087,SMB,Education,Asia Pacific,Country-15,2025-06-13 00:00:00+00:00,10331,406944,56.74,21.7,78.03,1,4.0,502301.31,253062.62,2,379051.08,0.10195,17.5,2026-06-04 00:00:00+00:00,61,0.0656,356566.38
CUS-000088,Customer 00088,Mid-Market,Telecom,North America,Country-16,2023-04-07 00:00:00+00:00,4701,13200814,67.64,32.2,70.01,1,17.0,2051953.15,819581.86,3,103800.29,0.0712333333333333,19.33333333333333,2026-07-23 00:00:00+00:00,12,1.4167,108138.93
CUS-000089,Customer 00089,Enterprise,Telecom,North America,Country-17,2024-12-14 00:00:00+00:00,9486,997532417,56.76,74.52,25.34,0,49.0,5599831.42,2322204.68,16,1855010.24,0.0744625,9.625,2026-07-25 00:00:00+00:00,10,4.9,2113120.41
CUS-000090,Customer 00090,Mid-Market,Government,Asia Pacific,Country-18,2023-11-22 00:00:00+00:00,24468,18943919,67.1,34.31,60.22,1,8.0,791245.33,368486.92,2,202091.83,0.0386,4.0,2026-06-26 00:00:00+00:00,39,0.2051,215957.75
CUS-000091,Customer 00091,Enterprise,Logistics,Europe,Country-19,2025-01-22 00:00:00+00:00,24695,764189369,99.8,65.16,33.69,0,35.0,4378886.53,1939954.58,9,1314097.58,0.0747555555555555,12.666666666666666,2026-07-10 00:00:00+00:00,25,1.4,1646355.15
CUS-000092,Customer 00092,Mid-Market,Healthcare,North America,Country-20,2024-06-29 00:00:00+00:00,1569,14418983,36.45,9.52,96.35,1,3.0,817968.61,305448.73,0,0.0,0.0,0.0,Unknown,999,0.003,0.0
CUS-000093,Customer 00093,Mid-Market,Energy,North America,Country-21,2024-10-20 00:00:00+00:00,14405,20128078,49.39,30.81,75.33,1,15.0,1536473.74,625932.97,5,724773.8300000001,0.05402,7.6,2026-06-14 00:00:00+00:00,51,0.2941,831574.13
CUS-000094,Customer 00094,Mid-Market,Logistics,Europe,Country-22,2025-01-24 00:00:00+00:00,24344,13958868,36.14,14.24,88.26,1,5.0,703317.01,298528.92,2,398333.91,0.0851,2.5,2026-06-24 00:00:00+00:00,41,0.122,421904.9
CUS-000095,Customer 00095,Mid-Market,Healthcare,Europe,Country-23,2025-03-16 00:00:00+00:00,4867,11569606,71.28,22.63,88.44,1,14.0,1745169.66,648860.59,10,1323957.39,0.08288,11.9,2026-07-22 00:00:00+00:00,13,1.0769,1673737.93
CUS-000096,Customer 00096,Mid-Market,Government,Europe,Country-00,2023-05-10 00:00:00+00:00,1742,20540868,56.66,34.32,68.88,1,12.0,1430726.86,592765.05,2,237054.47,0.1367,9.5,2026-05-22 00:00:00+00:00,74,0.1622,215452.08
CUS-000097,Customer 00097,Mid-Market,Healthcare,Europe,Country-01,2024-10-13 00:00:00+00:00,5319,23534359,52.43,26.88,75.41,1,3.0,596134.13,191111.09,1,149042.82,0.1419,2.0,2026-08-03 00:00:00+00:00,1,3.0,154631.51
CUS-000098,Customer 00098,Enterprise,Technology,North America,Country-02,2023-05-07 00:00:00+00:00,7954,681037173,75.18,48.12,62.4,1,23.0,2292595.06,903418.5,2,242431.81,0.06825,12.5,2026-06-10 00:00:00+00:00,55,0.4182,221990.83
CUS-000099,Customer 00099,Enterprise,Telecom,Latin America,Country-03,2025-04-29 00:00:00+00:00,23368,55152895,64.2,20.1,74.9,1,24.0,2624693.22,1131451.86,12,1178451.86,0.0921666666666666,11.333333333333334,2026-07-31 00:00:00+00:00,4,6.0,1409049.31
CUS-000100,Customer 00100,SMB,Energy,Asia Pacific,Country-04,2024-07-19 00:00:00+00:00,6286,2760144,38.38,0.03,100.0,1,5.0,883100.5399999999,383581.86,1,7594.07,0.1311,11.0,2026-05-25 00:00:00+00:00,71,0.0704,9105.63
CUS-000101,Customer 00101,SMB,Government,North America,Country-05,2023-06-23 00:00:00+00:00,8316,2895890,47.85,16.65,76.53,1,6.0,387915.71,139492.11,0,0.0,0.0,0.0,Unknown,999,0.006,0.0
CUS-000102,Customer 00102,Mid-Market,Finance,Europe,Country-06,2023-09-21 00:00:00+00:00,6509,11848279,49.46,25.11,73.03,1,14.0,1220063.87,424163.4,2,58171.96000000001,0.07345,9.0,2026-03-30 00:00:00+00:00,127,0.1102,76329.52
CUS-000103,Customer 00103,Enterprise,Finance,Europe,Country-07,2025-03-17 00:00:00+00:00,9803,696944833,65.43,61.53,25.62,0,41.0,4549125.57,1757227.14,21,1861687.99,0.0720904761904761,13.80952380952381,2026-07-18 00:00:00+00:00,17,2.4118,1933145.6
