product_id,product_name,category,subcategory,supplier_id,unit_cost,list_price,margin_rate,demand_score,lifecycle_stage,is_active
PRD-00044,Product 0044,Analytics,Dashboards,SUP-00142,10739.27,12731.91,0.186,56.17,Intro,1
PRD-00045,Product 0045,Analytics,Dashboards,SUP-00008,12898.71,18274.53,0.417,73.48,Mature,1
PRD-00046,Product 0046,Analytics,Reporting,SUP-00034,5866.85,8941.89,0.524,67.99,Growth,1
PRD-00047,Product 0047,Finance,Budgeting,SUP-00061,11711.63,16982.83,0.45,67.35,Mature,1
PRD-00048,Product 0048,Automation,Workflow,SUP-00118,10975.31,13177.69,0.201,74.19,Growth,1
PRD-00049,Product 0049,Security,Threat Detection,SUP-00137,12685.19,18583.64,0.465,67.54,Mature,1
PRD-00050,Product 0050,Finance,Budgeting,SUP-00124,17215.21,25744.09,0.495,36.17,Growth,1
PRD-00051,Product 0051,Operations,Inventory Control,SUP-00014,16223.93,19658.82,0.212,62.93,Decline,1
PRD-00052,Product 0052,Finance,Planning,SUP-00060,15086.21,20362.14,0.35,43.04,Growth,1
PRD-00053,Product 0053,Security,Compliance,SUP-00145,12814.87,16804.94,0.311,72.77,Mature,1
PRD-00054,Product 0054,Analytics,Forecasting,SUP-00118,5118.59,7728.1,0.51,35.34,Mature,1
PRD-00055,Product 0055,Analytics,Data Modeling,SUP-00026,2706.75,3632.52,0.342,61.47,Intro,1
PRD-00056,Product 0056,Finance,Expense Control,SUP-00065,12531.06,15933.23,0.271,62.98,Mature,1
PRD-00057,Product 0057,Finance,Expense Control,SUP-00074,10635.44,15034.88,0.414,42.5,Growth,1
PRD-00058,Product 0058,Operations,Maintenance,SUP-00035,10239.03,15503.64,0.514,60.62,Growth,1
PRD-00059,Product 0059,Automation,Scheduling,SUP-00143,12760.59,17260.97,0.353,75.05,Mature,1
PRD-00060,Product 0060,Analytics,Forecasting,SUP-00119,11343.66,17860.17,0.574,52.54,Mature,1
PRD-00061,Product 0061,Operations,Inventory Control,SUP-00013,4207.88,6170.24,0.466,66.92,Growth,1
PRD-00062,Product 0062,Automation,Integration,SUP-00037,16447.56,20248.9,0.231,70.63,Mature,1
PRD-00063,Product 0063,Finance,Expense Control,SUP-00094,15862.04,25531.05,0.61,43.85,Growth,1
PRD-00064,Product 0064,Operations,Logistics,SUP-00116,2333.78,3496.81,0.498,62.7,Decline,1
PRD-00065,Product 0065,Security,Compliance,SUP-00121,10754.32,13806.88,0.284,58.42,Mature,1
PRD-00066,Product 0066,Finance,Planning,SUP-00151,16382.78,21563.86,0.316,61.75,Growth,1
PRD-00067,Product 0067,Security,Compliance,SUP-00093,12039.34,16706.5,0.388,34.73,Mature,1
PRD-00068,Product 0068,Operations,Logistics,SUP-00031,9455.0,11247.01,0.19,38.07,Growth,0
PRD-00069,Product 0069,Automation,RPA,SUP-00007,16442.62,25876.86,0.574,82.74,Mature,1
PRD-00070,Product 0070,Finance,Planning,SUP-00011,13896.04,16889.02,0.215,74.86,Growth,1
PRD-00071,Product 0071,Analytics,Reporting,SUP-00088,11857.98,14885.72,0.255,65.74,Growth,1
PRD-00072,Product 0072,Automation,Integration,SUP-00102,7825.19,11079.35,0.416,77.33,Growth,1
PRD-00073,Product 0073,Analytics,Reporting,SUP-00024,13986.98,21409.27,0.531,39.46,Intro,1
PRD-00074,Product 0074,Finance,Expense Control,SUP-00064,15685.2,24985.13,0.593,58.14,Growth,1
PRD-00075,Product 0075,Operations,Procurement,SUP-00065,3020.84,3718.01,0.231,56.54,Mature,1
PRD-00076,Product 0076,Automation,RPA,SUP-00055,12566.21,14913.81,0.187,48.91,Mature,1
PRD-00077,Product 0077,Finance,Expense Control,SUP-00036,12587.54,18725.5,0.488,42.73,Growth,1
PRD-00078,Product 0078,Operations,Inventory Control,SUP-00049,2704.54,3513.14,0.299,84.37,Growth,1
PRD-00079,Product 0079,Operations,Procurement,SUP-00122,15273.41,18911.24,0.238,51.3,Growth,1
PRD-00080,Product 0080,Security,Threat Detection,SUP-00110,15589.58,18425.04,0.182,69.66,Mature,0
PRD-00081,Product 0081,Automation,Scheduling,SUP-00130,2498.88,4008.62,0.604,67.65,Mature,1
PRD-00082,Product 0082,Finance,Expense Control,SUP-00143,13195.23,19830.85,0.503,79.77,Mature,1
PRD-00083,Product 0083,Analytics,Forecasting,SUP-00034,4295.88,5718.05,0.331,74.48,Intro,1
PRD-00084,Product 0084,Automation,RPA,SUP-00060,4218.56,6087.6,0.443,56.77,Mature,1
PRD-00085,Product 0085,Automation,RPA,SUP-00103,2339.06,3676.36,0.572,40.49,Growth,1
PRD-00086,Product 0086,Operations,Procurement,SUP-00089,12393.14,19596.18,0.581,77.17,Decline,0
PRD-00087,Product 0087,Finance,Revenue Ops,SUP-00130,16343.5,23130.9,0.415,82.77,Mature,1
PRD-00088,Product 0088,Finance,Expense Control,SUP-00150,10369.97,16519.47,0.593,99.0,Growth,1
PRD-00089,Product 0089,Automation,RPA,SUP-00070,4707.0,7123.68,0.513,78.63,Mature,0
PRD-00090,Product 0090,Security,Compliance,SUP-00103,3467.12,4925.69,0.421,51.14,Decline,1
PRD-00091,Product 0091,Security,IAM,SUP-00147,3075.33,4144.77,0.348,53.35,Growth,1
PRD-00092,Product 0092,Finance,Planning,SUP-00086,3748.6,5968.32,0.592,26.7,Growth,1
PRD-00093,Product 0093,Finance,Revenue Ops,SUP-00035,9994.11,12649.23,0.266,48.2,Growth,1
PRD-00094,Product 0094,Automation,RPA,SUP-00129,17909.87,25422.42,0.419,40.43,Growth,1
PRD-00095,Product 0095,Finance,Planning,SUP-00021,16829.89,20842.87,0.238,72.0,Growth,1
PRD-00096,Product 0096,Finance,Planning,SUP-00111,1758.49,2178.35,0.239,78.28,Growth,1
PRD-00097,Product 0097,Automation,Workflow,SUP-00025,3691.34,4453.11,0.206,99.0,Growth,1
PRD-00098,Product 0098,Operations,Procurement,SUP-00043,12289.0,16177.69,0.316,99.0,Mature,1
PRD-00099,Product 0099,Finance,Budgeting,SUP-00147,12437.65,19049.33,0.532,66.23,Decline,1
PRD-00100,Product 0100,Automation,Integration,SUP-00035,3843.35,4846.55,0.261,52.09,Growth,0
PRD-00101,Product 0101,Automation,Integration,SUP-00100,17218.21,26624.15,0.546,55.35,Mature,1
PRD-00102,Product 0102,Finance,Planning,SUP-00080,10596.17,17136.33,0.617,50.23,Growth,0
PRD-00103,Product 0103,Finance,Budgeting,SUP-00019,9555.9,13485.15,0.411,99.0,Intro,1
PRD-00104,Product 0104,Finance,Revenue Ops,SUP-00098,14824.16,22630.07,0.527,14.91,Mature,1
PRD-00105,Product 0105,Automation,Integration,SUP-00063,6801.62,10025.05,0.474,89.54,Growth,1
PRD-00106,Product 0106,Automation,RPA,SUP-00154,12882.12,17805.79,0.382,46.13,Growth,1
PRD-00107,Product 0107,Analytics,Forecasting,SUP-00050,16536.27,21585.43,0.305,55.35,Growth,1
PRD-00108,Product 0108,Operations,Maintenance,SUP-00096,17089.83,25214.76,0.475,18.14,Mature,1
PRD-00109,Product 0109,Finance,Revenue Ops,SUP-00141,788.06,1009.89,0.281,79.93,Growth,1
PRD-00110,Product 0110,Finance,Expense Control,SUP-00076,1380.3,1852.61,0.342,75.48,Growth,1
PRD-00111,Product 0111,Security,Risk Scoring,SUP-00057,12771.24,15938.92,0.248,43.41,Intro,1
PRD-00112,Product 0112,Analytics,Reporting,SUP-00063,154.65,221.8,0.434,80.83,Mature,1
PRD-00113,Product 0113,Finance,Budgeting,SUP-00014,11963.61,14983.82,0.252,77.55,Decline,1
PRD-00114,Product 0114,Finance,Revenue Ops,SUP-00121,14814.04,22708.66,0.533,52.99,Growth,1
PRD-00115,Product 0115,Automation,Integration,SUP-00002,1686.82,2343.47,0.389,27.11,Mature,1
PRD-00116,Product 0116,Operations,Logistics,SUP-00126,495.33,740.02,0.494,58.28,Mature,1
PRD-00117,Product 0117,Automation,Scheduling,SUP-00092,9190.15,12680.91,0.38,79.71,Growth,0
PRD-00118,Product 0118,Finance,Planning,SUP-00002,17772.72,27028.14,0.521,46.45,Mature,1
PRD-00119,Product 0119,Security,IAM,SUP-00025,9664.44,15167.88,0.569,80.38,Intro,1
PRD-00120,Product 0120,Finance,Budgeting,SUP-00015,17555.38,24332.61,0.386,47.37,Intro,1
PRD-00121,Product 0121,Operations,Logistics,SUP-00159,12652.55,16986.28,0.343,60.46,Intro,1
PRD-00122,Product 0122,Operations,Maintenance,SUP-00013,5496.31,8225.08,0.496,49.48,Decline,1
PRD-00123,Product 0123,Analytics,Data Modeling,SUP-00146,4406.11,7071.11,0.605,64.66,Intro,1
PRD-00124,Product 0124,Security,Risk Scoring,SUP-00004,10934.52,13750.22,0.258,75.96,Mature,0
PRD-00125,Product 0125,Operations,Logistics,SUP-00084,6035.89,9104.78,0.508,89.72,Intro,1
PRD-00126,Product 0126,Security,Risk Scoring,SUP-00091,4353.88,5144.33,0.182,65.54,Growth,1
PRD-00127,Product 0127,Automation,RPA,SUP-00112,7145.73,11516.97,0.612,35.5,Mature,1
PRD-00128,Product 0128,Security,Compliance,SUP-00073,9623.92,14730.59,0.531,72.75,Mature,1
PRD-00129,Product 0129,Automation,Workflow,SUP-00032,16627.74,26542.83,0.596,56.94,Growth,1
PRD-00130,Product 0130,Finance,Planning,SUP-00044,17205.4,21112.59,0.227,56.57,Mature,1
PRD-00131,Product 0131,Analytics,Forecasting,SUP-00004,13166.55,15832.74,0.202,63.8,Decline,1
PRD-00132,Product 0132,Automation,RPA,SUP-00134,4408.91,6049.96,0.372,71.51,Decline,1
PRD-00133,Product 0133,Analytics,Reporting,SUP-00005,8334.34,10052.12,0.206,54.97,Decline,1
PRD-00134,Product 0134,Automation,Integration,SUP-00099,1833.69,2207.56,0.204,71.88,Decline,1
PRD-00135,Product 0135,Automation,Scheduling,SUP-00091,10300.05,12569.7,0.22,68.88,Growth,1
PRD-00136,Product 0136,Finance,Expense Control,SUP-00048,11558.83,13952.29,0.207,71.89,Growth,1
PRD-00137,Product 0137,Operations,Inventory Control,SUP-00028,7200.87,8806.19,0.223,76.96,Growth,1
PRD-00138,Product 0138,Analytics,Forecasting,SUP-00095,3995.22,5358.79,0.341,24.49,Growth,1
PRD-00139,Product 0139,Security,Threat Detection,SUP-00115,17771.23,24891.71,0.401,55.32,Decline,1
PRD-00140,Product 0140,Analytics,Reporting,SUP-00076,785.27,962.46,0.226,59.4,Growth,1
PRD-00141,Product 0141,Analytics,Data Modeling,SUP-00113,13186.46,19277.18,0.462,57.77,Growth,1
PRD-00142,Product 0142,Security,Compliance,SUP-00099,12398.63,17947.7,0.448,47.28,Decline,1
PRD-00143,Product 0143,Security,Risk Scoring,SUP-00154,10126.01,13264.92,0.31,50.91,Growth,1
PRD-00144,Product 0144,Analytics,Dashboards,SUP-00045,3428.57,4503.64,0.314,70.86,Growth,1
PRD-00145,Product 0145,Finance,Planning,SUP-00124,15385.4,24821.11,0.613,69.83,Growth,1
PRD-00146,Product 0146,Finance,Planning,SUP-00061,11015.96,14454.16,0.312,62.55,Mature,1
PRD-00147,Product 0147,Finance,Expense Control,SUP-00091,12229.88,19305.31,0.579,44.93,Growth,1
PRD-00148,Product 0148,Finance,Planning,SUP-00078,12782.76,16232.18,0.27,76.61,Growth,1
PRD-00149,Product 0149,Security,Threat Detection,SUP-00056,2231.3,2809.21,0.259,75.39,Growth,1
PRD-00150,Product 0150,Automation,Integration,SUP-00110,8433.77,13144.07,0.559,80.91,Mature,1
PRD-00151,Product 0151,Security,IAM,SUP-00154,14225.57,20585.68,0.447,48.71,Mature,1
PRD-00152,Product 0152,Analytics,Reporting,SUP-00070,7206.64,10931.74,0.517,99.0,Growth,1
PRD-00153,Product 0153,Automation,Integration,SUP-00030,13185.58,18897.96,0.433,65.74,Mature,1
PRD-00154,Product 0154,Automation,RPA,SUP-00072,6811.03,10952.81,0.608,49.12,Growth,0
PRD-00155,Product 0155,Security,Compliance,SUP-00032,14479.39,17270.47,0.193,99.0,Intro,1
PRD-00156,Product 0156,Finance,Planning,SUP-00083,15232.54,18980.99,0.246,74.71,Intro,1
PRD-00157,Product 0157,Operations,Logistics,SUP-00101,15018.65,18455.92,0.229,65.45,Intro,1
PRD-00158,Product 0158,Operations,Logistics,SUP-00076,11782.09,17383.01,0.475,67.5,Growth,1
PRD-00159,Product 0159,Security,IAM,SUP-00158,9115.87,12015.82,0.318,83.8,Mature,1
PRD-00160,Product 0160,Analytics,Forecasting,SUP-00040,15393.86,23492.96,0.526,66.29,Growth,1
PRD-00161,Product 0161,Finance,Budgeting,SUP-00014,6874.03,8486.68,0.235,32.68,Mature,0
PRD-00162,Product 0162,Analytics,Forecasting,SUP-00112,17324.08,22196.53,0.281,61.69,Mature,1
PRD-00163,Product 0163,Operations,Maintenance,SUP-00159,14971.89,18100.12,0.209,77.29,Mature,1
PRD-00164,Product 0164,Analytics,Dashboards,SUP-00009,4894.24,7914.13,0.617,61.19,Decline,1
PRD-00165,Product 0165,Security,Threat Detection,SUP-00063,6810.86,10187.0,0.496,45.25,Growth,1
PRD-00166,Product 0166,Analytics,Forecasting,SUP-00090,16134.73,19812.58,0.228,61.38,Mature,1
PRD-00167,Product 0167,Finance,Expense Control,SUP-00103,4602.91,6741.68,0.465,76.69,Mature,1
PRD-00168,Product 0168,Security,Compliance,SUP-00140,1547.26,2125.07,0.373,83.69,Growth,1
PRD-00169,Product 0169,Finance,Budgeting,SUP-00110,1478.93,2341.32,0.583,43.14,Growth,1
PRD-00170,Product 0170,Security,Threat Detection,SUP-00145,15606.88,19336.92,0.239,41.98,Mature,1
PRD-00171,Product 0171,Automation,Scheduling,SUP-00090,6727.09,8020.47,0.192,61.0,Intro,1
PRD-00172,Product 0172,Automation,Scheduling,SUP-00035,3860.38,4816.83,0.248,50.22,Mature,1
PRD-00173,Product 0173,Operations,Procurement,SUP-00147,4864.1,7746.1,0.593,52.17,Mature,1
PRD-00174,Product 0174,Operations,Maintenance,SUP-00061,10699.81,17000.01,0.589,57.43,Growth,1
PRD-00175,Product 0175,Finance,Expense Control,SUP-00052,7582.64,9176.4,0.21,75.02,Growth,1
PRD-00176,Product 0176,Analytics,Forecasting,SUP-00109,2629.77,3708.59,0.41,47.65,Mature,1
PRD-00177,Product 0177,Security,IAM,SUP-00118,8890.72,13168.51,0.481,42.17,Decline,1
PRD-00178,Product 0178,Automation,Workflow,SUP-00112,11791.26,13935.89,0.182,49.44,Growth,1
PRD-00179,Product 0179,Finance,Budgeting,SUP-00087,7151.16,8489.97,0.187,36.28,Growth,1
PRD-00180,Product 0180,Automation,Integration,SUP-00112,11131.83,13460.69,0.209,62.89,Growth,1
PRD-00181,Product 0181,Analytics,Reporting,SUP-00123,12660.76,18863.17,0.49,63.85,Mature,1
PRD-00182,Product 0182,Automation,Workflow,SUP-00034,11736.02,18702.8,0.594,79.17,Growth,1
PRD-00183,Product 0183,Finance,Planning,SUP-00139,2627.93,3179.79,0.21,44.0,Growth,1
PRD-00184,Product 0184,Security,Compliance,SUP-00088,7896.57,9817.92,0.243,64.09,Growth,1
PRD-00185,Product 0185,Operations,Procurement,SUP-00063,16371.28,22684.24,0.386,67.69,Intro,1
PRD-00186,Product 0186,Security,Compliance,SUP-00058,2918.9,4012.75,0.375,35.68,Growth,1
PRD-00187,Product 0187,Analytics,Dashboards,SUP-00002,15759.41,20068.07,0.273,65.73,Intro,0
PRD-00188,Product 0188,Finance,Revenue Ops,SUP-00076,8077.68,10243.75,0.268,66.36,Growth,1
PRD-00189,Product 0189,Analytics,Reporting,SUP-00127,10888.22,13516.73,0.241,59.82,Growth,0
PRD-00190,Product 0190,Automation,RPA,SUP-00150,5718.36,7378.08,0.29,40.22,Intro,1
PRD-00191,Product 0191,Operations,Maintenance,SUP-00022,13108.15,20320.74,0.55,60.71,Decline,0
PRD-00192,Product 0192,Finance,Revenue Ops,SUP-00114,3285.16,4537.81,0.381,28.74,Growth,0
PRD-00193,Product 0193,Automation,RPA,SUP-00045,13747.52,21773.74,0.584,67.53,Mature,1
PRD-00194,Product 0194,Finance,Planning,SUP-00017,2634.93,4085.07,0.55,74.61,Mature,1
PRD-00195,Product 0195,Analytics,Reporting,SUP-00092,3164.13,4470.0,0.413,58.28,Mature,1
PRD-00196,Product 0196,Security,Compliance,SUP-00006,228.63,352.7,0.543,83.75,Growth,1
PRD-00197,Product 0197,Automation,Integration,SUP-00031,15547.69,19470.5,0.252,50.15,Decline,1
PRD-00198,Product 0198,Finance,Revenue Ops,SUP-00041,15206.72,22231.44,0.462,49.62,Growth,1
PRD-00199,Product 0199,Analytics,Dashboards,SUP-00137,7082.48,11287.91,0.594,57.26,Intro,1
PRD-00200,Product 0200,Security,Compliance,SUP-00026,131.28,190.7,0.453,99.0,Growth,1
PRD-00201,Product 0201,Analytics,Dashboards,SUP-00046,16800.32,23451.62,0.396,57.17,Growth,1
PRD-00202,Product 0202,Analytics,Data Modeling,SUP-00156,3146.86,4621.09,0.468,98.44,Intro,1
PRD-00203,Product 0203,Security,Threat Detection,SUP-00053,2747.17,3406.89,0.24,61.35,Mature,1
PRD-00204,Product 0204,Automation,Workflow,SUP-00046,3860.38,5055.45,0.31,48.28,Mature,1
PRD-00205,Product 0205,Security,IAM,SUP-00116,4686.35,6049.98,0.291,95.2,Decline,1
PRD-00206,Product 0206,Automation,Scheduling,SUP-00008,16768.71,20659.9,0.232,65.14,Mature,1
PRD-00207,Product 0207,Security,Compliance,SUP-00019,11332.77,16903.31,0.492,57.0,Intro,1
PRD-00208,Product 0208,Automation,Integration,SUP-00061,6189.94,9031.37,0.459,76.64,Mature,0
PRD-00209,Product 0209,Operations,Maintenance,SUP-00106,13768.03,21532.81,0.564,83.2,Intro,1
PRD-00210,Product 0210,Finance,Budgeting,SUP-00003,13930.05,20715.93,0.487,52.12,Decline,1
PRD-00211,Product 0211,Analytics,Dashboards,SUP-00005,4491.37,6904.16,0.537,77.33,Mature,1
PRD-00212,Product 0212,Security,Risk Scoring,SUP-00007,3200.26,3972.3,0.241,58.15,Growth,1
PRD-00213,Product 0213,Finance,Planning,SUP-00111,2809.73,3396.51,0.209,45.32,Mature,0
PRD-00214,Product 0214,Finance,Revenue Ops,SUP-00116,6464.16,8681.6,0.343,49.97,Mature,1
PRD-00215,Product 0215,Finance,Budgeting,SUP-00064,580.8,718.82,0.238,42.08,Decline,1
PRD-00216,Product 0216,Analytics,Data Modeling,SUP-00020,7979.74,12111.46,0.518,63.48,Mature,1
PRD-00217,Product 0217,Finance,Revenue Ops,SUP-00123,3680.62,5044.92,0.371,63.54,Mature,1
PRD-00218,Product 0218,Analytics,Reporting,SUP-00115,13830.08,22030.62,0.593,81.42,Growth,1
PRD-00219,Product 0219,Automation,RPA,SUP-00009,5986.07,7295.57,0.219,76.76,Growth,1
PRD-00220,Product 0220,Security,Compliance,SUP-00118,11744.1,18747.17,0.596,55.13,Growth,1
PRD-00221,Product 0221,Finance,Planning,SUP-00146,12306.89,18460.69,0.5,58.72,Mature,1
PRD-00222,Product 0222,Security,Threat Detection,SUP-00107,14333.84,21982.51,0.534,50.97,Decline,1
PRD-00223,Product 0223,Operations,Logistics,SUP-00056,8593.76,12003.08,0.397,63.87,Mature,1
PRD-00224,Product 0224,Security,Compliance,SUP-00036,7242.73,9706.72,0.34,58.25,Decline,1
PRD-00225,Product 0225,Security,IAM,SUP-00063,4685.26,7022.11,0.499,62.84,Mature,1
PRD-00226,Product 0226,Analytics,Reporting,SUP-00055,247.53,398.72,0.611,86.86,Mature,1
PRD-00227,Product 0227,Finance,Budgeting,SUP-00028,2897.54,3452.39,0.191,87.73,Intro,1
PRD-00228,Product 0228,Analytics,Reporting,SUP-00152,4055.22,5850.64,0.443,51.38,Mature,1
PRD-00229,Product 0229,Automation,Scheduling,SUP-00021,11875.16,15305.46,0.289,75.21,Intro,0
PRD-00230,Product 0230,Finance,Expense Control,SUP-00046,14253.93,19328.85,0.356,73.11,Mature,1
PRD-00231,Product 0231,Security,Compliance,SUP-00009,8299.07,11890.54,0.433,52.66,Mature,1
PRD-00232,Product 0232,Automation,RPA,SUP-00094,14805.26,18883.12,0.275,86.0,Mature,1
PRD-00233,Product 0233,Automation,RPA,SUP-00018,6775.71,8026.54,0.185,36.86,Decline,1
PRD-00234,Product 0234,Analytics,Data Modeling,SUP-00121,11803.42,14285.51,0.21,80.28,Growth,1
PRD-00235,Product 0235,Automation,Workflow,SUP-00089,10062.39,11987.49,0.191,60.01,Growth,1
PRD-00236,Product 0236,Finance,Revenue Ops,SUP-00081,2767.4,3320.35,0.2,43.79,Mature,1
PRD-00237,Product 0237,Finance,Revenue Ops,SUP-00117,8358.47,10470.52,0.253,58.87,Growth,1
PRD-00238,Product 0238,Operations,Logistics,SUP-00147,17420.5,23960.27,0.375,93.93,Growth,1
PRD-00239,Product 0239,Operations,Inventory Control,SUP-00017,2763.6,3811.12,0.379,99.0,Intro,1
PRD-00240,Product 0240,Automation,RPA,SUP-00109,7348.25,8709.72,0.185,48.76,Mature,1
PRD-00241,Product 0241,Operations,Procurement,SUP-00021,6033.77,7190.4,0.192,61.34,Intro,1
PRD-00242,Product 0242,Finance,Revenue Ops,SUP-00016,13451.02,17369.46,0.291,58.84,Decline,0
PRD-00243,Product 0243,Automation,Workflow,SUP-00015,765.53,920.02,0.202,61.68,Growth,1
PRD-00244,Product 0244,Security,Risk Scoring,SUP-00042,8196.61,10412.52,0.27,89.62,Mature,1
PRD-00245,Product 0245,Finance,Planning,SUP-00079,4816.21,5757.6,0.195,55.35,Mature,1
PRD-00246,Product 0246,Analytics,Forecasting,SUP-00033,5412.57,6593.01,0.218,48.71,Growth,1
PRD-00247,Product 0247,Security,IAM,SUP-00036,7375.27,10846.57,0.471,54.44,Growth,1
PRD-00248,Product 0248,Operations,Maintenance,SUP-00153,5302.95,6571.72,0.239,58.82,Mature,1
PRD-00249,Product 0249,Automation,Workflow,SUP-00024,10251.79,14109.35,0.376,75.09,Intro,1
PRD-00250,Product 0250,Analytics,Reporting,SUP-00015,5222.82,8018.95,0.535,64.14,Intro,1
PRD-00251,Product 0251,Analytics,Data Modeling,SUP-00068,16518.36,19913.34,0.206,73.31,Mature,1
PRD-00252,Product 0252,Finance,Revenue Ops,SUP-00110,8095.05,10514.9,0.299,80.0,Mature,1
PRD-00253,Product 0253,Automation,Integration,SUP-00095,2854.89,4154.59,0.455,57.22,Decline,0
PRD-00254,Product 0254,Finance,Planning,SUP-00104,5257.64,6605.31,0.256,60.81,Growth,1
PRD-00255,Product 0255,Operations,Inventory Control,SUP-00029,14366.43,20239.31,0.409,70.35,Growth,1
PRD-00256,Product 0256,Operations,Procurement,SUP-00065,2027.56,3010.78,0.485,51.52,Mature,1
PRD-00257,Product 0257,Automation,Workflow,SUP-00125,6881.51,10993.37,0.598,62.75,Mature,1
PRD-00258,Product 0258,Security,IAM,SUP-00056,17081.7,27477.97,0.609,80.0,Growth,1
PRD-00259,Product 0259,Automation,Scheduling,SUP-00096,96.09,120.28,0.252,64.08,Growth,1
PRD-00260,Product 0260,Automation,Scheduling,SUP-00022,17484.61,27371.71,0.565,83.68,Intro,1
