campaign_id,campaign_name,channel,target_segment,start_date,end_date,budget,leads_generated,conversion_rate,attributed_revenue
MKT-00053,Campaign 0053,Content,SMB,2025-06-20 00:00:00+00:00,2025-08-11 00:00:00+00:00,55982,507,0.0281,310605.92
MKT-00054,Campaign 0054,Social,Mid-Market,2024-06-08 00:00:00+00:00,2024-07-28 00:00:00+00:00,670194,5704,0.0326,4030360.64
MKT-00055,Campaign 0055,Search,Mid-Market,2024-11-13 00:00:00+00:00,2025-01-18 00:00:00+00:00,198463,1596,0.0364,770907.48
MKT-00056,Campaign 0056,Events,Enterprise,2025-12-01 00:00:00+00:00,2025-12-15 00:00:00+00:00,779039,21372,0.0281,3425197.65
MKT-00057,Campaign 0057,Social,SMB,2023-06-23 00:00:00+00:00,2023-07-20 00:00:00+00:00,361192,4611,0.03,2101975.17
MKT-00058,Campaign 0058,Content,Enterprise,2025-09-11 00:00:00+00:00,2025-11-16 00:00:00+00:00,628409,5919,0.0628,3876051.31
MKT-00059,Campaign 0059,Content,Enterprise,2024-08-21 00:00:00+00:00,2024-09-15 00:00:00+00:00,522708,4433,0.0469,3936598.34
MKT-00060,Campaign 0060,Content,SMB,2023-12-31 00:00:00+00:00,2024-03-28 00:00:00+00:00,415217,5102,0.0243,1752855.6
MKT-00061,Campaign 0061,Events,Mid-Market,2023-06-22 00:00:00+00:00,2023-09-15 00:00:00+00:00,595680,10507,0.0484,4231089.63
MKT-00062,Campaign 0062,Social,Enterprise,2025-08-17 00:00:00+00:00,2025-10-02 00:00:00+00:00,800915,12068,0.0354,4608448.55
MKT-00063,Campaign 0063,Email,Enterprise,2024-10-13 00:00:00+00:00,2024-12-23 00:00:00+00:00,679167,9513,0.0716,2285463.09
MKT-00064,Campaign 0064,Partner,Enterprise,2024-10-23 00:00:00+00:00,2024-12-18 00:00:00+00:00,293256,2757,0.0319,1023195.95
MKT-00065,Campaign 0065,Partner,Enterprise,2025-01-22 00:00:00+00:00,2025-03-19 00:00:00+00:00,182563,1533,0.0341,1116247.53
MKT-00066,Campaign 0066,Social,Enterprise,2023-12-01 00:00:00+00:00,2024-02-27 00:00:00+00:00,247491,3242,0.0373,1727359.26
MKT-00067,Campaign 0067,Search,Enterprise,2023-05-07 00:00:00+00:00,2023-07-31 00:00:00+00:00,491402,4052,0.0243,3944402.98
MKT-00068,Campaign 0068,Search,Enterprise,2023-04-16 00:00:00+00:00,2023-05-09 00:00:00+00:00,252360,2593,0.0494,1136284.88
MKT-00069,Campaign 0069,Email,Mid-Market,2025-03-23 00:00:00+00:00,2025-04-30 00:00:00+00:00,736550,9614,0.0427,5727921.1
MKT-00070,Campaign 0070,Search,Mid-Market,2023-07-11 00:00:00+00:00,2023-08-24 00:00:00+00:00,332897,7455,0.0474,1393104.38
MKT-00071,Campaign 0071,Content,Mid-Market,2023-05-05 00:00:00+00:00,2023-06-16 00:00:00+00:00,197856,2458,0.0425,1354335.55
MKT-00072,Campaign 0072,Partner,Enterprise,2024-12-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,719161,10233,0.0449,2985564.96
MKT-00073,Campaign 0073,Partner,Mid-Market,2024-04-27 00:00:00+00:00,2024-07-11 00:00:00+00:00,691995,14853,0.068,4640831.64
MKT-00074,Campaign 0074,Search,SMB,2024-07-26 00:00:00+00:00,2024-08-19 00:00:00+00:00,115341,1007,0.0508,545217.52
MKT-00075,Campaign 0075,Social,SMB,2023-05-10 00:00:00+00:00,2023-07-10 00:00:00+00:00,488110,10660,0.0133,2595940.06
MKT-00076,Campaign 0076,Partner,SMB,2023-06-03 00:00:00+00:00,2023-08-24 00:00:00+00:00,490092,4109,0.047,3342786.05
MKT-00077,Campaign 0077,Partner,Enterprise,2025-01-15 00:00:00+00:00,2025-02-16 00:00:00+00:00,360360,9679,0.0607,2223610.92
MKT-00078,Campaign 0078,Content,SMB,2025-10-24 00:00:00+00:00,2025-12-08 00:00:00+00:00,559523,10750,0.0049,2068810.57
MKT-00079,Campaign 0079,Email,Enterprise,2023-10-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,486520,4903,0.0234,3239724.51
MKT-00080,Campaign 0080,Partner,Enterprise,2024-10-26 00:00:00+00:00,2024-12-19 00:00:00+00:00,857155,7091,0.0516,5443622.64
MKT-00081,Campaign 0081,Social,Mid-Market,2023-08-12 00:00:00+00:00,2023-10-23 00:00:00+00:00,137062,3391,0.0575,1007333.11
MKT-00082,Campaign 0082,Social,Enterprise,2026-01-15 00:00:00+00:00,2026-04-03 00:00:00+00:00,364404,6320,0.0448,2905033.17
MKT-00083,Campaign 0083,Partner,Mid-Market,2024-09-04 00:00:00+00:00,2024-10-07 00:00:00+00:00,381703,4301,0.049,1642178.71
MKT-00084,Campaign 0084,Content,SMB,2023-11-13 00:00:00+00:00,2024-02-11 00:00:00+00:00,448691,3743,0.0639,3129035.22
MKT-00085,Campaign 0085,Search,Mid-Market,2023-05-17 00:00:00+00:00,2023-06-29 00:00:00+00:00,674433,9195,0.0338,3491558.72
MKT-00086,Campaign 0086,Partner,Mid-Market,2023-07-31 00:00:00+00:00,2023-08-16 00:00:00+00:00,638747,7320,0.0269,2888200.76
MKT-00087,Campaign 0087,Partner,Enterprise,2025-07-26 00:00:00+00:00,2025-08-16 00:00:00+00:00,869409,12982,0.038,6253999.35
MKT-00088,Campaign 0088,Events,Mid-Market,2025-09-29 00:00:00+00:00,2025-11-09 00:00:00+00:00,167300,3610,0.0448,1016856.71
MKT-00089,Campaign 0089,Partner,Enterprise,2024-12-19 00:00:00+00:00,2025-02-02 00:00:00+00:00,249975,6759,0.047,2051364.89
MKT-00090,Campaign 0090,Content,Enterprise,2025-05-13 00:00:00+00:00,2025-06-18 00:00:00+00:00,385572,4036,0.0544,1753325.3
MKT-00091,Campaign 0091,Social,Mid-Market,2023-08-23 00:00:00+00:00,2023-10-08 00:00:00+00:00,677450,5943,0.0686,2826380.03
MKT-00092,Campaign 0092,Social,SMB,2023-09-01 00:00:00+00:00,2023-10-20 00:00:00+00:00,46625,936,0.045,280689.72
MKT-00093,Campaign 0093,Content,Enterprise,2023-05-27 00:00:00+00:00,2023-06-27 00:00:00+00:00,222178,2542,0.022,1691064.6
MKT-00094,Campaign 0094,Search,SMB,2024-02-09 00:00:00+00:00,2024-03-06 00:00:00+00:00,19637,193,0.0297,119723.6
MKT-00095,Campaign 0095,Partner,Mid-Market,2024-11-17 00:00:00+00:00,2024-12-04 00:00:00+00:00,73747,1191,0.0442,412325.91
MKT-00096,Campaign 0096,Social,Enterprise,2024-01-01 00:00:00+00:00,2024-02-08 00:00:00+00:00,400896,5766,0.0653,2730283.12
MKT-00097,Campaign 0097,Email,Mid-Market,2023-05-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,253423,2144,0.0525,1565815.27
MKT-00098,Campaign 0098,Social,Mid-Market,2025-03-21 00:00:00+00:00,2025-05-22 00:00:00+00:00,754166,11560,0.0278,5106221.66
MKT-00099,Campaign 0099,Email,SMB,2023-03-28 00:00:00+00:00,2023-04-12 00:00:00+00:00,117740,1989,0.0316,876398.78
MKT-00100,Campaign 0100,Social,Enterprise,2023-09-05 00:00:00+00:00,2023-11-20 00:00:00+00:00,364325,8483,0.0373,3169313.93
MKT-00101,Campaign 0101,Events,Enterprise,2023-03-12 00:00:00+00:00,2023-05-27 00:00:00+00:00,83320,931,0.0432,380699.43
MKT-00102,Campaign 0102,Events,Mid-Market,2023-03-30 00:00:00+00:00,2023-06-26 00:00:00+00:00,516911,6702,0.0376,3396697.51
MKT-00103,Campaign 0103,Social,Enterprise,2023-03-03 00:00:00+00:00,2023-04-16 00:00:00+00:00,599621,4941,0.028,3938950.14
MKT-00104,Campaign 0104,Search,Mid-Market,2025-07-29 00:00:00+00:00,2025-09-01 00:00:00+00:00,443065,5015,0.03,1987239.48
MKT-00105,Campaign 0105,Social,Mid-Market,2023-08-05 00:00:00+00:00,2023-09-23 00:00:00+00:00,121692,2161,0.0408,1045058.38
MKT-00106,Campaign 0106,Events,Mid-Market,2023-01-14 00:00:00+00:00,2023-04-14 00:00:00+00:00,405731,10085,0.0454,3088163.08
MKT-00107,Campaign 0107,Search,SMB,2025-07-10 00:00:00+00:00,2025-09-01 00:00:00+00:00,785913,6777,0.0264,3498420.95
MKT-00108,Campaign 0108,Search,Enterprise,2024-11-30 00:00:00+00:00,2025-01-06 00:00:00+00:00,570200,5580,0.0471,4956829.9
MKT-00109,Campaign 0109,Events,Enterprise,2026-01-03 00:00:00+00:00,2026-02-05 00:00:00+00:00,543652,6121,0.071,2425537.45
MKT-00110,Campaign 0110,Email,Mid-Market,2023-12-21 00:00:00+00:00,2024-03-16 00:00:00+00:00,874545,11561,0.0453,4036308.16
MKT-00111,Campaign 0111,Search,Mid-Market,2026-01-05 00:00:00+00:00,2026-02-13 00:00:00+00:00,204522,5282,0.0464,669584.8
MKT-00112,Campaign 0112,Email,Mid-Market,2024-05-01 00:00:00+00:00,2024-07-12 00:00:00+00:00,514889,5920,0.0201,1972137.9
MKT-00113,Campaign 0113,Content,Mid-Market,2024-11-18 00:00:00+00:00,2025-01-08 00:00:00+00:00,297758,6434,0.0538,1084896.04
MKT-00114,Campaign 0114,Search,Enterprise,2023-03-19 00:00:00+00:00,2023-05-04 00:00:00+00:00,783528,7591,0.0327,6603853.84
MKT-00115,Campaign 0115,Partner,SMB,2023-05-22 00:00:00+00:00,2023-06-17 00:00:00+00:00,715268,6203,0.0591,5720550.24
MKT-00116,Campaign 0116,Content,Enterprise,2023-07-10 00:00:00+00:00,2023-10-07 00:00:00+00:00,320195,2708,0.0708,2245371.98
MKT-00117,Campaign 0117,Events,Mid-Market,2025-04-21 00:00:00+00:00,2025-05-28 00:00:00+00:00,780234,19440,0.0312,4188383.2
MKT-00118,Campaign 0118,Search,Mid-Market,2024-07-30 00:00:00+00:00,2024-08-15 00:00:00+00:00,269417,3648,0.0317,1996498.93
MKT-00119,Campaign 0119,Content,Enterprise,2025-04-13 00:00:00+00:00,2025-06-19 00:00:00+00:00,413348,4628,0.0505,2441110.65
MKT-00120,Campaign 0120,Social,Mid-Market,2024-03-16 00:00:00+00:00,2024-05-30 00:00:00+00:00,89522,1183,0.0217,768313.02
MKT-00121,Campaign 0121,Partner,Mid-Market,2024-02-13 00:00:00+00:00,2024-05-09 00:00:00+00:00,417010,4415,0.0436,1411208.82
MKT-00122,Campaign 0122,Email,Enterprise,2024-06-02 00:00:00+00:00,2024-08-07 00:00:00+00:00,544545,6742,0.0374,1765214.24
MKT-00123,Campaign 0123,Content,Mid-Market,2024-03-04 00:00:00+00:00,2024-03-30 00:00:00+00:00,605496,13532,0.0407,3227670.75
MKT-00124,Campaign 0124,Partner,Mid-Market,2023-01-07 00:00:00+00:00,2023-01-28 00:00:00+00:00,682547,13980,0.0097,5399601.85
MKT-00125,Campaign 0125,Email,Mid-Market,2023-12-16 00:00:00+00:00,2024-01-04 00:00:00+00:00,692498,7469,0.0501,4859210.48
MKT-00126,Campaign 0126,Events,Mid-Market,2025-12-03 00:00:00+00:00,2026-01-08 00:00:00+00:00,585074,5464,0.0813,2934199.25
MKT-00127,Campaign 0127,Search,SMB,2025-05-25 00:00:00+00:00,2025-08-01 00:00:00+00:00,374515,10276,0.0354,1406632.21
MKT-00128,Campaign 0128,Email,SMB,2024-08-20 00:00:00+00:00,2024-10-07 00:00:00+00:00,785021,11938,0.019,4987252.12
MKT-00129,Campaign 0129,Content,Mid-Market,2024-04-28 00:00:00+00:00,2024-05-30 00:00:00+00:00,301827,5487,0.0548,1914742.98
MKT-00130,Campaign 0130,Email,SMB,2024-05-15 00:00:00+00:00,2024-06-16 00:00:00+00:00,208229,1733,0.0281,702871.06
MKT-00131,Campaign 0131,Social,Enterprise,2025-03-09 00:00:00+00:00,2025-05-11 00:00:00+00:00,269338,4160,0.0425,2112843.46
MKT-00132,Campaign 0132,Content,Enterprise,2025-09-24 00:00:00+00:00,2025-12-19 00:00:00+00:00,617860,8187,0.0306,4595815.43
MKT-00133,Campaign 0133,Partner,Mid-Market,2024-07-01 00:00:00+00:00,2024-08-08 00:00:00+00:00,594803,5898,0.0191,3556527.93
MKT-00134,Campaign 0134,Email,Mid-Market,2023-03-13 00:00:00+00:00,2023-04-08 00:00:00+00:00,465189,10215,0.047,1938750.85
MKT-00135,Campaign 0135,Search,Mid-Market,2025-01-25 00:00:00+00:00,2025-02-23 00:00:00+00:00,833982,13739,0.031,5152089.25
MKT-00136,Campaign 0136,Social,Mid-Market,2024-05-28 00:00:00+00:00,2024-07-24 00:00:00+00:00,303044,2613,0.0164,2038921.97
MKT-00137,Campaign 0137,Email,Enterprise,2025-09-18 00:00:00+00:00,2025-12-05 00:00:00+00:00,126406,1358,0.0467,1049374.17
MKT-00138,Campaign 0138,Social,Enterprise,2024-10-24 00:00:00+00:00,2024-12-19 00:00:00+00:00,457576,5769,0.088,2067523.87
MKT-00139,Campaign 0139,Social,Enterprise,2023-01-18 00:00:00+00:00,2023-04-17 00:00:00+00:00,278286,2997,0.0583,2110333.15
MKT-00140,Campaign 0140,Content,Mid-Market,2023-11-16 00:00:00+00:00,2024-01-10 00:00:00+00:00,668802,7250,0.0414,4025783.89
MKT-00141,Campaign 0141,Partner,Mid-Market,2023-11-08 00:00:00+00:00,2023-12-17 00:00:00+00:00,483582,8465,0.0905,1692683.59
MKT-00142,Campaign 0142,Social,Mid-Market,2023-10-26 00:00:00+00:00,2023-11-19 00:00:00+00:00,821449,6821,0.0139,6313183.7
MKT-00143,Campaign 0143,Events,Mid-Market,2024-06-16 00:00:00+00:00,2024-07-04 00:00:00+00:00,696036,10616,0.0512,4482840.95
MKT-00144,Campaign 0144,Events,Enterprise,2023-07-05 00:00:00+00:00,2023-08-26 00:00:00+00:00,559635,7735,0.0713,1943343.27
MKT-00145,Campaign 0145,Content,Mid-Market,2025-06-12 00:00:00+00:00,2025-08-04 00:00:00+00:00,396542,8805,0.0257,2784364.89
MKT-00146,Campaign 0146,Partner,Mid-Market,2025-03-22 00:00:00+00:00,2025-06-15 00:00:00+00:00,615998,7493,0.0468,3895415.34
MKT-00147,Campaign 0147,Partner,Enterprise,2024-02-11 00:00:00+00:00,2024-02-27 00:00:00+00:00,340558,3808,0.0319,1856011.9
MKT-00148,Campaign 0148,Search,Mid-Market,2025-02-07 00:00:00+00:00,2025-03-09 00:00:00+00:00,860644,10720,0.0366,3192153.43
MKT-00149,Campaign 0149,Email,SMB,2025-10-02 00:00:00+00:00,2025-11-01 00:00:00+00:00,554480,5371,0.0486,4539948.15
MKT-00150,Campaign 0150,Search,Mid-Market,2024-04-15 00:00:00+00:00,2024-05-04 00:00:00+00:00,685768,10499,0.0138,5765432.58
MKT-00151,Campaign 0151,Partner,Enterprise,2024-06-20 00:00:00+00:00,2024-07-11 00:00:00+00:00,212446,2396,0.0259,1793762.3
MKT-00152,Campaign 0152,Content,Mid-Market,2023-04-26 00:00:00+00:00,2023-07-23 00:00:00+00:00,217394,3993,0.0426,1465175.0
MKT-00153,Campaign 0153,Partner,SMB,2024-09-29 00:00:00+00:00,2024-10-15 00:00:00+00:00,448966,3749,0.0139,1595599.83
MKT-00154,Campaign 0154,Partner,Enterprise,2023-08-02 00:00:00+00:00,2023-10-26 00:00:00+00:00,709621,6959,0.0361,4803523.31
MKT-00155,Campaign 0155,Search,SMB,2023-02-02 00:00:00+00:00,2023-04-12 00:00:00+00:00,840335,14664,0.0177,6614500.62
MKT-00156,Campaign 0156,Content,Enterprise,2024-04-09 00:00:00+00:00,2024-06-05 00:00:00+00:00,133773,3097,0.0186,1172459.2
MKT-00157,Campaign 0157,Partner,Enterprise,2025-03-18 00:00:00+00:00,2025-04-12 00:00:00+00:00,105637,2110,0.0567,670362.26
MKT-00158,Campaign 0158,Events,Mid-Market,2023-10-13 00:00:00+00:00,2024-01-04 00:00:00+00:00,138998,2867,0.0436,721929.44
MKT-00159,Campaign 0159,Email,Mid-Market,2023-06-17 00:00:00+00:00,2023-09-02 00:00:00+00:00,106491,1079,0.0385,609537.89
MKT-00160,Campaign 0160,Social,Mid-Market,2025-04-27 00:00:00+00:00,2025-07-25 00:00:00+00:00,875716,24439,0.035,5620231.4
MKT-00161,Campaign 0161,Content,Mid-Market,2023-07-28 00:00:00+00:00,2023-08-31 00:00:00+00:00,153079,2612,0.047,1197593.4
MKT-00162,Campaign 0162,Events,SMB,2023-04-02 00:00:00+00:00,2023-04-29 00:00:00+00:00,119092,1673,0.0344,1011097.09
MKT-00163,Campaign 0163,Content,SMB,2023-01-13 00:00:00+00:00,2023-03-06 00:00:00+00:00,303562,8085,0.0299,1352838.77
MKT-00164,Campaign 0164,Partner,SMB,2024-03-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,765297,13271,0.0587,3518291.79
MKT-00165,Campaign 0165,Content,Mid-Market,2024-04-04 00:00:00+00:00,2024-04-26 00:00:00+00:00,842474,7997,0.0321,6640673.93
MKT-00166,Campaign 0166,Events,Mid-Market,2025-10-17 00:00:00+00:00,2025-12-11 00:00:00+00:00,627614,5618,0.0635,3627121.64
MKT-00167,Campaign 0167,Email,Mid-Market,2025-04-19 00:00:00+00:00,2025-05-08 00:00:00+00:00,553047,7192,0.0331,2621581.49
MKT-00168,Campaign 0168,Email,SMB,2024-01-24 00:00:00+00:00,2024-04-01 00:00:00+00:00,699083,7045,0.054,2709037.46
MKT-00169,Campaign 0169,Search,SMB,2024-01-23 00:00:00+00:00,2024-02-18 00:00:00+00:00,100203,902,0.0461,423819.35
MKT-00170,Campaign 0170,Events,Enterprise,2025-05-25 00:00:00+00:00,2025-08-10 00:00:00+00:00,524030,12381,0.051,2652978.43
MKT-00171,Campaign 0171,Email,Mid-Market,2023-07-07 00:00:00+00:00,2023-09-17 00:00:00+00:00,70517,653,0.0466,237160.05
MKT-00172,Campaign 0172,Social,Enterprise,2023-12-12 00:00:00+00:00,2024-02-02 00:00:00+00:00,701857,6355,0.0534,6063896.5
MKT-00173,Campaign 0173,Partner,Mid-Market,2025-03-27 00:00:00+00:00,2025-06-08 00:00:00+00:00,464487,4672,0.0653,2908503.68
MKT-00174,Campaign 0174,Email,Mid-Market,2025-01-12 00:00:00+00:00,2025-01-27 00:00:00+00:00,879095,12242,0.0279,6866456.22
MKT-00175,Campaign 0175,Search,SMB,2025-11-27 00:00:00+00:00,2026-02-26 00:00:00+00:00,559910,6878,0.0658,3171831.85
MKT-00176,Campaign 0176,Email,Enterprise,2024-10-03 00:00:00+00:00,2024-10-22 00:00:00+00:00,687325,14057,0.0372,5886004.64
MKT-00177,Campaign 0177,Social,Enterprise,2023-10-16 00:00:00+00:00,2023-12-28 00:00:00+00:00,74802,729,0.013,416814.27
MKT-00178,Campaign 0178,Partner,Enterprise,2024-08-23 00:00:00+00:00,2024-11-10 00:00:00+00:00,306528,3075,0.0529,1664490.7
MKT-00179,Campaign 0179,Social,SMB,2023-12-21 00:00:00+00:00,2024-02-18 00:00:00+00:00,431637,4740,0.0553,3139125.8
MKT-00180,Campaign 0180,Events,Enterprise,2023-06-19 00:00:00+00:00,2023-08-15 00:00:00+00:00,824515,7502,0.05,5235659.12
MKT-00181,Campaign 0181,Content,Enterprise,2024-09-09 00:00:00+00:00,2024-10-17 00:00:00+00:00,629870,14840,0.0366,3096145.81
MKT-00182,Campaign 0182,Email,Enterprise,2023-02-28 00:00:00+00:00,2023-03-18 00:00:00+00:00,449707,5456,0.027,1441601.61
MKT-00183,Campaign 0183,Partner,Mid-Market,2023-09-06 00:00:00+00:00,2023-11-08 00:00:00+00:00,604114,9504,0.0335,2351091.74
MKT-00184,Campaign 0184,Content,Enterprise,2023-06-03 00:00:00+00:00,2023-08-10 00:00:00+00:00,161526,1823,0.0447,752216.94
MKT-00185,Campaign 0185,Search,Mid-Market,2025-08-16 00:00:00+00:00,2025-10-02 00:00:00+00:00,636649,17707,0.0376,2419834.88
