operating_date,warehouse_id,throughput_units,on_time_delivery_rate,fulfillment_rate,incident_count,labor_hours,downtime_minutes
2023-02-21 00:00:00+00:00,WH-North,1819,0.8687,0.9389,1,95.12,85
2023-02-22 00:00:00+00:00,WH-North,1311,0.9399,0.9701,0,59.28,0
2023-02-23 00:00:00+00:00,WH-North,1495,0.9599,0.9591,0,56.22,0
2023-02-24 00:00:00+00:00,WH-North,1315,0.9539,0.9458,0,63.85,0
2023-02-25 00:00:00+00:00,WH-North,1500,0.9846,0.9731,0,60.52,0
2023-02-26 00:00:00+00:00,WH-North,1321,0.9311,0.9626,0,62.25,0
2023-02-27 00:00:00+00:00,WH-North,1427,0.9652,0.9455,0,56.83,0
2023-02-28 00:00:00+00:00,WH-North,1408,0.9575,0.9511,0,51.13,0
2023-03-01 00:00:00+00:00,WH-North,1606,0.995,0.9902,0,57.79,0
2023-03-02 00:00:00+00:00,WH-North,1327,0.9181,0.9771,0,71.71,0
2023-03-03 00:00:00+00:00,WH-North,1135,0.9224,0.9559,1,45.94,32
2023-03-04 00:00:00+00:00,WH-North,1045,0.8576,0.955,1,37.48,74
2023-03-05 00:00:00+00:00,WH-North,1431,0.922,0.9543,0,74.11,0
2023-03-06 00:00:00+00:00,WH-North,1567,0.9869,0.9488,0,68.93,0
2023-03-07 00:00:00+00:00,WH-North,1365,0.9093,0.9575,1,57.39,20
2023-03-08 00:00:00+00:00,WH-North,1077,0.9041,0.9548,1,44.38,77
2023-03-09 00:00:00+00:00,WH-North,1410,0.9375,0.9766,0,53.79,0
2023-03-10 00:00:00+00:00,WH-North,1395,0.9134,0.999,0,51.91,0
2023-03-11 00:00:00+00:00,WH-North,1459,0.9423,0.9591,1,52.33,33
2023-03-12 00:00:00+00:00,WH-North,1488,0.9854,0.9464,0,56.38,0
2023-03-13 00:00:00+00:00,WH-North,1120,0.9362,0.9743,0,46.56,0
2023-03-14 00:00:00+00:00,WH-North,1550,0.995,0.9777,0,85.84,0
2023-03-15 00:00:00+00:00,WH-North,1242,0.9856,0.9693,0,59.35,0
2023-03-16 00:00:00+00:00,WH-North,1751,0.953,0.9697,0,64.93,0
2023-03-17 00:00:00+00:00,WH-North,1301,0.9072,0.9679,0,53.26,0
2023-03-18 00:00:00+00:00,WH-North,1119,0.9116,0.9587,1,47.38,14
2023-03-19 00:00:00+00:00,WH-North,1551,0.9464,0.9516,0,85.93,0
2023-03-20 00:00:00+00:00,WH-North,1445,0.8768,0.999,0,72.06,0
2023-03-21 00:00:00+00:00,WH-North,1792,0.9535,0.9885,0,65.24,0
2023-03-22 00:00:00+00:00,WH-North,1222,0.9341,0.9457,0,59.76,0
2023-03-23 00:00:00+00:00,WH-North,1218,0.9229,0.9534,1,57.51,58
2023-03-24 00:00:00+00:00,WH-North,1511,0.9655,0.9595,0,62.51,0
2023-03-25 00:00:00+00:00,WH-North,1321,0.9452,0.9609,0,56.9,0
2023-03-26 00:00:00+00:00,WH-North,1415,0.8785,0.9781,0,58.91,0
2023-03-27 00:00:00+00:00,WH-North,1270,0.9041,0.9744,0,64.17,0
2023-03-28 00:00:00+00:00,WH-North,1614,0.9361,0.9938,0,78.35,0
2023-03-29 00:00:00+00:00,WH-North,1235,0.9225,0.9603,1,44.63,19
2023-03-30 00:00:00+00:00,WH-North,1452,0.8902,0.9584,1,52.1,44
2023-03-31 00:00:00+00:00,WH-North,1429,0.9104,0.9666,0,52.31,0
2023-04-01 00:00:00+00:00,WH-North,1366,0.936,0.9688,1,68.54,20
2023-04-02 00:00:00+00:00,WH-North,1540,0.8869,0.9702,0,80.64,0
2023-04-03 00:00:00+00:00,WH-North,1493,0.9564,0.9719,0,60.74,0
2023-04-04 00:00:00+00:00,WH-North,1461,0.9667,0.9664,0,75.04,0
2023-04-05 00:00:00+00:00,WH-North,1483,0.9683,0.9628,0,58.87,0
2023-04-06 00:00:00+00:00,WH-North,1538,0.9068,0.9675,0,60.74,0
2023-04-07 00:00:00+00:00,WH-North,1480,0.9182,0.966,0,61.3,0
2023-04-08 00:00:00+00:00,WH-North,1573,0.9388,0.9791,1,84.5,54
2023-04-09 00:00:00+00:00,WH-North,1610,0.9636,0.9856,0,71.6,0
2023-04-10 00:00:00+00:00,WH-North,1586,0.9316,0.9877,0,82.66,0
2023-04-11 00:00:00+00:00,WH-North,1244,0.9339,0.9755,0,60.97,0
2023-04-12 00:00:00+00:00,WH-North,1225,0.9167,0.9372,1,54.75,25
2023-04-13 00:00:00+00:00,WH-North,1499,0.946,0.978,0,70.46,0
2023-04-14 00:00:00+00:00,WH-North,1465,0.9045,0.9439,1,64.44,23
2023-04-15 00:00:00+00:00,WH-North,1597,0.9545,0.9425,0,87.56,0
2023-04-16 00:00:00+00:00,WH-North,1533,0.8869,0.9587,1,61.94,37
2023-04-17 00:00:00+00:00,WH-North,1847,0.923,0.9482,2,91.17,112
2023-04-18 00:00:00+00:00,WH-North,1240,0.9194,0.9516,1,53.94,66
2023-04-19 00:00:00+00:00,WH-North,1219,0.9695,0.9526,0,49.51,0
2023-04-20 00:00:00+00:00,WH-North,1391,0.9566,0.9673,0,56.57,0
2023-04-21 00:00:00+00:00,WH-North,1555,0.9083,0.9855,0,63.53,0
2023-04-22 00:00:00+00:00,WH-North,1391,0.9213,0.9611,1,67.98,63
2023-04-23 00:00:00+00:00,WH-North,1568,0.9772,0.965,1,71.48,16
2023-04-24 00:00:00+00:00,WH-North,1218,0.995,0.9815,0,46.22,0
2023-04-25 00:00:00+00:00,WH-North,1500,0.9144,0.9422,1,68.79,61
2023-04-26 00:00:00+00:00,WH-North,1410,0.9115,0.9787,0,69.08,0
2023-04-27 00:00:00+00:00,WH-North,1801,0.92,0.9783,1,71.29,67
2023-04-28 00:00:00+00:00,WH-North,1180,0.947,0.9456,2,53.04,128
2023-04-29 00:00:00+00:00,WH-North,1496,0.9012,0.9283,0,58.58,0
2023-04-30 00:00:00+00:00,WH-North,1113,0.9533,0.999,1,43.86,15
2023-05-01 00:00:00+00:00,WH-North,1767,0.903,0.9548,0,73.45,0
2023-05-02 00:00:00+00:00,WH-North,1419,0.9155,0.9488,2,51.41,60
2023-05-03 00:00:00+00:00,WH-North,1239,0.9423,0.9935,1,66.11,68
2023-05-04 00:00:00+00:00,WH-North,1646,0.9867,0.9647,0,59.95,0
2023-05-05 00:00:00+00:00,WH-North,1647,0.9812,0.9585,0,75.69,0
2023-05-06 00:00:00+00:00,WH-North,1524,0.951,0.9745,0,80.61,0
2023-05-07 00:00:00+00:00,WH-North,1601,0.9129,0.9691,0,70.06,0
2023-05-08 00:00:00+00:00,WH-North,1338,0.9403,0.9553,0,62.1,0
2023-05-09 00:00:00+00:00,WH-North,1577,0.9195,0.9736,1,64.16,66
2023-05-10 00:00:00+00:00,WH-North,1647,0.995,0.9591,0,88.18,0
2023-05-11 00:00:00+00:00,WH-North,1572,0.9592,0.9606,0,65.41,0
2023-05-12 00:00:00+00:00,WH-North,1577,0.9673,0.964,0,62.57,0
2023-05-13 00:00:00+00:00,WH-North,1437,0.934,0.9277,1,60.52,75
2023-05-14 00:00:00+00:00,WH-North,1378,0.8675,0.9539,1,61.19,28
2023-05-15 00:00:00+00:00,WH-North,1600,0.971,0.996,0,64.78,0
2023-05-16 00:00:00+00:00,WH-North,1424,0.9067,0.9949,0,72.21,0
2023-05-17 00:00:00+00:00,WH-North,1394,0.9178,0.986,0,69.47,0
2023-05-18 00:00:00+00:00,WH-North,1289,0.8925,0.9466,1,58.41,36
2023-05-19 00:00:00+00:00,WH-North,1262,0.9485,0.9638,0,49.62,0
2023-05-20 00:00:00+00:00,WH-North,1395,0.9509,0.9434,2,59.86,98
2023-05-21 00:00:00+00:00,WH-North,1396,0.9479,0.974,1,50.37,73
2023-05-22 00:00:00+00:00,WH-North,1397,0.8908,0.9451,0,65.56,0
2023-05-23 00:00:00+00:00,WH-North,1658,0.9533,0.9707,0,59.91,0
2023-05-24 00:00:00+00:00,WH-North,1626,0.893,0.9456,2,65.73,58
2023-05-25 00:00:00+00:00,WH-North,1169,0.9202,0.9759,0,54.33,0
2023-05-26 00:00:00+00:00,WH-North,1457,0.9143,0.9575,0,73.94,0
2023-05-27 00:00:00+00:00,WH-North,1395,0.968,0.9629,0,57.53,0
2023-05-28 00:00:00+00:00,WH-North,1656,0.9375,0.9716,0,64.9,0
2023-05-29 00:00:00+00:00,WH-North,1295,0.9376,0.9614,0,55.16,0
2023-05-30 00:00:00+00:00,WH-North,1486,0.9637,0.9684,0,65.97,0
2023-05-31 00:00:00+00:00,WH-North,1362,0.9327,0.9777,0,75.24,0
2023-06-01 00:00:00+00:00,WH-North,1237,0.9695,0.9656,0,56.1,0
2023-06-02 00:00:00+00:00,WH-North,1249,0.9269,0.9775,0,56.51,0
2023-06-03 00:00:00+00:00,WH-North,1586,0.9581,0.9845,1,70.37,60
2023-06-04 00:00:00+00:00,WH-North,1255,0.9242,0.964,0,68.77,0
2023-06-05 00:00:00+00:00,WH-North,1502,0.9219,0.9493,0,60.9,0
2023-06-06 00:00:00+00:00,WH-North,1275,0.9293,0.9601,0,64.61,0
2023-06-07 00:00:00+00:00,WH-North,1047,0.9175,0.9438,1,45.2,80
2023-06-08 00:00:00+00:00,WH-North,1470,0.9328,0.9693,1,64.34,21
2023-06-09 00:00:00+00:00,WH-North,1442,0.8582,0.9725,2,59.44,50
2023-06-10 00:00:00+00:00,WH-North,1576,0.9598,0.9452,0,63.92,0
2023-06-11 00:00:00+00:00,WH-North,1476,0.9578,0.955,0,52.88,0
2023-06-12 00:00:00+00:00,WH-North,1781,0.9342,0.9534,1,82.76,26
2023-06-13 00:00:00+00:00,WH-North,1903,0.9714,0.9562,0,91.93,0
2023-06-14 00:00:00+00:00,WH-North,1220,0.9452,0.9609,0,53.13,0
2023-06-15 00:00:00+00:00,WH-North,1484,0.9424,0.999,0,55.36,0
2023-06-16 00:00:00+00:00,WH-North,1346,0.995,0.9804,1,59.54,47
2023-06-17 00:00:00+00:00,WH-North,1412,0.9374,0.9476,2,68.58,134
2023-06-18 00:00:00+00:00,WH-North,1185,0.9641,0.973,0,52.61,0
2023-06-19 00:00:00+00:00,WH-North,1276,0.8943,0.972,1,52.6,89
2023-06-20 00:00:00+00:00,WH-North,1020,0.9324,0.968,0,53.25,0
2023-06-21 00:00:00+00:00,WH-North,1530,0.9753,0.9589,0,56.75,0
2023-06-22 00:00:00+00:00,WH-North,1397,0.9252,0.9661,0,59.1,0
2023-06-23 00:00:00+00:00,WH-North,1256,0.9117,0.9622,0,44.91,0
2023-06-24 00:00:00+00:00,WH-North,1586,0.9564,0.965,0,60.16,0
2023-06-25 00:00:00+00:00,WH-North,1296,0.9009,0.9696,0,64.68,0
2023-06-26 00:00:00+00:00,WH-North,1717,0.9194,0.9562,1,72.83,80
2023-06-27 00:00:00+00:00,WH-North,1378,0.9135,0.9862,0,67.13,0
2023-06-28 00:00:00+00:00,WH-North,1593,0.8898,0.9819,0,67.29,0
2023-06-29 00:00:00+00:00,WH-North,1395,0.9843,0.9881,0,66.48,0
2023-06-30 00:00:00+00:00,WH-North,1392,0.9682,0.9981,0,66.91,0
2023-07-01 00:00:00+00:00,WH-North,1123,0.995,0.945,0,60.24,0
2023-07-02 00:00:00+00:00,WH-North,1754,0.9426,0.9761,0,88.04,0
2023-07-03 00:00:00+00:00,WH-North,1291,0.9707,0.9416,0,56.03,0
2023-07-04 00:00:00+00:00,WH-North,1728,0.9303,0.9631,0,91.43,0
2023-07-05 00:00:00+00:00,WH-North,1383,0.9769,0.9821,0,60.15,0
2023-07-06 00:00:00+00:00,WH-North,1370,0.9362,0.9873,0,65.38,0
2023-07-07 00:00:00+00:00,WH-North,1641,0.9174,0.999,0,90.41,0
2023-07-08 00:00:00+00:00,WH-North,1292,0.939,0.967,0,64.71,0
2023-07-09 00:00:00+00:00,WH-North,1527,0.907,0.9662,0,57.8,0
2023-07-10 00:00:00+00:00,WH-North,1753,0.9917,0.9514,0,65.95,0
2023-07-11 00:00:00+00:00,WH-North,1488,0.9543,0.9461,1,58.14,28
2023-07-12 00:00:00+00:00,WH-North,1361,0.995,0.9737,0,52.61,0
2023-07-13 00:00:00+00:00,WH-North,1319,0.9521,0.9801,0,68.59,0
2023-07-14 00:00:00+00:00,WH-North,1620,0.9113,0.9602,0,66.22,0
2023-07-15 00:00:00+00:00,WH-North,1593,0.8925,0.9647,0,84.29,0
2023-07-16 00:00:00+00:00,WH-North,1210,0.9701,0.9602,0,61.5,0
2023-07-17 00:00:00+00:00,WH-North,931,0.995,0.9616,0,49.21,0
2023-07-18 00:00:00+00:00,WH-North,1441,0.9662,0.9618,0,73.03,0
2023-07-19 00:00:00+00:00,WH-North,1197,0.9739,0.9964,0,57.37,0
2023-07-20 00:00:00+00:00,WH-North,1529,0.9342,0.9445,2,64.31,44
2023-07-21 00:00:00+00:00,WH-North,1576,0.927,0.9815,0,60.08,0
2023-07-22 00:00:00+00:00,WH-North,1415,0.962,0.9659,0,59.3,0
2023-07-23 00:00:00+00:00,WH-North,1536,0.9824,0.9547,1,59.13,84
2023-07-24 00:00:00+00:00,WH-North,1687,0.9517,0.9738,1,65.02,68
2023-07-25 00:00:00+00:00,WH-North,1373,0.8077,0.9762,1,50.56,32
2023-07-26 00:00:00+00:00,WH-North,1289,0.9612,0.9796,0,56.24,0
2023-07-27 00:00:00+00:00,WH-North,1801,0.9044,0.9551,1,80.66,18
2023-07-28 00:00:00+00:00,WH-North,1599,0.8963,0.9532,1,63.74,25
2023-07-29 00:00:00+00:00,WH-North,1226,0.9047,0.9812,0,61.49,0
2023-07-30 00:00:00+00:00,WH-North,1422,0.9403,0.9599,0,53.23,0
2023-07-31 00:00:00+00:00,WH-North,1627,0.9225,0.9745,0,59.98,0
2023-08-01 00:00:00+00:00,WH-North,1425,0.8686,0.9884,0,73.77,0
2023-08-02 00:00:00+00:00,WH-North,1273,0.9073,0.971,1,64.04,59
2023-08-03 00:00:00+00:00,WH-North,1257,0.9316,0.9435,1,56.2,31
2023-08-04 00:00:00+00:00,WH-North,1831,0.8568,0.9454,1,73.12,79
2023-08-05 00:00:00+00:00,WH-North,1029,0.8863,0.9499,0,53.09,0
2023-08-06 00:00:00+00:00,WH-North,1426,0.9648,0.9875,0,62.56,0
2023-08-07 00:00:00+00:00,WH-North,1547,0.8807,0.9675,2,61.76,126
2023-08-08 00:00:00+00:00,WH-North,1381,0.9002,0.9723,0,50.53,0
2023-08-09 00:00:00+00:00,WH-North,1174,0.893,0.977,1,54.63,85
2023-08-10 00:00:00+00:00,WH-North,1225,0.9184,0.9659,0,58.13,0
2023-08-11 00:00:00+00:00,WH-North,1425,0.9364,0.9546,0,52.05,0
2023-08-12 00:00:00+00:00,WH-North,1482,0.8871,0.9549,2,61.3,166
2023-08-13 00:00:00+00:00,WH-North,1628,0.9718,0.9592,0,59.98,0
2023-08-14 00:00:00+00:00,WH-North,1147,0.8735,0.9576,1,44.51,41
2023-08-15 00:00:00+00:00,WH-North,1411,0.9536,0.9877,0,50.69,0
2023-08-16 00:00:00+00:00,WH-North,1746,0.9071,0.9773,0,69.83,0
2023-08-17 00:00:00+00:00,WH-North,1060,0.9375,0.9619,0,48.25,0
2023-08-18 00:00:00+00:00,WH-North,1192,0.9786,0.9559,0,48.85,0
2023-08-19 00:00:00+00:00,WH-North,1377,0.8817,0.969,0,52.9,0
2023-08-20 00:00:00+00:00,WH-North,1199,0.9785,0.9747,0,45.34,0
2023-08-21 00:00:00+00:00,WH-North,1473,0.9341,0.9532,0,76.75,0
2023-08-22 00:00:00+00:00,WH-North,1064,0.9488,0.9339,1,44.96,36
2023-08-23 00:00:00+00:00,WH-North,1440,0.8791,0.952,0,75.16,0
2023-08-24 00:00:00+00:00,WH-North,1359,0.8941,0.9666,0,69.36,0
2023-08-25 00:00:00+00:00,WH-North,1425,0.9391,0.9552,1,73.13,48
2023-08-26 00:00:00+00:00,WH-North,1672,0.9373,0.9597,0,91.08,0
2023-08-27 00:00:00+00:00,WH-North,1400,0.9526,0.9567,1,63.75,32
2023-08-28 00:00:00+00:00,WH-North,1113,0.9295,0.9726,0,46.6,0
2023-08-29 00:00:00+00:00,WH-North,1646,0.8903,0.9548,1,63.3,40
2023-08-30 00:00:00+00:00,WH-North,1447,0.9222,0.9344,1,73.47,65
2023-08-31 00:00:00+00:00,WH-North,1343,0.9648,0.9791,0,58.57,0
2023-09-01 00:00:00+00:00,WH-North,1456,0.927,0.9623,0,70.21,0
2023-09-02 00:00:00+00:00,WH-North,1536,0.8627,0.964,1,70.46,56
2023-09-03 00:00:00+00:00,WH-North,1187,0.9779,0.9755,0,44.04,0
2023-09-04 00:00:00+00:00,WH-North,1318,0.9221,0.9811,0,60.67,0
2023-09-05 00:00:00+00:00,WH-North,1581,0.9373,0.9633,0,65.92,0
2023-09-06 00:00:00+00:00,WH-North,1713,0.9131,0.9739,1,79.03,68
2023-09-07 00:00:00+00:00,WH-North,933,0.9611,0.9573,0,40.57,0
2023-09-08 00:00:00+00:00,WH-North,1303,0.9526,0.9335,1,49.8,22
2023-09-09 00:00:00+00:00,WH-North,1181,0.9363,0.99,0,58.09,0
2023-09-10 00:00:00+00:00,WH-North,1491,0.995,0.9628,0,73.79,0
2023-09-11 00:00:00+00:00,WH-North,1380,0.8652,0.9623,0,51.77,0
2023-09-12 00:00:00+00:00,WH-North,1276,0.9366,0.9632,0,62.63,0
2023-09-13 00:00:00+00:00,WH-North,1206,0.9401,0.961,0,49.52,0
2023-09-14 00:00:00+00:00,WH-North,1267,0.9299,0.9876,1,64.34,79
2023-09-15 00:00:00+00:00,WH-North,1390,0.8714,0.9467,3,55.41,264
2023-09-16 00:00:00+00:00,WH-North,1568,0.9196,0.984,0,62.62,0
2023-09-17 00:00:00+00:00,WH-North,1591,0.9544,0.974,1,66.27,27
2023-09-18 00:00:00+00:00,WH-North,1756,0.9561,0.9745,0,70.3,0
2023-09-19 00:00:00+00:00,WH-North,1511,0.8742,0.9939,1,61.49,48
2023-09-20 00:00:00+00:00,WH-North,1420,0.9467,0.9729,1,65.22,55
2023-09-21 00:00:00+00:00,WH-North,1270,0.9522,0.9674,0,64.23,0
2023-09-22 00:00:00+00:00,WH-North,1363,0.8913,0.946,0,65.45,0
2023-09-23 00:00:00+00:00,WH-North,1606,0.9775,0.9494,0,68.79,0
2023-09-24 00:00:00+00:00,WH-North,1317,0.9095,0.9353,1,48.95,57
2023-09-25 00:00:00+00:00,WH-North,1419,0.8732,0.9362,1,58.17,20
2023-09-26 00:00:00+00:00,WH-North,1545,0.925,0.9621,1,67.63,66
2023-09-27 00:00:00+00:00,WH-North,1422,0.995,0.9417,0,65.0,0
2023-09-28 00:00:00+00:00,WH-North,1633,0.9251,0.9581,1,74.78,85
2023-09-29 00:00:00+00:00,WH-North,1308,0.9594,0.9744,0,63.38,0
2023-09-30 00:00:00+00:00,WH-North,1457,0.9171,0.9613,0,68.27,0
2023-10-01 00:00:00+00:00,WH-North,1201,0.9078,0.9522,0,62.61,0
2023-10-02 00:00:00+00:00,WH-North,1693,0.9282,0.9853,0,67.5,0
2023-10-03 00:00:00+00:00,WH-North,1322,0.8929,0.9479,1,62.39,18
2023-10-04 00:00:00+00:00,WH-North,1520,0.9819,0.9498,0,55.82,0
2023-10-05 00:00:00+00:00,WH-North,1337,0.9426,0.9878,0,73.57,0
2023-10-06 00:00:00+00:00,WH-North,1283,0.9439,0.9423,0,58.77,0
2023-10-07 00:00:00+00:00,WH-North,1176,0.9277,0.9964,0,48.84,0
2023-10-08 00:00:00+00:00,WH-North,1466,0.9203,0.9828,0,73.44,0
2023-10-09 00:00:00+00:00,WH-North,1131,0.9218,0.999,0,50.17,0
2023-10-10 00:00:00+00:00,WH-North,1425,0.9214,0.9663,0,59.28,0
2023-10-11 00:00:00+00:00,WH-North,1715,0.9644,0.9553,0,80.57,0
2023-10-12 00:00:00+00:00,WH-North,1515,0.9134,0.9459,0,64.19,0
2023-10-13 00:00:00+00:00,WH-North,1281,0.9631,0.9658,0,55.79,0
2023-10-14 00:00:00+00:00,WH-North,1777,0.9663,0.9629,0,92.43,0
2023-10-15 00:00:00+00:00,WH-North,1632,0.9598,0.9664,0,58.78,0
2023-10-16 00:00:00+00:00,WH-North,1280,0.9065,0.9598,0,55.54,0
2023-10-17 00:00:00+00:00,WH-North,1360,0.9119,0.9813,0,54.06,0
2023-10-18 00:00:00+00:00,WH-North,1199,0.9645,0.9587,0,57.29,0
2023-10-19 00:00:00+00:00,WH-North,1432,0.9591,0.9556,0,54.98,0
2023-10-20 00:00:00+00:00,WH-North,1429,0.9466,0.9721,0,51.73,0
2023-10-21 00:00:00+00:00,WH-North,1367,0.8731,0.9448,2,57.07,102
2023-10-22 00:00:00+00:00,WH-North,1657,0.9469,0.9939,0,87.1,0
2023-10-23 00:00:00+00:00,WH-North,1217,0.9569,0.9664,0,61.69,0
2023-10-24 00:00:00+00:00,WH-North,1653,0.9783,0.9622,0,77.57,0
2023-10-25 00:00:00+00:00,WH-North,1546,0.901,0.9599,0,68.15,0
2023-10-26 00:00:00+00:00,WH-North,1599,0.9556,0.9802,0,70.47,0
2023-10-27 00:00:00+00:00,WH-North,1480,0.9348,0.9447,2,58.94,32
2023-10-28 00:00:00+00:00,WH-North,1489,0.9798,0.9553,0,80.51,0
2023-10-29 00:00:00+00:00,WH-North,1524,0.9893,0.9773,0,69.09,0
2023-10-30 00:00:00+00:00,WH-North,1606,0.9507,0.9552,1,76.47,58
2023-10-31 00:00:00+00:00,WH-North,1505,0.9531,0.9866,0,60.7,0
2023-11-01 00:00:00+00:00,WH-North,1472,0.8822,0.9842,0,60.51,0
2023-11-02 00:00:00+00:00,WH-North,1199,0.8668,0.941,1,63.6,60
2023-11-03 00:00:00+00:00,WH-North,1340,0.9553,0.9526,1,52.97,49
2023-11-04 00:00:00+00:00,WH-North,1414,0.9691,0.9655,0,70.34,0
2023-11-05 00:00:00+00:00,WH-North,1673,0.8967,0.9446,1,75.13,21
2023-11-06 00:00:00+00:00,WH-North,1145,0.9642,0.9619,0,49.56,0
2023-11-07 00:00:00+00:00,WH-North,1549,0.9023,0.9388,1,62.78,39
2023-11-08 00:00:00+00:00,WH-North,1355,0.9157,0.9413,1,75.03,87
2023-11-09 00:00:00+00:00,WH-North,1357,0.9215,0.9613,1,68.67,75
2023-11-10 00:00:00+00:00,WH-North,1613,0.9193,0.9616,0,60.15,0
2023-11-11 00:00:00+00:00,WH-North,1308,0.975,0.9702,0,55.18,0
2023-11-12 00:00:00+00:00,WH-North,1364,0.9236,0.9787,0,50.72,0
2023-11-13 00:00:00+00:00,WH-North,1611,0.9082,0.9889,0,75.6,0
2023-11-14 00:00:00+00:00,WH-North,1785,0.9466,0.9668,0,86.49,0
2023-11-15 00:00:00+00:00,WH-North,1456,0.9293,0.9836,0,69.15,0
2023-11-16 00:00:00+00:00,WH-North,1559,0.887,0.9852,0,82.08,0
2023-11-17 00:00:00+00:00,WH-North,1461,0.9411,0.9923,0,52.22,0
2023-11-18 00:00:00+00:00,WH-North,1193,0.8861,0.9695,1,60.43,12
2023-11-19 00:00:00+00:00,WH-North,1447,0.9099,0.9779,0,63.74,0
2023-11-20 00:00:00+00:00,WH-North,1620,0.8959,0.9924,0,69.03,0
