customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag
CUS-000016,Customer 00016,Enterprise,Education,North America,Country-16,2024-06-11 00:00:00+00:00,20870,861693126,73.51,71.88,33.3,0
CUS-000017,Customer 00017,Mid-Market,Telecom,Middle East & Africa,Country-17,2023-07-18 00:00:00+00:00,16809,9372945,59.58,22.64,79.09,1
CUS-000018,Customer 00018,Enterprise,Education,Middle East & Africa,Country-18,2024-12-10 00:00:00+00:00,7083,496543927,58.25,50.15,56.2,0
CUS-000019,Customer 00019,SMB,Manufacturing,Asia Pacific,Country-19,2023-06-25 00:00:00+00:00,24297,1542508,43.56,16.38,79.31,1
CUS-000020,Customer 00020,Mid-Market,Technology,North America,Country-20,2023-03-05 00:00:00+00:00,20061,19483454,52.43,30.05,59.82,1
CUS-000021,Customer 00021,SMB,Finance,North America,Country-21,2024-01-27 00:00:00+00:00,10074,3404876,39.18,21.18,74.09,1
CUS-000022,Customer 00022,Mid-Market,Government,Europe,Country-22,2024-02-01 00:00:00+00:00,24336,15959285,50.42,21.26,84.81,1
CUS-000023,Customer 00023,SMB,Technology,Europe,Country-23,2024-04-11 00:00:00+00:00,4703,3755830,43.62,25.3,87.79,1
CUS-000024,Customer 00024,SMB,Logistics,North America,Country-00,2025-02-13 00:00:00+00:00,8315,1482477,31.84,0.0,100.0,1
CUS-000025,Customer 00025,SMB,Retail,Asia Pacific,Country-01,2024-09-21 00:00:00+00:00,23265,2159085,44.17,11.27,87.56,1
CUS-000026,Customer 00026,Enterprise,Energy,Asia Pacific,Country-02,2023-11-23 00:00:00+00:00,24256,991244583,66.89,61.09,45.87,0
CUS-000027,Customer 00027,Mid-Market,Manufacturing,Middle East & Africa,Country-03,2024-10-15 00:00:00+00:00,20582,4955665,44.95,29.78,60.75,1
CUS-000028,Customer 00028,Enterprise,Finance,Europe,Country-04,2024-03-29 00:00:00+00:00,4800,405306089,44.72,22.74,88.35,1
CUS-000029,Customer 00029,Enterprise,Healthcare,Europe,Country-05,2023-07-21 00:00:00+00:00,5482,930721660,85.26,70.67,33.27,0
CUS-000030,Customer 00030,Mid-Market,Retail,Europe,Country-06,2023-01-20 00:00:00+00:00,16195,6521396,68.45,33.57,72.24,1
CUS-000031,Customer 00031,SMB,Technology,North America,Country-07,2023-01-04 00:00:00+00:00,1422,3825036,32.73,16.84,70.05,1
CUS-000032,Customer 00032,SMB,Healthcare,Asia Pacific,Country-08,2023-07-21 00:00:00+00:00,24779,4313624,53.54,23.46,80.08,1
CUS-000033,Customer 00033,Mid-Market,Technology,Latin America,Country-09,2025-01-07 00:00:00+00:00,23537,8228872,43.65,14.97,98.25,1
CUS-000034,Customer 00034,Mid-Market,Logistics,North America,Country-10,2024-02-22 00:00:00+00:00,20214,24261989,53.7,23.04,79.35,1
CUS-000035,Customer 00035,Mid-Market,Manufacturing,North America,Country-11,2024-02-11 00:00:00+00:00,24204,16881595,50.58,31.15,68.54,1
CUS-000036,Customer 00036,Enterprise,Logistics,Latin America,Country-12,2023-12-26 00:00:00+00:00,5761,36871520,68.11,26.44,72.11,1
CUS-000037,Customer 00037,Enterprise,Healthcare,Europe,Country-13,2023-08-19 00:00:00+00:00,22034,767432514,81.05,46.06,49.23,0
CUS-000038,Customer 00038,Mid-Market,Finance,Europe,Country-14,2024-10-05 00:00:00+00:00,6451,3732128,52.37,27.43,73.54,1
CUS-000039,Customer 00039,Enterprise,Technology,Latin America,Country-15,2023-01-12 00:00:00+00:00,3051,465571029,67.25,58.52,33.3,0
CUS-000040,Customer 00040,Mid-Market,Energy,Asia Pacific,Country-16,2024-07-04 00:00:00+00:00,6579,16165715,68.41,22.94,80.56,1
CUS-000041,Customer 00041,Mid-Market,Energy,North America,Country-17,2025-04-23 00:00:00+00:00,19374,23627929,58.86,38.2,69.92,1
CUS-000042,Customer 00042,SMB,Manufacturing,Latin America,Country-18,2025-03-03 00:00:00+00:00,23576,3902306,35.71,20.37,76.97,1
CUS-000043,Customer 00043,SMB,Technology,Middle East & Africa,Country-19,2023-11-29 00:00:00+00:00,15308,2015905,47.37,12.14,90.9,1
CUS-000044,Customer 00044,Mid-Market,Healthcare,North America,Country-20,2025-02-08 00:00:00+00:00,6154,19465891,71.9,27.41,72.5,1
CUS-000045,Customer 00045,SMB,Healthcare,North America,Country-21,2023-08-02 00:00:00+00:00,15031,2323415,58.78,20.55,82.56,1
CUS-000046,Customer 00046,SMB,Government,Asia Pacific,Country-22,2023-08-06 00:00:00+00:00,12752,2921413,25.46,12.91,93.81,1
CUS-000047,Customer 00047,Mid-Market,Manufacturing,Asia Pacific,Country-23,2023-11-06 00:00:00+00:00,12960,10525931,40.16,16.99,86.26,1
CUS-000048,Customer 00048,Mid-Market,Telecom,Europe,Country-00,2023-01-16 00:00:00+00:00,8763,3967297,71.99,41.38,65.0,1
CUS-000049,Customer 00049,Mid-Market,Telecom,Europe,Country-01,2023-08-28 00:00:00+00:00,3488,10428333,53.97,31.45,72.55,1
CUS-000050,Customer 00050,Enterprise,Healthcare,Asia Pacific,Country-02,2025-02-08 00:00:00+00:00,9047,635200618,41.2,28.41,77.98,1
CUS-000051,Customer 00051,Enterprise,Logistics,Europe,Country-03,2024-11-17 00:00:00+00:00,22262,797151924,61.78,44.36,58.21,1
CUS-000052,Customer 00052,Enterprise,Telecom,North America,Country-04,2023-10-24 00:00:00+00:00,10220,496338335,65.85,51.92,50.75,0
CUS-000053,Customer 00053,SMB,Logistics,North America,Country-05,2023-10-09 00:00:00+00:00,542,510287,39.62,13.73,91.47,1
CUS-000054,Customer 00054,Mid-Market,Finance,Europe,Country-06,2023-11-09 00:00:00+00:00,8642,18978400,68.71,30.18,69.66,1
CUS-000055,Customer 00055,SMB,Education,Middle East & Africa,Country-07,2023-04-18 00:00:00+00:00,11538,4527577,30.99,18.48,85.02,1
CUS-000056,Customer 00056,SMB,Logistics,Asia Pacific,Country-08,2023-05-23 00:00:00+00:00,15008,2909992,57.1,32.66,61.45,1
CUS-000057,Customer 00057,Mid-Market,Finance,Europe,Country-09,2025-06-12 00:00:00+00:00,16049,19441343,61.99,18.71,68.95,1
CUS-000058,Customer 00058,Mid-Market,Government,Middle East & Africa,Country-10,2024-09-15 00:00:00+00:00,10651,19413681,39.99,0.9,100.0,1
CUS-000059,Customer 00059,Enterprise,Education,Europe,Country-11,2024-09-01 00:00:00+00:00,3601,327519378,67.53,40.95,53.81,0
CUS-000060,Customer 00060,Enterprise,Technology,Europe,Country-12,2023-09-10 00:00:00+00:00,11039,450332706,78.93,44.44,69.41,1
CUS-000061,Customer 00061,Mid-Market,Retail,North America,Country-13,2025-02-09 00:00:00+00:00,107,20536209,58.55,27.6,67.14,1
CUS-000062,Customer 00062,Mid-Market,Technology,Latin America,Country-14,2023-06-09 00:00:00+00:00,12662,7179836,63.31,28.03,77.65,1
CUS-000063,Customer 00063,Mid-Market,Energy,Asia Pacific,Country-15,2025-05-21 00:00:00+00:00,11143,5957931,49.78,14.8,80.54,1
CUS-000064,Customer 00064,SMB,Finance,Latin America,Country-16,2024-03-29 00:00:00+00:00,8920,390787,51.77,40.0,60.15,1
CUS-000065,Customer 00065,Mid-Market,Manufacturing,Europe,Country-17,2023-10-25 00:00:00+00:00,16554,5726934,52.42,23.93,68.57,1
CUS-000066,Customer 00066,Mid-Market,Technology,Europe,Country-18,2024-11-06 00:00:00+00:00,18870,5449118,93.65,37.74,54.1,0
CUS-000067,Customer 00067,Mid-Market,Education,North America,Country-19,2024-01-11 00:00:00+00:00,6614,22393544,39.53,19.38,82.93,1
CUS-000068,Customer 00068,Mid-Market,Finance,Middle East & Africa,Country-20,2023-08-31 00:00:00+00:00,12599,3872870,95.77,47.47,50.06,0
CUS-000069,Customer 00069,Enterprise,Telecom,North America,Country-21,2024-09-07 00:00:00+00:00,12755,173279593,58.68,27.41,78.09,1
CUS-000070,Customer 00070,Mid-Market,Retail,Asia Pacific,Country-22,2024-10-11 00:00:00+00:00,12742,3706872,75.8,52.8,56.24,0
CUS-000071,Customer 00071,Enterprise,Logistics,Asia Pacific,Country-23,2024-06-26 00:00:00+00:00,10097,575505856,83.58,45.58,43.57,0
CUS-000072,Customer 00072,Mid-Market,Education,North America,Country-00,2024-02-20 00:00:00+00:00,5265,15147516,45.27,9.28,98.37,1
CUS-000073,Customer 00073,SMB,Logistics,Europe,Country-01,2023-10-23 00:00:00+00:00,4307,1172947,52.39,10.82,82.45,1
CUS-000074,Customer 00074,Enterprise,Telecom,North America,Country-02,2023-12-30 00:00:00+00:00,795,955504756,65.06,62.76,34.91,0
CUS-000075,Customer 00075,Enterprise,Retail,Asia Pacific,Country-03,2025-02-25 00:00:00+00:00,1327,897649398,75.85,69.34,20.85,0
CUS-000076,Customer 00076,Mid-Market,Telecom,Middle East & Africa,Country-04,2023-11-20 00:00:00+00:00,20236,12063886,60.07,24.81,65.59,1
CUS-000077,Customer 00077,Mid-Market,Government,Europe,Country-05,2025-05-20 00:00:00+00:00,1773,5650734,53.11,27.86,58.53,1
CUS-000078,Customer 00078,Mid-Market,Retail,Middle East & Africa,Country-06,2023-05-12 00:00:00+00:00,21390,18467416,51.95,27.67,69.49,1
CUS-000079,Customer 00079,Mid-Market,Healthcare,North America,Country-07,2023-05-27 00:00:00+00:00,22415,23740800,62.77,26.19,74.24,1
CUS-000080,Customer 00080,SMB,Education,Europe,Country-08,2023-10-27 00:00:00+00:00,6050,373517,31.35,17.54,79.86,1
CUS-000081,Customer 00081,Mid-Market,Technology,Middle East & Africa,Country-09,2023-01-03 00:00:00+00:00,11087,7041564,45.87,19.32,68.15,1
CUS-000082,Customer 00082,Mid-Market,Manufacturing,Latin America,Country-10,2025-03-02 00:00:00+00:00,9016,16874745,71.37,29.43,56.87,0
CUS-000083,Customer 00083,SMB,Retail,Europe,Country-11,2023-11-03 00:00:00+00:00,9861,4665242,50.0,18.67,81.4,1
CUS-000084,Customer 00084,Enterprise,Telecom,Asia Pacific,Country-12,2023-04-02 00:00:00+00:00,8966,503761651,53.71,43.67,61.86,1
CUS-000085,Customer 00085,Enterprise,Technology,Middle East & Africa,Country-13,2024-07-10 00:00:00+00:00,8577,178900331,57.95,42.08,59.65,1
CUS-000086,Customer 00086,Enterprise,Education,Latin America,Country-14,2025-05-12 00:00:00+00:00,17113,271415513,42.09,18.8,94.27,1
CUS-000087,Customer 00087,SMB,Education,Asia Pacific,Country-15,2025-06-13 00:00:00+00:00,10331,406944,56.74,21.7,78.03,1
CUS-000088,Customer 00088,Mid-Market,Telecom,North America,Country-16,2023-04-07 00:00:00+00:00,4701,13200814,67.64,32.2,70.01,1
CUS-000089,Customer 00089,Enterprise,Telecom,North America,Country-17,2024-12-14 00:00:00+00:00,9486,997532417,56.76,74.52,25.34,0
CUS-000090,Customer 00090,Mid-Market,Government,Asia Pacific,Country-18,2023-11-22 00:00:00+00:00,24468,18943919,67.1,34.31,60.22,1
CUS-000091,Customer 00091,Enterprise,Logistics,Europe,Country-19,2025-01-22 00:00:00+00:00,24695,764189369,99.8,65.16,33.69,0
CUS-000092,Customer 00092,Mid-Market,Healthcare,North America,Country-20,2024-06-29 00:00:00+00:00,1569,14418983,36.45,9.52,96.35,1
CUS-000093,Customer 00093,Mid-Market,Energy,North America,Country-21,2024-10-20 00:00:00+00:00,14405,20128078,49.39,30.81,75.33,1
CUS-000094,Customer 00094,Mid-Market,Logistics,Europe,Country-22,2025-01-24 00:00:00+00:00,24344,13958868,36.14,14.24,88.26,1
CUS-000095,Customer 00095,Mid-Market,Healthcare,Europe,Country-23,2025-03-16 00:00:00+00:00,4867,11569606,71.28,22.63,88.44,1
CUS-000096,Customer 00096,Mid-Market,Government,Europe,Country-00,2023-05-10 00:00:00+00:00,1742,20540868,56.66,34.32,68.88,1
CUS-000097,Customer 00097,Mid-Market,Healthcare,Europe,Country-01,2024-10-13 00:00:00+00:00,5319,23534359,52.43,26.88,75.41,1
CUS-000098,Customer 00098,Enterprise,Technology,North America,Country-02,2023-05-07 00:00:00+00:00,7954,681037173,75.18,48.12,62.4,1
CUS-000099,Customer 00099,Enterprise,Telecom,Latin America,Country-03,2025-04-29 00:00:00+00:00,23368,55152895,64.2,20.1,74.9,1
CUS-000100,Customer 00100,SMB,Energy,Asia Pacific,Country-04,2024-07-19 00:00:00+00:00,6286,2760144,38.38,0.03,100.0,1
CUS-000101,Customer 00101,SMB,Government,North America,Country-05,2023-06-23 00:00:00+00:00,8316,2895890,47.85,16.65,76.53,1
CUS-000102,Customer 00102,Mid-Market,Finance,Europe,Country-06,2023-09-21 00:00:00+00:00,6509,11848279,49.46,25.11,73.03,1
CUS-000103,Customer 00103,Enterprise,Finance,Europe,Country-07,2025-03-17 00:00:00+00:00,9803,696944833,65.43,61.53,25.62,0
CUS-000104,Customer 00104,SMB,Logistics,Asia Pacific,Country-08,2024-08-03 00:00:00+00:00,24866,396855,41.81,22.23,79.53,1
CUS-000105,Customer 00105,SMB,Government,Asia Pacific,Country-09,2023-07-26 00:00:00+00:00,2118,4529235,45.28,10.1,99.18,1
CUS-000106,Customer 00106,SMB,Government,Asia Pacific,Country-10,2025-01-08 00:00:00+00:00,11472,3203328,52.42,21.43,72.0,1
CUS-000107,Customer 00107,Mid-Market,Logistics,Asia Pacific,Country-11,2024-10-08 00:00:00+00:00,15357,17554942,66.17,41.82,56.2,0
CUS-000108,Customer 00108,Enterprise,Logistics,North America,Country-12,2023-03-11 00:00:00+00:00,3009,29439780,51.01,19.89,78.56,1
CUS-000109,Customer 00109,Enterprise,Logistics,North America,Country-13,2023-09-12 00:00:00+00:00,1134,234831690,91.71,55.64,42.85,0
CUS-000110,Customer 00110,SMB,Government,North America,Country-14,2025-01-30 00:00:00+00:00,24557,676432,44.83,25.36,67.31,1
CUS-000111,Customer 00111,Mid-Market,Retail,Europe,Country-15,2023-11-12 00:00:00+00:00,6748,12957948,53.36,30.54,69.72,1
CUS-000112,Customer 00112,Enterprise,Technology,Europe,Country-16,2023-02-03 00:00:00+00:00,6085,287552475,59.35,40.22,70.77,1
CUS-000113,Customer 00113,Mid-Market,Retail,Latin America,Country-17,2024-06-27 00:00:00+00:00,8732,18811521,85.85,45.34,51.15,0
CUS-000114,Customer 00114,Mid-Market,Technology,North America,Country-18,2025-03-19 00:00:00+00:00,1836,14465532,91.04,29.62,71.99,1
CUS-000115,Customer 00115,Enterprise,Finance,Asia Pacific,Country-19,2024-05-15 00:00:00+00:00,3694,685470630,98.13,80.28,21.28,0
CUS-000116,Customer 00116,SMB,Finance,North America,Country-20,2025-05-28 00:00:00+00:00,628,1443326,45.7,6.16,91.07,1
CUS-000117,Customer 00117,SMB,Education,Europe,Country-21,2023-04-13 00:00:00+00:00,13383,2547889,48.82,24.55,77.4,1
CUS-000118,Customer 00118,SMB,Logistics,Asia Pacific,Country-22,2024-08-23 00:00:00+00:00,11594,3609356,64.87,28.93,68.4,1
CUS-000119,Customer 00119,Mid-Market,Technology,North America,Country-23,2024-08-07 00:00:00+00:00,6870,20851832,54.63,20.31,82.62,1
CUS-000120,Customer 00120,Mid-Market,Education,Europe,Country-00,2025-06-04 00:00:00+00:00,22960,24114225,65.58,22.55,76.95,1
CUS-000121,Customer 00121,Mid-Market,Retail,Europe,Country-01,2024-04-14 00:00:00+00:00,7649,3667955,61.18,32.06,58.1,1
CUS-000122,Customer 00122,Mid-Market,Energy,Asia Pacific,Country-02,2025-01-09 00:00:00+00:00,448,19607319,84.86,45.29,42.12,0
CUS-000123,Customer 00123,Enterprise,Manufacturing,North America,Country-03,2023-05-11 00:00:00+00:00,2514,239620340,92.11,49.01,36.02,0
CUS-000124,Customer 00124,Mid-Market,Healthcare,Middle East & Africa,Country-04,2023-02-09 00:00:00+00:00,18136,20088512,56.07,23.62,73.51,1
CUS-000125,Customer 00125,Enterprise,Manufacturing,Middle East & Africa,Country-05,2024-10-06 00:00:00+00:00,13342,787479313,93.35,79.83,25.99,0
CUS-000126,Customer 00126,Mid-Market,Technology,Latin America,Country-06,2023-01-04 00:00:00+00:00,6529,21265763,57.95,23.45,71.44,1
CUS-000127,Customer 00127,Mid-Market,Energy,North America,Country-07,2025-02-26 00:00:00+00:00,6204,15417771,50.36,22.86,75.41,1
CUS-000128,Customer 00128,Enterprise,Logistics,Asia Pacific,Country-08,2023-01-19 00:00:00+00:00,5496,336033453,68.01,40.74,54.69,0
CUS-000129,Customer 00129,Enterprise,Telecom,North America,Country-09,2024-09-11 00:00:00+00:00,10561,870617538,74.06,83.57,10.58,0
CUS-000130,Customer 00130,Mid-Market,Government,Latin America,Country-10,2024-02-11 00:00:00+00:00,17602,9932325,47.01,14.78,100.0,1
CUS-000131,Customer 00131,Enterprise,Finance,Europe,Country-11,2024-08-03 00:00:00+00:00,15961,639900958,64.75,58.19,36.22,0
CUS-000132,Customer 00132,SMB,Manufacturing,North America,Country-12,2024-07-15 00:00:00+00:00,18703,2502476,23.79,0.0,90.53,1
CUS-000133,Customer 00133,Mid-Market,Retail,Europe,Country-13,2024-02-04 00:00:00+00:00,1055,22083653,46.49,14.03,79.71,1
CUS-000134,Customer 00134,Mid-Market,Manufacturing,Latin America,Country-14,2024-03-09 00:00:00+00:00,13986,11058005,61.28,25.49,75.03,1
CUS-000135,Customer 00135,Mid-Market,Telecom,Latin America,Country-15,2024-03-29 00:00:00+00:00,19117,5739055,72.59,31.82,64.17,1
CUS-000136,Customer 00136,Enterprise,Telecom,Europe,Country-16,2024-09-01 00:00:00+00:00,5076,308723515,84.8,46.77,55.23,0
CUS-000137,Customer 00137,SMB,Education,Europe,Country-17,2024-10-01 00:00:00+00:00,14579,2584973,50.02,21.8,73.08,1
CUS-000138,Customer 00138,Mid-Market,Manufacturing,Latin America,Country-18,2024-02-09 00:00:00+00:00,182,19408468,36.59,11.63,84.25,1
CUS-000139,Customer 00139,SMB,Healthcare,Latin America,Country-19,2023-11-14 00:00:00+00:00,22748,2766294,31.95,24.77,70.28,1
CUS-000140,Customer 00140,Enterprise,Government,Latin America,Country-20,2023-02-08 00:00:00+00:00,18438,336425352,69.24,34.93,64.43,1
CUS-000141,Customer 00141,Mid-Market,Retail,Europe,Country-21,2024-12-02 00:00:00+00:00,15584,15080913,71.48,38.65,66.35,1
CUS-000142,Customer 00142,Mid-Market,Telecom,Asia Pacific,Country-22,2023-07-23 00:00:00+00:00,15000,7306505,50.2,28.27,77.47,1
CUS-000143,Customer 00143,SMB,Manufacturing,Latin America,Country-23,2024-01-26 00:00:00+00:00,16757,2309756,26.92,4.61,100.0,1
CUS-000144,Customer 00144,Mid-Market,Technology,North America,Country-00,2025-06-12 00:00:00+00:00,10578,13522728,78.28,32.76,58.05,1
CUS-000145,Customer 00145,Mid-Market,Government,Europe,Country-01,2024-12-07 00:00:00+00:00,24173,11371519,47.71,21.85,70.87,1
CUS-000146,Customer 00146,Enterprise,Healthcare,North America,Country-02,2023-11-08 00:00:00+00:00,5359,111757219,56.21,42.61,50.96,0
CUS-000147,Customer 00147,Mid-Market,Finance,Europe,Country-03,2024-03-03 00:00:00+00:00,20269,17301560,61.18,25.18,74.79,1
CUS-000148,Customer 00148,Mid-Market,Telecom,Latin America,Country-04,2023-10-20 00:00:00+00:00,19054,19207161,57.3,55.45,37.01,0
CUS-000149,Customer 00149,Mid-Market,Logistics,North America,Country-05,2024-07-17 00:00:00+00:00,20943,16327022,51.0,29.66,65.51,1
CUS-000150,Customer 00150,Enterprise,Government,Asia Pacific,Country-06,2023-05-18 00:00:00+00:00,1795,522975622,72.01,53.46,51.33,0
CUS-000151,Customer 00151,SMB,Retail,North America,Country-07,2025-05-07 00:00:00+00:00,11141,1732659,31.04,21.1,86.39,1
CUS-000152,Customer 00152,SMB,Telecom,Middle East & Africa,Country-08,2025-06-07 00:00:00+00:00,16076,579323,36.84,2.85,100.0,1
CUS-000153,Customer 00153,Enterprise,Logistics,Latin America,Country-09,2023-09-26 00:00:00+00:00,15482,190149416,71.49,48.2,54.04,0
CUS-000154,Customer 00154,Mid-Market,Retail,Europe,Country-10,2023-07-27 00:00:00+00:00,17217,8051287,29.5,2.97,92.39,1
CUS-000155,Customer 00155,Enterprise,Education,Asia Pacific,Country-11,2024-04-30 00:00:00+00:00,15865,895135291,85.37,76.71,23.44,0
CUS-000156,Customer 00156,Mid-Market,Healthcare,North America,Country-12,2024-08-05 00:00:00+00:00,5600,21712280,38.78,13.47,94.51,1
CUS-000157,Customer 00157,Mid-Market,Technology,Latin America,Country-13,2024-08-02 00:00:00+00:00,20701,9064006,44.86,14.11,90.52,1
CUS-000158,Customer 00158,Mid-Market,Government,Asia Pacific,Country-14,2023-02-07 00:00:00+00:00,12096,4687297,72.0,46.75,59.45,1
CUS-000159,Customer 00159,SMB,Energy,North America,Country-15,2024-10-01 00:00:00+00:00,24268,1632280,51.97,22.65,84.01,1
CUS-000160,Customer 00160,SMB,Government,Middle East & Africa,Country-16,2023-03-01 00:00:00+00:00,13016,994256,45.22,8.14,89.57,1
CUS-000161,Customer 00161,Enterprise,Energy,North America,Country-17,2023-11-04 00:00:00+00:00,13449,936728163,48.09,62.23,42.21,0
CUS-000162,Customer 00162,SMB,Healthcare,Asia Pacific,Country-18,2024-10-07 00:00:00+00:00,14792,2610050,35.52,6.31,91.03,1
CUS-000163,Customer 00163,Enterprise,Energy,North America,Country-19,2025-03-09 00:00:00+00:00,21780,88535259,68.97,45.02,59.14,1
CUS-000164,Customer 00164,Enterprise,Energy,Asia Pacific,Country-20,2024-07-25 00:00:00+00:00,22532,482168189,69.99,48.25,60.34,1
CUS-000165,Customer 00165,Mid-Market,Finance,North America,Country-21,2023-05-24 00:00:00+00:00,14628,4986271,73.98,23.27,87.6,1
CUS-000166,Customer 00166,Mid-Market,Retail,North America,Country-22,2024-09-04 00:00:00+00:00,13671,15825470,85.92,45.79,58.37,1
CUS-000167,Customer 00167,SMB,Energy,Europe,Country-23,2023-02-03 00:00:00+00:00,1386,3526836,52.61,27.97,74.79,1
CUS-000168,Customer 00168,SMB,Technology,Middle East & Africa,Country-00,2023-07-27 00:00:00+00:00,1706,1628540,36.52,0.0,100.0,1
CUS-000169,Customer 00169,Mid-Market,Logistics,North America,Country-01,2023-04-22 00:00:00+00:00,18419,23941012,75.0,34.08,59.87,1
CUS-000170,Customer 00170,SMB,Manufacturing,Asia Pacific,Country-02,2025-06-05 00:00:00+00:00,8640,4508848,35.75,18.63,91.49,1
CUS-000171,Customer 00171,Mid-Market,Technology,Europe,Country-03,2023-11-28 00:00:00+00:00,10931,12675603,21.27,11.94,88.98,1
CUS-000172,Customer 00172,Mid-Market,Education,Latin America,Country-04,2024-05-17 00:00:00+00:00,15717,21041307,40.51,17.49,83.48,1
CUS-000173,Customer 00173,Enterprise,Education,North America,Country-05,2024-12-12 00:00:00+00:00,5565,382961088,38.79,36.82,60.02,1
CUS-000174,Customer 00174,SMB,Government,Asia Pacific,Country-06,2025-05-22 00:00:00+00:00,8345,3671254,38.63,22.06,69.73,1
CUS-000175,Customer 00175,Enterprise,Healthcare,Middle East & Africa,Country-07,2025-06-14 00:00:00+00:00,1097,239293653,69.5,39.9,70.4,1
CUS-000176,Customer 00176,Enterprise,Manufacturing,Europe,Country-08,2023-05-28 00:00:00+00:00,19204,384267096,49.7,33.93,68.9,1
CUS-000177,Customer 00177,Mid-Market,Technology,Europe,Country-09,2023-12-21 00:00:00+00:00,12725,16027805,46.04,22.47,74.95,1
CUS-000178,Customer 00178,SMB,Telecom,Middle East & Africa,Country-10,2023-12-31 00:00:00+00:00,4767,911124,24.03,6.02,96.43,1
CUS-000179,Customer 00179,SMB,Healthcare,Europe,Country-11,2024-12-17 00:00:00+00:00,14912,2585312,42.22,10.91,86.73,1
CUS-000180,Customer 00180,SMB,Manufacturing,Europe,Country-12,2023-10-30 00:00:00+00:00,3596,4679684,32.05,5.6,82.47,1
CUS-000181,Customer 00181,SMB,Manufacturing,North America,Country-13,2023-07-28 00:00:00+00:00,19522,4062864,58.14,25.5,73.25,1
CUS-000182,Customer 00182,SMB,Finance,Latin America,Country-14,2024-11-10 00:00:00+00:00,5795,730833,46.38,14.03,76.12,1
CUS-000183,Customer 00183,Mid-Market,Logistics,Middle East & Africa,Country-15,2024-03-21 00:00:00+00:00,6776,19891949,80.47,35.64,66.03,1
CUS-000184,Customer 00184,Mid-Market,Retail,Asia Pacific,Country-16,2024-11-03 00:00:00+00:00,21905,15535055,51.63,34.42,76.68,1
CUS-000185,Customer 00185,SMB,Manufacturing,Asia Pacific,Country-17,2023-12-08 00:00:00+00:00,18581,3593993,74.02,31.78,63.73,1
CUS-000186,Customer 00186,Mid-Market,Healthcare,Europe,Country-18,2024-03-13 00:00:00+00:00,17031,20694053,58.04,27.95,77.59,1
CUS-000187,Customer 00187,Mid-Market,Education,North America,Country-19,2023-01-09 00:00:00+00:00,15056,13884629,50.6,21.43,74.09,1
CUS-000188,Customer 00188,Enterprise,Government,North America,Country-20,2023-01-15 00:00:00+00:00,13013,420647312,100.0,70.18,29.68,0
CUS-000189,Customer 00189,SMB,Telecom,North America,Country-21,2023-01-01 00:00:00+00:00,4820,4842604,18.4,21.71,72.14,1
CUS-000190,Customer 00190,Enterprise,Retail,North America,Country-22,2023-06-07 00:00:00+00:00,7525,659929736,64.26,48.26,56.07,0
CUS-000191,Customer 00191,SMB,Retail,Asia Pacific,Country-23,2023-11-09 00:00:00+00:00,24067,1271938,20.69,15.18,94.25,1
