campaign_id,campaign_name,start_date,end_date,budget,leads_generated,conversion_rate,attributed_revenue,campaign_start_year,campaign_start_month,campaign_start_quarter,campaign_start_dayofweek,campaign_start_day,campaign_start_is_month_start,campaign_start_is_month_end,campaign_duration_days,cost_per_lead,revenue_per_budget,channel_frequency,target_segment_frequency,channel_target_encoded,target_segment_target_encoded,channel_Content,channel_Email,channel_Events,channel_Partner,channel_Search,channel_Social,target_segment_Enterprise,target_segment_Mid-Market,target_segment_SMB,budget_standard_scaled,leads_generated_standard_scaled,conversion_rate_standard_scaled,attributed_revenue_standard_scaled,cost_per_lead_standard_scaled
MKT-00011,Campaign 0011,2025-03-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,29268,317,0.056,118087.3,2025,3,1,0,17,0,0,31,92.32807570977918,4.034689763564303,0.1675,0.2520833333333333,2698290.221362763,2828093.8678722903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.709115760213434,-1.370329713719164,0.8638239444368907,-1.530278205319958,0.47279081777753873
MKT-00012,Campaign 0012,2025-01-18 00:00:00+00:00,2025-03-10 00:00:00+00:00,822106,9738,0.0451,2855275.03,2025,1,1,5,18,0,0,51,84.42246867940028,3.473122723833666,0.16791666666666666,0.4225,2855926.099785614,2841772.1179897054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3753824842494728,0.6757495746655322,0.192956463942503,0.025637277933197526,0.16778091729285383
MKT-00013,Campaign 0013,2023-11-17 00:00:00+00:00,2024-01-28 00:00:00+00:00,434824,6053,0.0111,3029139.92,2023,11,4,4,17,0,0,72,71.83611432347597,6.966358618659504,0.16875,0.2520833333333333,2935005.225015562,2828093.8678722903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.13131957734707458,-0.12456909402118951,-1.8996576953977893,0.12446830489571681,-0.3178190720328817
MKT-00014,Campaign 0014,2026-01-30 00:00:00+00:00,2026-03-20 00:00:00+00:00,763983,7420,0.0172,2906653.61,2026,1,1,4,30,0,0,49,102.96266846361186,3.804605089380261,0.1675,0.2520833333333333,2698290.221362763,2828093.8678722903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1492577381312021,0.17231981238172733,-1.5242180962220309,0.054842701899335586,0.8830889852778012
MKT-00015,Campaign 0015,2023-04-19 00:00:00+00:00,2023-06-15 00:00:00+00:00,227478,4505,0.0473,1958042.34,2023,4,2,2,19,0,0,57,50.494561598224195,8.60761190093108,0.1675,0.3254166666666667,2698290.221362763,2755334.291556837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9379892538716684,-0.4607680897137391,0.32836090954687486,-0.48438189946969046,-1.1412074403016388
MKT-00016,Campaign 0016,2024-08-20 00:00:00+00:00,2024-10-01 00:00:00+00:00,188616,1897,0.0364,1461140.78,2024,8,3,1,20,0,0,42,99.42857142857143,7.746642808669466,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0891800025193334,-1.0271808679864582,-0.3425065709475129,-0.7668385327444008,0.7467383444201517
MKT-00017,Campaign 0017,2025-05-05 00:00:00+00:00,2025-07-31 00:00:00+00:00,788089,9231,0.0405,6368149.67,2025,5,2,0,5,0,0,87,85.37417397898386,8.08049556585614,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.243040975918774,0.5656378880918096,-0.09016192232118359,2.0224809665110923,0.20449910194347923
MKT-00018,Campaign 0018,2025-10-08 00:00:00+00:00,2026-01-03 00:00:00+00:00,445372,10331,0.0576,3093664.87,2025,10,4,2,8,0,0,87,43.11025070177137,6.9462491355540985,0.16791666666666666,0.2520833333333333,2855926.099785614,2828093.8678722903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0902830888303855,0.8045389832221742,0.9622999048764337,0.16114659614362328,-1.4261049722710593
MKT-00019,Campaign 0019,2023-01-23 00:00:00+00:00,2023-03-07 00:00:00+00:00,101383,919,0.0219,633986.92,2023,1,1,0,23,0,0,43,110.31882480957563,6.253384887012616,0.15958333333333333,0.3254166666666667,2694009.023235263,2755334.291556837,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.4285558086225132,-1.239585659838728,-1.2349449624308728,-1.2370223947064787,1.1669002734445817
MKT-00020,Campaign 0020,2024-01-09 00:00:00+00:00,2024-02-13 00:00:00+00:00,455235,5240,0.032,3201816.52,2024,1,1,1,9,0,0,35,86.87690839694656,7.033326787263721,0.15958333333333333,0.2520833333333333,2694009.023235263,2828093.8678722903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.051911559986992956,-0.30113872160390454,-0.6133154621562567,0.22262386528744485,0.26247679720665323
MKT-00021,Campaign 0021,2025-12-17 00:00:00+00:00,2026-01-23 00:00:00+00:00,276654,3070,0.0612,1793583.43,2025,12,4,2,17,0,0,37,90.11530944625407,6.483128492629783,0.1675,0.3254166666666667,2698290.221362763,2755334.291556837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7466723824935206,-0.7724254274519876,1.1838708158654057,-0.5778662307135461,0.38741905375737407
MKT-00022,Campaign 0022,2025-08-12 00:00:00+00:00,2025-09-11 00:00:00+00:00,204109,2345,0.0219,1576663.88,2025,8,3,1,12,0,0,30,87.04008528784648,7.724617140841413,0.1675,0.4225,2698290.221362763,2841772.1179897054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0289052284778977,-0.9298829674242733,-1.2349449624308728,-0.7011710675598326,0.26877240070218883
MKT-00023,Campaign 0023,2023-03-26 00:00:00+00:00,2023-05-19 00:00:00+00:00,623504,5316,0.0606,2642468.6,2023,3,1,6,26,0,0,54,117.28818660647103,4.238094061946676,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6027309206932077,-0.2846328277585339,1.1469423307005773,-0.09532951427612908,1.435788461276876
MKT-00024,Campaign 0024,2025-12-11 00:00:00+00:00,2026-03-08 00:00:00+00:00,362597,4306,0.0476,1429421.78,2025,12,4,3,11,0,0,87,84.20738504412448,3.9421776241943536,0.16791666666666666,0.4225,2855926.099785614,2841772.1179897054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41231525957070964,-0.5039874696509596,0.3468251521292893,-0.784868747724689,0.15948267555894705
MKT-00025,Campaign 0025,2025-03-27 00:00:00+00:00,2025-06-25 00:00:00+00:00,276757,2664,0.04,1936245.26,2025,3,1,3,27,0,0,90,103.88776276276276,6.996192544362022,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7462716659295067,-0.8606016498364676,-0.12093565995854084,-0.49677213996726416,0.918780478548172
MKT-00026,Campaign 0026,2023-08-04 00:00:00+00:00,2023-09-30 00:00:00+00:00,163397,1960,0.0443,705608.66,2023,8,3,4,4,0,0,57,83.3658163265306,4.318369737510481,0.1675,0.4225,2698290.221362763,2841772.1179897054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1872933134695025,-1.0134983507199011,0.14371848372273127,-1.1963100339932689,0.12701372158514596
MKT-00027,Campaign 0027,2023-09-15 00:00:00+00:00,2023-11-14 00:00:00+00:00,769598,7192,0.0479,6685553.77,2023,9,3,4,15,0,0,60,107.00750834260289,8.687072692496601,0.15833333333333333,0.3254166666666667,2745646.1699524573,2755334.291556837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1711026265480784,0.12280213084561538,0.3652893947117033,2.2029048184176743,1.0391448332635072
MKT-00028,Campaign 0028,2024-07-27 00:00:00+00:00,2024-08-20 00:00:00+00:00,523321,4949,0.0525,2113949.58,2024,7,3,5,27,0,0,24,105.74277631844816,4.0394893000663075,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21297376018245084,-0.36433892040657373,0.6484077809753899,-0.3957586435605075,0.9903496190130541
MKT-00029,Campaign 0029,2025-03-30 00:00:00+00:00,2025-05-13 00:00:00+00:00,844133,6793,0.0094,5828648.15,2025,3,1,6,30,0,0,44,124.26512586486089,6.90489312703093,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4610774721672877,0.036146188157419455,-2.0042884033648036,1.7158089911085828,1.7049689986741656
MKT-00030,Campaign 0030,2025-10-26 00:00:00+00:00,2026-01-10 00:00:00+00:00,324165,3657,0.0623,2485486.43,2025,10,4,6,26,0,0,76,88.64232977850698,7.6673497447287655,0.15833333333333333,0.2520833333333333,2745646.1699524573,2828093.8678722903,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5618331138249185,-0.6449391157778748,1.2515730386675918,-0.18456379887438676,0.3305893403464896
MKT-00031,Campaign 0031,2024-05-23 00:00:00+00:00,2024-07-15 00:00:00+00:00,23230,344,0.0459,111298.02,2024,5,2,3,23,0,0,53,67.52906976744185,4.791133017649591,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7326063098592217,-1.3644657777477822,0.2421944441622747,-1.5341374750939536,-0.4839911605734508
MKT-00032,Campaign 0032,2024-02-14 00:00:00+00:00,2024-04-16 00:00:00+00:00,434672,3731,0.0604,3023825.44,2024,2,1,2,14,0,0,62,116.50281425891183,6.9565682629660985,0.1675,0.4225,2698290.221362763,2841772.1179897054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.13191092606290097,-0.6288675875600139,1.1346328356456346,0.12144736423212586,1.405487645583413
MKT-00033,Campaign 0033,2025-04-02 00:00:00+00:00,2025-06-04 00:00:00+00:00,323258,3450,0.0492,2766670.28,2025,4,2,2,2,0,0,63,93.69797101449275,8.55870629651857,0.15833333333333333,0.2520833333333333,2745646.1699524573,2828093.8678722903,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5653617538594878,-0.6898959582251343,0.4453011125688323,-0.024728833570150124,0.5256433854500171
MKT-00034,Campaign 0034,2025-03-11 00:00:00+00:00,2025-05-26 00:00:00+00:00,464854,5152,0.0769,3969952.65,2025,3,1,1,11,0,0,76,90.22787267080746,8.54021402418824,0.1675,0.4225,2698290.221362763,2841772.1179897054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.014489301450584887,-0.3202508092143337,2.150166177678423,0.6592599369803275,0.3917619078591947
MKT-00035,Campaign 0035,2025-04-27 00:00:00+00:00,2025-06-19 00:00:00+00:00,455425,4470,0.0306,1834919.82,2025,4,2,6,27,0,0,53,101.8847874720358,4.0290274359115115,0.1675,0.3254166666666667,2698290.221362763,2755334.291556837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05117237409220997,-0.4683694881951598,-0.699481927540857,-0.5543691470031822,0.8415027575900847
MKT-00036,Campaign 0036,2023-04-27 00:00:00+00:00,2023-06-26 00:00:00+00:00,491825,6114,0.0679,1888120.98,2023,4,2,3,27,0,0,60,80.44242721622506,3.83900976973517,0.16791666666666666,0.2520833333333333,2855926.099785614,2828093.8678722903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09044008153989874,-0.11132094238214202,1.596238900205993,-0.5241277033258688,0.014225087115216922
MKT-00037,Campaign 0037,2024-03-07 00:00:00+00:00,2024-03-27 00:00:00+00:00,734521,7412,0.0282,3603575.51,2024,3,1,3,7,0,0,20,99.09889368591473,4.906021080404781,0.15958333333333333,0.3254166666666667,2694009.023235263,2755334.291556837,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.034637239014906,0.17058234987168833,-0.8471958682001717,0.4509980561498119,0.7340188941498142
MKT-00038,Campaign 0038,2023-12-12 00:00:00+00:00,2024-03-02 00:00:00+00:00,183972,1489,0.0507,649643.19,2023,12,4,1,12,0,0,81,123.55406312961719,3.531206868436501,0.17791666666666667,0.4225,2915925.030689836,2841772.1179897054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1072472619686609,-1.115791455998448,0.537622325480904,-1.228122810422944,1.6775351566830776
MKT-00039,Campaign 0039,2026-02-05 00:00:00+00:00,2026-03-31 00:00:00+00:00,899396,9040,0.059,3587191.61,2026,2,1,3,5,0,0,54,99.49070796460177,3.988445145408696,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6760755253430357,0.524155970664628,1.048466370261034,0.4416848609287917,0.7491356630065992
MKT-00040,Campaign 0040,2025-01-28 00:00:00+00:00,2025-04-09 00:00:00+00:00,29723,287,0.0423,159014.64,2025,1,1,1,28,0,0,71,103.56445993031359,5.349885274030213,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7073456045180326,-1.3768451981318102,0.020623533173302226,-1.5070136402715217,0.9063069816525121
MKT-00041,Campaign 0041,2025-02-13 00:00:00+00:00,2025-04-14 00:00:00+00:00,495467,5054,0.0108,1620255.26,2025,2,1,3,13,0,0,60,98.03462603878117,3.2701577703459566,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.10460910800726524,-0.34153472496231163,-1.9181219379802035,-0.6763921668161952,0.6929578892334443
MKT-00042,Campaign 0042,2024-05-23 00:00:00+00:00,2024-07-29 00:00:00+00:00,534942,5786,0.0441,1921084.23,2024,5,2,3,23,0,0,67,92.45454545454545,3.591200971320255,0.16791666666666666,0.4225,2855926.099785614,2841772.1179897054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581847037786249,-0.18255690529374166,0.13140898866778847,-0.5053902121077036,0.47767020580141245
MKT-00043,Campaign 0043,2025-12-03 00:00:00+00:00,2026-01-20 00:00:00+00:00,724446,7833,0.0345,6233012.42,2025,12,4,2,3,0,0,48,92.4864036767522,8.603833025511909,0.16791666666666666,0.4225,2855926.099785614,2841772.1179897054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9954409343310185,0.2620163144624915,-0.4594467739694703,1.9456641163788393,0.4788993426845841
MKT-00044,Campaign 0044,2025-01-27 00:00:00+00:00,2025-04-17 00:00:00+00:00,292010,2359,0.0564,2110661.17,2025,1,1,0,27,0,0,80,123.7855023314964,7.228044142323893,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6869306003867443,-0.9268424080317051,0.8884429345467764,-0.397627893513007,1.686464420136494
MKT-00045,Campaign 0045,2024-12-16 00:00:00+00:00,2025-01-01 00:00:00+00:00,654318,6938,0.0278,3238266.99,2024,12,4,0,16,0,0,16,94.30931104064572,4.9490721484049045,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7226113110186966,0.06763769615187662,-0.8718148583100576,0.2433436171785053,0.5492297792364391
MKT-00046,Campaign 0046,2024-09-27 00:00:00+00:00,2024-11-01 00:00:00+00:00,76252,1945,0.0333,295370.44,2024,9,3,4,27,0,0,35,39.20411311053984,3.8736090856633267,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5263267597898353,-1.0167560929262243,-0.5333037442991276,-1.4295041227013219,-1.5768094828042514
MKT-00047,Campaign 0047,2023-11-16 00:00:00+00:00,2023-12-16 00:00:00+00:00,413493,7643,0.0312,2432791.27,2023,11,4,3,16,0,0,30,54.10087661912861,5.883512586670149,0.16875,0.3254166666666667,2935005.225015562,2755334.291556837,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.21430681061873696,0.2207515798490649,-0.6625534423760283,-0.2145176140394513,-1.0020705237542245
MKT-00048,Campaign 0048,2025-12-04 00:00:00+00:00,2025-12-24 00:00:00+00:00,356797,5966,0.037,2335066.25,2025,12,4,3,4,0,0,20,59.80506201810258,6.5445232162826485,0.15958333333333333,0.3254166666666667,2694009.023235263,2755334.291556837,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4348798816219797,-0.1434639988178638,-0.3055780857826844,-0.270068013470485,-0.7819946947632842
MKT-00049,Campaign 0049,2024-05-31 00:00:00+00:00,2024-07-19 00:00:00+00:00,885431,9208,0.0434,4190512.16,2024,5,2,4,31,0,1,49,96.15888357949609,4.732737118984992,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6217453620764863,0.5606426833754474,0.08832575597548838,0.7846338573828311,0.6205889973010534
MKT-00050,Campaign 0050,2023-05-19 00:00:00+00:00,2023-06-05 00:00:00+00:00,909741,18321,0.0511,5799293.25,2023,5,2,4,19,0,0,17,49.655641067627315,6.374664052735889,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7163222520879302,2.5398296651236416,0.5622413155907897,1.6991226151911558,-1.1735742233416566
MKT-00051,Campaign 0051,2023-07-25 00:00:00+00:00,2023-09-05 00:00:00+00:00,815456,7067,0.0499,4677178.84,2023,7,3,1,25,0,0,42,115.38927409084476,5.735660587450457,0.16791666666666666,0.2520833333333333,2855926.099785614,2828093.8678722903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3495109779320684,0.09565427912625575,0.4883843452611324,1.0612726185084365,1.3625256346280628
MKT-00052,Campaign 0052,2024-12-18 00:00:00+00:00,2025-01-15 00:00:00+00:00,575466,11465,0.0215,3893915.93,2024,12,4,2,18,0,0,28,50.1932839075447,6.7665438618441405,0.15833333333333333,0.3254166666666667,2745646.1699524573,2755334.291556837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41584138377960217,1.0508242940202048,-1.2595639525407587,0.616037943601092,-1.1528311749622777
MKT-00053,Campaign 0053,2025-06-20 00:00:00+00:00,2025-08-11 00:00:00+00:00,55982,507,0.0281,310605.92,2025,6,2,4,20,0,0,52,110.41814595660749,5.548317673537922,0.16791666666666666,0.2520833333333333,2855926.099785614,2828093.8678722903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6051862234069463,-1.3290649791057374,-0.8533506157276431,-1.4208437305159478,1.1707322287967514
MKT-00054,Campaign 0054,2024-06-08 00:00:00+00:00,2024-07-28 00:00:00+00:00,670194,5704,0.0326,4030360.64,2024,6,2,5,8,0,0,50,117.49544179523141,6.013722355019592,0.16875,0.4225,2935005.225015562,2841772.1179897054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7843761282059317,-0.2003658960216416,-0.5763869769914282,0.6935980007978216,1.443784670076001
MKT-00055,Campaign 0055,2024-11-13 00:00:00+00:00,2025-01-18 00:00:00+00:00,198463,1596,0.0364,770907.48,2024,11,4,2,13,0,0,66,124.35025062656642,3.8843889289187405,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0508707209091859,-1.0925528949266763,-0.3425065709475129,-1.159191847336718,1.70825323668357
MKT-00056,Campaign 0056,2025-12-01 00:00:00+00:00,2025-12-15 00:00:00+00:00,779039,21372,0.0281,3425197.65,2025,12,4,0,1,1,0,14,36.451384989706156,4.3966959933969925,0.15833333333333333,0.3254166666666667,2745646.1699524573,2755334.291556837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.207832384614637,3.2024544298897712,-0.8533506157276431,0.349601695497719,-1.6830137662919717
MKT-00057,Campaign 0057,2023-06-23 00:00:00+00:00,2023-07-20 00:00:00+00:00,361192,4611,0.03,2101975.17,2023,6,2,4,23,0,0,27,78.33268271524615,5.819550737557864,0.16875,0.2520833333333333,2935005.225015562,2828093.8678722903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.41778134474002593,-0.43774671145572214,-0.7364104127056856,-0.4025653268280164,-0.06717194638504871
MKT-00058,Campaign 0058,2025-09-11 00:00:00+00:00,2025-11-16 00:00:00+00:00,628409,5919,0.0628,3876051.31,2025,9,3,3,11,0,0,66,106.16810272005407,6.168039143296802,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6218135881348421,-0.15367159106434303,1.2823467763049488,0.6058830541297607,1.0067593346653518
MKT-00059,Campaign 0059,2024-08-21 00:00:00+00:00,2024-09-15 00:00:00+00:00,522708,4433,0.0469,3936598.34,2024,8,3,2,21,0,0,25,117.91292578389353,7.531161451517864,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21058891305875627,-0.47640525230409025,0.3037419194369888,0.6403001532601857,1.4598918139482506
MKT-00060,Campaign 0060,2023-12-31 00:00:00+00:00,2024-03-28 00:00:00+00:00,415217,5102,0.0243,1752855.6,2023,12,4,6,31,0,1,88,81.38318306546452,4.2215410255360455,0.16791666666666666,0.2520833333333333,2855926.099785614,2828093.8678722903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20759967123660084,-0.33110994990207754,-1.0872310217715582,-0.6010173871365301,0.05052082593126102
MKT-00061,Campaign 0061,2023-06-22 00:00:00+00:00,2023-09-15 00:00:00+00:00,595680,10507,0.0484,4231089.63,2023,6,2,3,22,0,0,85,56.69363281621776,7.102957342868654,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4944829820803562,0.8427631584430326,0.3960631323490606,0.8076995437996849,-0.9020381914340956
MKT-00062,Campaign 0062,2025-08-17 00:00:00+00:00,2025-10-02 00:00:00+00:00,800915,12068,0.0354,4608448.55,2025,8,3,6,17,0,0,46,66.36683791846205,5.753979573362966,0.16875,0.3254166666666667,2935005.225015562,2755334.291556837,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2929399142687032,1.1817855307143956,-0.4040540462222274,1.0222038614745594,-0.528831767908884
