order_month,revenue,gross_margin,order_count,cogs,opex,ebitda,cash_balance,debt_balance,dscr,month_index,revenue_lag_1,revenue_lag_2,gross_margin_lag_1,gross_margin_lag_2,ebitda_lag_1,ebitda_lag_2,cash_balance_lag_1,cash_balance_lag_2,revenue_roll_mean_2,revenue_roll_std_2,revenue_roll_mean_3,revenue_roll_std_3,gross_margin_roll_mean_2,gross_margin_roll_std_2,gross_margin_roll_mean_3,gross_margin_roll_std_3,ebitda_roll_mean_2,ebitda_roll_std_2,ebitda_roll_mean_3,ebitda_roll_std_3,cash_balance_roll_mean_2,cash_balance_roll_std_2,cash_balance_roll_mean_3,cash_balance_roll_std_3,revenue_robust_scaled,gross_margin_robust_scaled,ebitda_robust_scaled,cash_balance_robust_scaled,debt_balance_robust_scaled
2023-11,115785145.59,49131281.21,1117,66653864.38,32463038.05,16668243.16,97170251.59,1151708.58,0.513,10,,,,,,,,,,,,,,,,,,,,,,,,,-0.4908836188600417,-0.48392500551461953,-0.5584692226558253,-0.35717459242791105,0.4377810523426132
2023-12,129271167.64,54252471.77,1291,75018695.87,24885842.1,29366629.67,126528158.46,1161048.47,1.18,11,,,,,,,,,,,,,,,,,,,,,,,,,-0.45319334970700503,-0.44951416682234285,-0.25591554947854434,-0.32852311849875365,0.484070296893864
2024-01,148845336.73,61650661.27,1394,87194675.46,41894486.76,19756174.51,146346881.7,1161771.38,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,,-0.39848813724969984,-0.39980347894288315,-0.48489570434103424,-0.3091812888943992,0.48765309688171626
2024-02,154700150.09,64029089.38,1498,90671060.71,51402705.73,12626383.65,158780417.08,1134641.6,0.5,13,,,,,,,,,,,,,,,,,,,,,,,,,-0.38212530686420476,-0.38382209627892955,-0.6547711772587983,-0.2970469389775338,0.35319572949927
2024-03,191354921.61,80557707.76,1812,110797213.85,37520804.09,43036903.67,201938686.88,1133869.03,1.147,14,,,,,,,,,,,,,,,,,,,,,,,,,-0.2796838160220727,-0.272761276686936,0.06979446169356639,-0.25492717725617503,0.34936681056521796
2024-04,196752605.51,81321880.67,1830,115430724.84,35714270.82,45607609.85,247486297.41,1111852.05,1.277,15,,,,,,,,,,,,,,,,,,,,,,,,,-0.26459855528026544,-0.2676265662263634,0.13104449505851679,-0.21047556899219289,0.24024889038628572
2024-05,210972204.34,85640420.35,2053,125331783.99,65174132.66,20466287.69,267995502.98,1113754.38,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,-0.22485811105113065,-0.2386089831910084,-0.46797644055807985,-0.19045987198427522,0.2496769905659639
2024-06,219582733.66,92535117.68,2129,127047615.98,54960111.87,37575005.81,305597999.4,1112002.31,0.684,17,,,,,,,,,,,,,,,,,,,,,,,,,-0.20079370077375652,-0.19228141250699513,-0.06034154092068461,-0.15376219627396104,0.2409935910076283
2024-07,246740118.21,100073530.64,2355,146666587.57,77943126.16,22130404.48,327654746.23,1085242.65,0.5,18,,,,,,,,,,,,,,,,,,,,,,,,,-0.12489517937233095,-0.14162852050402147,-0.4283269428038581,-0.13223619615548693,0.10837056805464454
2024-08,274563290.15,115000680.74,2570,159562609.41,59514405.9,55486274.84,383221609.77,1086008.65,0.932,19,,,,,,,,,,,,,,,,,,,,,,,,,-0.04713593834322272,-0.041328453906518715,0.36641505780352396,-0.0780064259919931,0.11216692554132356
2024-09,279495629.41,116491591.16,2707,163004038.25,76921969.12,39569622.04,422723572.46,1071378.54,0.514,20,,,,,,,,,,,,,,,,,,,,,,,,,-0.03335120674674043,-0.031310572836446865,-0.012817513636566361,-0.039454990456252406,0.039658926025087214
2024-10,303362538.28,125811178.6,2955,177551359.68,102505208.35,23305970.25,446016715.39,1057416.81,0.5,21,,,,,,,,,,,,,,,,,,,,,,,,,0.03335120674674026,0.031310572836446865,-0.40031773537463966,-0.01672234536877133,-0.0295365285604101
2024-11,312727576.63,128986790.09,2931,183740786.54,94743634.0,34243156.09,480286020.99,1049656.85,0.5,22,,,,,,,,,,,,,,,,,,,,,,,,,0.0595242928303428,0.05264847336005693,-0.13972669512644476,0.01672234536877133,-0.06799551321097087
2024-12,357298591.43,148877123.57,3330,208421467.86,103950145.94,44926977.63,525312569.91,1042463.84,0.5,23,,,,,,,,,,,,,,,,,,,,,,,,,0.18408982727835926,0.1862976802967875,0.11482764907720741,0.06066543021517787,-0.1036446481525603
2025-01,373095700.81,154353029.25,3542,218742671.56,115175261.27,39177767.98,564398521.96,1040724.08,0.5,24,,,,,,,,,,,,,,,,,,,,,,,,,0.22823904356798866,0.2230919578853571,-0.02215388760101197,0.09881086548465327,-0.11226703836277534
2025-02,342971779.31,142552230.2,3309,200419549.11,88021579.37,54530650.83,619016519.45,1069336.12,0.62,25,,,,,,,,,,,,,,,,,,,,,,,,,0.14404974704522713,0.14379879591609757,0.3436462159373376,0.15211460195595575,0.0295365285604101
2025-03,417167146.55,172269248.11,3946,244897898.44,109273911.61,62995336.5,681929894.75,1017708.51,0.576,26,,,,,,,,,,,,,,,,,,,,,,,,,0.351408399642418,0.343476487604358,0.545327094034156,0.2135141063615382,-0.22633405073834292
2025-04,437315662.54,182473241.04,4122,254842421.5,141827699.21,40645541.83,722460803.15,1024377.66,0.5,27,,,,,,,,,,,,,,,,,,,,,,,,,0.40771877700068165,0.4120402230517188,0.012817513636566184,0.2530697283099931,-0.19328120800689977
2025-05,471634414.21,196756275.31,4463,274878138.9,116013034.61,80743240.7,803291751.65,1001250.0,0.696,28,,,,,,,,,,,,,,,,,,,,,,,,,0.5036316401595052,0.5080122792646067,0.9681913376669867,0.3319556592406956,-0.30790374741991144
2025-06,459049931.86,190776670.39,4395,268273261.47,113269809.09,77506861.3,880844570.23,983324.31,0.684,29,,,,,,,,,,,,,,,,,,,,,,,,,0.4684609630566053,0.4678334931142111,0.891080873712044,0.40764234118014087,-0.39674490595174816
2025-07,489962917.55,203837793.46,4709,286125124.09,129584376.87,74253416.59,955009057.41,960720.32,0.573,30,,,,,,,,,,,,,,,,,,,,,,,,,0.5548555089545985,0.5555951559221158,0.8135638091058816,0.4800222244026227,-0.5087720948098657
2025-08,505304174.55,212213985.69,4792,293090188.86,101741562.42,110472423.27,1065404097.44,984069.52,1.086,31,,,,,,,,,,,,,,,,,,,,,,,,,0.5977307247396646,0.6118773419304474,1.6765233277216425,0.5877608525457617,-0.3930515853738788
2025-09,487231747.94,202833818.19,4627,284397929.75,146394262.95,56439555.24,1122014067.79,955666.4,0.5,32,,,,,,,,,,,,,,,,,,,,,,,,,0.5472225303548419,0.5488491403887659,0.3891280604641988,0.6430086294664941,-0.5338197280070935
2025-10,498461603.57,206825943.32,4651,291635660.25,119446339.77,87379603.55,1209336830.69,966935.1,0.732,33,,,,,,,,,,,,,,,,,,,,,,,,,0.5786073434357641,0.5756734446747236,1.126310320360068,0.7282301636763459,-0.4779711462706188
2025-11,474740765.92,198688845.15,4491,276051920.77,145759842.98,52929002.17,1262341666.94,925754.02,0.5,34,,,,,,,,,,,,,,,,,,,,,,,,,0.512313164748433,0.5209978044558035,0.3054850932749539,0.7799595560564277,-0.6820678843483307
2025-12,487572034.01,200146534.21,4769,287425499.8,95479691.64,104666842.57,1367005596.95,940031.47,1.096,35,,,,,,,,,,,,,,,,,,,,,,,,,0.5481735501232939,0.530792461092669,1.538198685899716,0.8821049806360334,-0.6113076961000472
2026-01,500948590.21,208901785.93,4772,292046804.28,131061402.05,77840383.88,1444911942.72,954897.52,0.594,36,,,,,,,,,,,,,,,,,,,,,,,,,0.5855578878953593,0.58962166323179,0.8990274330317731,0.9581366829174391,-0.5376303590049496
2026-02,452280739.35,188783063.65,4339,263497675.7,143716738.62,45066325.03,1489727084.58,909144.19,0.5,37,,,,,,,,,,,,,,,,,,,,,,,,,0.449542657369079,0.4544378424071663,0.1181477612571684,1.0018734477460443,-0.7643875350963281
2026-03,481990508.82,200901375.45,4708,281089133.37,115010409.94,85890965.51,1575742496.71,924454.19,0.747,38,,,,,,,,,,,,,,,,,,,,,,,,,0.532574496086781,0.5358644692211689,1.0908418057831382,1.0858190896837123,-0.6885099461654459
2026-04,489704418.03,202860912.37,4623,286843505.66,153156793.58,49704118.79,1625551361.69,943276.51,0.5,39,,,,,,,,,,,,,,,,,,,,,,,,,0.5541330634144229,0.5490311944339252,0.22864853522728376,1.1344294147567748,-0.5952250173812835
2026-05,501050899.29,207422250.91,4728,293628648.38,124043890.3,83378360.61,1708775326.09,893077.12,0.672,40,,,,,,,,,,,,,,,,,,,,,,,,,0.5858438177824457,0.5796802169379432,1.0309761022829667,1.2156507789652826,-0.8440172237170795
2026-06,471039312.65,194527779.2,4491,276511533.45,88190950.01,106336829.19,1815277338.26,894550.32,1.206,41,,,,,,,,,,,,,,,,,,,,,,,,,0.5019684708508215,0.49303833536052033,1.577988039109277,1.3195900563328302,-0.8367159262635869
2026-07,502804009.07,207855677.76,4752,294948331.31,166955029.15,40900648.61,1856072422.62,893035.59,0.5,42,,,,,,,,,,,,,,,,,,,,,,,,,0.5907433485127117,0.5825925439145538,0.01889572627252956,1.3594034974324993,-0.8442230497306852
2026-08,62445803.41,26285202.78,610,36160600.63,12860905.1,13424297.68,1869414249.76,853775.3,1.044,43,,,,,,,,,,,,,,,,,,,,,,,,,-0.6399545721594341,-0.6374347627468975,-0.6357599571745715,1.3724242830818898,-1.038800198386937
