customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag,total_orders,total_revenue,total_margin,recent_order_count,recent_revenue,recent_avg_discount,recent_avg_shipping_days,recent_last_order,days_since_last_order,order_velocity,revenue_90d_target,signup_year,signup_month,signup_quarter,signup_dayofweek,signup_day,signup_is_month_start,signup_is_month_end,recent_order_year,recent_order_month,recent_order_quarter,recent_order_dayofweek,recent_order_day,recent_order_is_month_start,recent_order_is_month_end,recent_revenue_ratio,customer_value_proxy,segment_frequency,industry_frequency,region_frequency,total_orders_standard_scaled,total_revenue_standard_scaled,recent_revenue_standard_scaled,days_since_last_order_standard_scaled,customer_value_proxy_standard_scaled
CUS-000018,Customer 00018,Enterprise,Education,Middle East & Africa,Country-18,2024-12-10 00:00:00+00:00,7083,496543927,58.25,50.15,56.2,0,47.0,5027486.88,2069352.79,14,1922766.89,0.0733428571428571,12.214285714285714,2026-07-22 00:00:00+00:00,13,3.6154,1898932.81,2024,12,4,1,10,0,0,2026,7,3,2,22,0,0,0.003872299680749091,1524118.2395000001,0.286875,0.09575,0.1235,2.2354158943867644,2.2523261597924704,3.480726651529995,-0.571124624898678,2.601290550545092
CUS-000019,Customer 00019,SMB,Manufacturing,Asia Pacific,Country-19,2023-06-25 00:00:00+00:00,24297,1542508,43.56,16.38,79.31,1,6.0,336061.63,136370.72999999998,1,161920.94,0.0846,19.0,2026-05-10 00:00:00+00:00,86,0.0698,167806.56,2023,6,2,6,25,0,0,2026,5,2,6,10,0,0,0.1049725122981534,125245.67199999999,0.294,0.100875,0.186,-0.6287107202962775,-0.8071908298237127,-0.44604383074042886,-0.3724672571069099,-0.463664371111812
CUS-000020,Customer 00020,Mid-Market,Technology,North America,Country-20,2023-03-05 00:00:00+00:00,20061,19483454,52.43,30.05,59.82,1,5.0,620687.62,274765.55,1,107103.49,0.1476,15.0,2026-07-10 00:00:00+00:00,25,0.2,120736.44,2023,3,1,6,5,0,0,2026,7,3,4,10,0,0,0.00549715106982571,90099.15000000001,0.419125,0.098625,0.319625,-0.6985674669958639,-0.6215717469892744,-0.5682893596995834,-0.5384686192342778,-0.5406710321084882
CUS-000021,Customer 00021,SMB,Finance,North America,Country-21,2024-01-27 00:00:00+00:00,10074,3404876,39.18,21.18,74.09,1,7.0,380668.7400000001,120685.45,2,128804.92,0.05495,11.5,2026-07-28 00:00:00+00:00,7,1.0,99302.67,2024,1,1,5,27,0,0,2026,7,3,1,28,0,0,0.037829547977664975,111277.9025,0.294,0.099875,0.319625,-0.5588539735966911,-0.7781002648823492,-0.5198941353774001,-0.5874526277308781,-0.49426800497254547
CUS-000022,Customer 00022,Mid-Market,Government,Europe,Country-22,2024-02-01 00:00:00+00:00,24336,15959285,50.42,21.26,84.81,1,8.0,915542.43,426937.25,1,309462.84,0.1094,8.0,2026-03-27 00:00:00+00:00,130,0.0615,370089.4,2024,2,1,3,1,1,0,2026,3,1,4,27,0,0,0.019390770952458086,254853.926,0.419125,0.100375,0.211125,-0.48899722689710473,-0.42928193044257534,-0.11701835419712601,-0.2527285696707757,-0.17969035860072735
CUS-000023,Customer 00023,SMB,Technology,Europe,Country-23,2024-04-11 00:00:00+00:00,4703,3755830,43.62,25.3,87.79,1,5.0,251539.62,112223.2,1,3908.85,0.036,2.0,2026-06-21 00:00:00+00:00,44,0.1136,5065.2,2024,4,2,3,11,0,0,2026,6,2,6,21,0,0,0.0010407419931147044,6176.36,0.294,0.098625,0.211125,-0.6985674669958639,-0.8623119309414401,-0.7984183305391521,-0.48676327693231075,-0.724547372402565
CUS-000024,Customer 00024,SMB,Logistics,North America,Country-00,2025-02-13 00:00:00+00:00,8315,1482477,31.84,0.0,100.0,1,5.0,315813.96,126282.17,1,4425.96,0.0246,4.0,2026-08-01 00:00:00+00:00,3,1.6667,5478.25,2025,2,1,3,13,0,0,2026,8,3,5,1,1,0,0.0029855168073433854,45355.2715,0.294,0.10575,0.319625,-0.6985674669958639,-0.8203953651331355,-0.797265150566715,-0.5983379629523449,-0.6387056735824291
CUS-000025,Customer 00025,SMB,Retail,Asia Pacific,Country-01,2024-09-21 00:00:00+00:00,23265,2159085,44.17,11.27,87.56,1,4.0,504014.09,210291.72,1,23045.66,0.0956,13.0,2026-02-27 00:00:00+00:00,158,0.0253,27324.5,2024,9,3,5,21,0,0,2026,2,1,4,27,0,0,0.0106738085809498,19414.339,0.294,0.099375,0.186,-0.7684242136954503,-0.6976604893759283,-0.7557423311805385,-0.17653122312050853,-0.69554272263568
CUS-000026,Customer 00026,Enterprise,Energy,Asia Pacific,Country-02,2023-11-23 00:00:00+00:00,24256,991244583,66.89,61.09,45.87,0,47.0,5342031.26,2084185.1,10,1725931.66,0.0473,12.7,2026-06-30 00:00:00+00:00,35,1.3429,1828733.49,2023,11,4,3,23,0,0,2026,6,2,1,30,0,1,0.0017411763853240649,1364001.8854999999,0.286875,0.100375,0.186,2.2354158943867644,2.457456546256219,3.0417746971952564,-0.5112552811806109,2.2504727429537223
CUS-000027,Customer 00027,Mid-Market,Manufacturing,Middle East & Africa,Country-03,2024-10-15 00:00:00+00:00,20582,4955665,44.95,29.78,60.75,1,10.0,891001.2899999999,332169.08,3,91681.57,0.1096333333333333,9.0,2026-07-24 00:00:00+00:00,11,0.9091,115469.85,2024,10,4,1,15,0,0,2026,7,3,4,24,0,0,0.018500356662526626,99814.5755,0.419125,0.100875,0.1235,-0.34928373349793196,-0.44528645588493415,-0.6026809771127567,-0.5765672925094114,-0.5193843603314924
CUS-000028,Customer 00028,Enterprise,Finance,Europe,Country-04,2024-03-29 00:00:00+00:00,4800,405306089,44.72,22.74,88.35,1,12.0,1286733.67,601336.51,3,296779.09,0.0723666666666666,12.333333333333334,2026-07-18 00:00:00+00:00,17,0.7059,365146.39,2024,3,1,4,29,0,0,2026,7,3,5,18,0,0,0.00073223447180928,264160.3725,0.286875,0.099875,0.211125,-0.20957024009875916,-0.18720924577671652,-0.14530372186628385,-0.5602392896772113,-0.1592997671587291
CUS-000029,Customer 00029,Enterprise,Healthcare,Europe,Country-05,2023-07-21 00:00:00+00:00,5482,930721660,85.26,70.67,33.27,0,43.0,4086195.93,1646811.54,4,270082.43,0.07825,9.0,2026-07-15 00:00:00+00:00,20,2.15,306534.62,2023,7,3,4,21,0,0,2026,7,3,2,15,0,0,0.0002901860369296659,269070.08900000004,0.286875,0.100625,0.211125,1.955988907588419,1.6384624616131256,-0.2048385474216992,-0.5520752882611112,-0.1485424901199003
CUS-000030,Customer 00030,Mid-Market,Retail,Europe,Country-06,2023-01-20 00:00:00+00:00,16195,6521396,68.45,33.57,72.24,1,12.0,809584.22,404057.98,1,143344.39,0.0352,14.0,2026-03-12 00:00:00+00:00,145,0.0828,154914.58,2023,1,1,4,20,0,0,2026,3,1,3,12,0,0,0.021980629607525753,113627.859,0.419125,0.099375,0.211125,-0.20957024009875916,-0.498382667725839,-0.4874704235678256,-0.21190856259027546,-0.489119208071605
CUS-000031,Customer 00031,SMB,Technology,North America,Country-07,2023-01-04 00:00:00+00:00,1422,3825036,32.73,16.84,70.05,1,1.0,50505.09,23812.51,0,0.0,0.0,0.0,,999,0.001,0.0,2023,1,1,2,4,0,0,0,0,0,0,0,0,0,0.0,25.0,0.294,0.098625,0.319625,-0.9779944537942095,-0.9934167716366007,-0.8071352525388437,2.1121105071928743,-0.7380251126520415
CUS-000032,Customer 00032,SMB,Healthcare,Asia Pacific,Country-08,2023-07-21 00:00:00+00:00,24779,4313624,53.54,23.46,80.08,1,1.0,131110.3,55773.71,0,0.0,0.0,0.0,,999,0.001,0.0,2023,7,3,4,21,0,0,0,0,0,0,0,0,0,0.0,25.0,0.294,0.100625,0.186,-0.9779944537942095,-0.9408500149891235,-0.8071352525388437,2.1121105071928743,-0.7380251126520415
CUS-000033,Customer 00033,Mid-Market,Technology,Latin America,Country-09,2025-01-07 00:00:00+00:00,23537,8228872,43.65,14.97,98.25,1,4.0,232970.44,91973.76,1,169177.72,0.0654,5.0,2026-03-26 00:00:00+00:00,131,0.0305,211755.03,2025,1,1,1,7,0,0,2026,3,1,3,26,0,0,0.020559041385016075,142547.8485,0.419125,0.098625,0.15975,-0.7684242136954503,-0.8744218375616598,-0.4298608651037527,-0.25000723586540907,-0.42575499162213853
CUS-000034,Customer 00034,Mid-Market,Logistics,North America,Country-10,2024-02-22 00:00:00+00:00,20214,24261989,53.7,23.04,79.35,1,8.0,609849.13,255673.76,1,38376.35,0.1478,9.0,2026-06-15 00:00:00+00:00,50,0.16,29776.74,2024,2,1,3,22,0,0,2026,6,2,0,15,0,0,0.0015817478937938682,29772.399,0.419125,0.10575,0.319625,-0.48899722689710473,-0.6286400775135186,-0.7215541610201458,-0.4704352741001106,-0.672848027126314
CUS-000035,Customer 00035,Mid-Market,Manufacturing,North America,Country-11,2024-02-11 00:00:00+00:00,24204,16881595,50.58,31.15,68.54,1,13.0,1050474.75,485632.42,1,83905.13,0.1579,18.0,2026-02-10 00:00:00+00:00,175,0.0743,86269.52,2024,2,1,6,11,0,0,2026,2,1,1,10,0,0,0.004970213418814988,65613.884,0.419125,0.100875,0.319625,-0.13971349339917277,-0.341285702539695,-0.6200228093435359,-0.13026854842927488,-0.5943186897138537
CUS-000036,Customer 00036,Enterprise,Logistics,Latin America,Country-12,2023-12-26 00:00:00+00:00,5761,36871520,68.11,26.44,72.11,1,13.0,1299795.8,552927.9299999999,4,254902.79,0.07585,9.5,2026-07-24 00:00:00+00:00,11,1.1818,281161.14,2023,12,4,1,26,0,0,2026,7,3,4,24,0,0,0.006913270459151129,229912.515,0.286875,0.10575,0.15975,-0.13971349339917277,-0.17869076652447316,-0.23868986887516958,-0.5765672925094114,-0.23433743809427646
CUS-000037,Customer 00037,Enterprise,Healthcare,Europe,Country-13,2023-08-19 00:00:00+00:00,22034,767432514,81.05,46.06,49.23,0,32.0,3272866.19,1480649.28,4,506136.35,0.045375,6.25,2026-07-22 00:00:00+00:00,13,2.4615,607557.66,2023,8,3,5,19,0,0,2026,7,3,2,22,0,0,0.0006595190336175931,476637.221,0.286875,0.100625,0.211125,1.1875646938929687,1.1080487759873954,0.3215729568216016,-0.571124624898678,0.3062408243706872
CUS-000038,Customer 00038,Mid-Market,Finance,Europe,Country-14,2024-10-05 00:00:00+00:00,6451,3732128,52.37,27.43,73.54,1,7.0,454367.99,221388.83,4,165443.38999999998,0.0426,11.5,2026-07-31 00:00:00+00:00,4,1.75,219482.59,2024,10,4,5,5,0,0,2026,7,3,4,31,0,1,0.04432950584760222,186746.2625,0.419125,0.099875,0.211125,-0.5588539735966911,-0.7300372359559114,-0.43818859917671743,-0.5956166291469782,-0.32891547266522003
CUS-000039,Customer 00039,Enterprise,Technology,Latin America,Country-15,2023-01-12 00:00:00+00:00,3051,465571029,67.25,58.52,33.3,0,42.0,4411267.4,1741638.42,3,154937.41999999998,0.0401333333333333,11.333333333333334,2026-05-14 00:00:00+00:00,82,0.5122,188878.84,2023,1,1,3,12,0,0,2026,5,2,3,14,0,0,0.00033279008002879833,140887.56199999998,0.286875,0.098625,0.15975,1.8861321608888326,1.8504580988247616,-0.46161741353927915,-0.38335259232837665,-0.4293927091653668
CUS-000040,Customer 00040,Mid-Market,Energy,Asia Pacific,Country-16,2024-07-04 00:00:00+00:00,6579,16165715,68.41,22.94,80.56,1,12.0,1100197.44,477917.65,4,554440.61,0.0574,10.5,2026-05-20 00:00:00+00:00,76,0.1579,576167.47,2024,7,3,3,4,0,0,2026,5,2,2,20,0,0,0.03429731440892036,427382.3585,0.419125,0.100375,0.186,-0.20957024009875916,-0.30885900772570035,0.42929376132236785,-0.3996805951605768,0.19832253592736968
CUS-000041,Customer 00041,Mid-Market,Energy,North America,Country-17,2025-04-23 00:00:00+00:00,19374,23627929,58.86,38.2,69.92,1,8.0,869947.24,317677.92,5,579820.3200000001,0.0521,13.6,2026-07-04 00:00:00+00:00,31,0.2581,685311.59,2025,4,2,2,23,0,0,2026,7,3,5,4,0,0,0.02453961665451086,478239.6845,0.419125,0.100375,0.319625,-0.48899722689710473,-0.459016872601097,0.48589172554324916,-0.5221406164020777,0.3097518506823104
CUS-000042,Customer 00042,SMB,Manufacturing,Latin America,Country-18,2025-03-03 00:00:00+00:00,23576,3902306,35.71,20.37,76.97,1,2.0,128077.87,33787.27,1,57833.64,0.0776,15.0,2026-03-15 00:00:00+00:00,142,0.0141,52245.52,2025,3,1,0,3,0,0,2026,3,1,6,15,0,0,0.014820375439547796,41771.888,0.294,0.100875,0.15975,-0.908137707094623,-0.9428276168074242,-0.6781634759707378,-0.2200725640063755,-0.6465569311949343
CUS-000043,Customer 00043,SMB,Technology,Middle East & Africa,Country-19,2023-11-29 00:00:00+00:00,15308,2015905,47.37,12.14,90.9,1,2.0,272501.07,72284.95,0,0.0,0.0,0.0,,999,0.002,0.0,2023,11,4,2,29,0,0,0,0,0,0,0,0,0,0.0,50.0,0.294,0.098625,0.1235,-0.908137707094623,-0.8486419033944829,-0.8071352525388437,2.1121105071928743,-0.7379703372029967
CUS-000044,Customer 00044,Mid-Market,Healthcare,North America,Country-20,2025-02-08 00:00:00+00:00,6154,19465891,71.9,27.41,72.5,1,12.0,1409324.04,549546.38,4,522413.29,0.078675,11.0,2026-05-22 00:00:00+00:00,74,0.1622,552762.08,2025,2,1,5,8,0,0,2026,5,2,4,22,0,0,0.02683736850267989,406487.044,0.419125,0.100625,0.319625,-0.20957024009875916,-0.10726183112307063,0.3578713096296293,-0.40512326277131017,0.1525405265404826
CUS-000045,Customer 00045,SMB,Healthcare,North America,Country-21,2023-08-02 00:00:00+00:00,15031,2323415,58.78,20.55,82.56,1,6.0,396750.43,161846.44,2,125533.75,0.1212999999999999,17.5,2026-08-02 00:00:00+00:00,2,3.0,123735.32,2023,8,3,2,2,0,0,2026,8,3,6,2,0,0,0.0540298440011793,168520.862,0.294,0.100625,0.319625,-0.6287107202962775,-0.7676125769933136,-0.527189000551999,-0.6010592967577115,-0.3688476525216552
CUS-000046,Customer 00046,SMB,Government,Asia Pacific,Country-22,2023-08-06 00:00:00+00:00,12752,2921413,25.46,12.91,93.81,1,7.0,980454.03,393856.93,1,226660.25,0.1192,7.0,2026-05-14 00:00:00+00:00,82,0.0854,224514.14,2023,8,3,6,6,0,0,2026,5,2,3,14,0,0,0.07758582918608221,171379.049,0.294,0.100375,0.186,-0.5588539735966911,-0.3869497749801879,-0.3016720805878647,-0.38335259232837665,-0.36258531346648193
CUS-000047,Customer 00047,Mid-Market,Manufacturing,Asia Pacific,Country-23,2023-11-06 00:00:00+00:00,12960,10525931,40.16,16.99,86.26,1,11.0,1748889.83,761171.8999999999,1,357490.62,0.0323,16.0,2026-06-02 00:00:00+00:00,63,0.1746,383018.82,2023,11,4,0,6,0,0,2026,6,2,1,2,0,0,0.03396285041199681,281417.83499999996,0.419125,0.100875,0.186,-0.27942698679834554,0.11418628927433765,-0.009914113287818925,-0.4350579346303437,-0.12148835684619944
CUS-000048,Customer 00048,Mid-Market,Telecom,Europe,Country-00,2023-01-16 00:00:00+00:00,8763,3967297,71.99,41.38,65.0,1,13.0,1420740.94,495715.43,1,263563.96,0.1001,2.0,2026-05-24 00:00:00+00:00,72,0.1806,270155.72,2023,1,1,0,16,0,0,2026,5,2,6,24,0,0,0.06643413891120327,204495.086,0.419125,0.098375,0.211125,-0.13971349339917277,-0.09981629002258123,-0.21937504653200765,-0.41056593038204353,-0.29002748157596403
CUS-000049,Customer 00049,Mid-Market,Telecom,Europe,Country-01,2023-08-28 00:00:00+00:00,3488,10428333,53.97,31.45,72.55,1,11.0,1285328.61,584254.55,1,151027.26,0.041,9.0,2026-03-05 00:00:00+00:00,152,0.0724,211526.88,2023,8,3,0,28,0,0,2026,3,1,3,5,0,0,0.014482397138641431,136255.312,0.419125,0.098375,0.211125,-0.27942698679834554,-0.1881255568575399,-0.4703372569014736,-0.19285922595270866,-0.43954205211889863
CUS-000050,Customer 00050,Enterprise,Healthcare,Asia Pacific,Country-02,2025-02-08 00:00:00+00:00,9047,635200618,41.2,28.41,77.98,1,18.0,2355648.5,923466.01,11,1548000.81,0.0749454545454545,12.0,2026-07-30 00:00:00+00:00,5,3.6,1516196.57,2025,2,1,5,8,0,0,2026,7,3,3,30,0,0,0.0024370266119608844,1239869.1235,0.286875,0.100625,0.186,0.20957024009875916,0.5098844749082063,2.644980412229393,-0.5928952953416115,1.9784956317643112
CUS-000051,Customer 00051,Enterprise,Logistics,Europe,Country-03,2024-11-17 00:00:00+00:00,22262,797151924,61.78,44.36,58.21,1,28.0,2555653.37,1075796.31,9,742371.78,0.0809666666666666,13.11111111111111,2026-07-11 00:00:00+00:00,24,1.1667,805150.51,2024,11,4,6,17,0,0,2026,7,3,5,11,0,0,0.0009312801708799489,607918.8905,0.286875,0.10575,0.211125,0.908137707094623,0.6403178219536434,0.8483892370251375,-0.5411899530396445,0.5938813202998204
CUS-000052,Customer 00052,Enterprise,Telecom,North America,Country-04,2023-10-24 00:00:00+00:00,10220,496338335,65.85,51.92,50.75,0,34.0,3293808.78,1512436.25,7,328027.8,0.0554142857142857,14.714285714285714,2026-04-23 00:00:00+00:00,103,0.3301,355558.18,2023,10,4,1,24,0,0,2026,4,2,3,23,0,0,0.0006608955562539815,263908.983,0.286875,0.098375,0.319625,1.3272781872921413,1.1217065039692204,-0.07561760762271331,-0.3262045824156763,-0.15985056606863612
CUS-000053,Customer 00053,SMB,Logistics,North America,Country-05,2023-10-09 00:00:00+00:00,542,510287,39.62,13.73,91.47,1,8.0,964027.56,420418.91,2,375807.17,0.0567499999999999,9.5,2026-07-17 00:00:00+00:00,18,0.4444,407359.22,2023,10,4,0,9,0,0,2026,7,3,4,17,0,0,0.7364623633367104,304008.595,0.294,0.10575,0.319625,-0.48899722689710473,-0.39766231144113234,0.030932667134415223,-0.5575179558718446,-0.07199159591556524
CUS-000054,Customer 00054,Mid-Market,Finance,Europe,Country-06,2023-11-09 00:00:00+00:00,8642,18978400,68.71,30.18,69.66,1,11.0,1081313.11,411097.65,3,155780.41,0.1097666666666666,12.333333333333334,2026-06-12 00:00:00+00:00,53,0.2075,169449.89,2023,11,4,3,9,0,0,2026,6,2,4,12,0,0,0.008208300488976942,126807.1255,0.419125,0.099875,0.211125,-0.27942698679834554,-0.32117443968798476,-0.45973750561840215,-0.4622712726840106,-0.460243198446802
CUS-000055,Customer 00055,SMB,Education,Middle East & Africa,Country-07,2023-04-18 00:00:00+00:00,11538,4527577,30.99,18.48,85.02,1,2.0,100858.97,54567.61,1,67108.08,0.0324,14.0,2026-06-27 00:00:00+00:00,38,0.0526,67952.38,2023,4,2,1,18,0,0,2026,6,2,5,27,0,0,0.014822073705207002,51941.565,0.294,0.09575,0.1235,-0.908137707094623,-0.9605784457242152,-0.6574810322671372,-0.5030912797645108,-0.6242749862222654
