campaign_id,campaign_name,channel,budget,impressions,clicks,conversions,conversion_rate,roi,campaign_start,campaign_end,product_category
CMP000017,Promo Facebook 16,Facebook,27426,3702660,28482,606,0.0213,1.95,2026-02-16,2026-03-20,electronics
CMP000018,Promo Google 17,Google,25478,3874635,28701,1063,0.037,4.08,2025-10-25,2025-12-04,electronics
CMP000019,Promo Email 18,Email,37811,4822543,25789,1517,0.0588,3.83,2026-03-12,2026-04-25,electronics
CMP000020,Promo TikTok 19,TikTok,30929,820116,7524,627,0.0833,2.2,2025-12-10,2026-02-04,electronics
CMP000021,Promo Facebook 20,Facebook,24097,4924800,30400,760,0.025,1.75,2025-08-27,2025-09-10,fashion
CMP000022,Promo Google 21,Google,31473,2884200,20900,950,0.0455,2.44,2026-01-25,2026-03-08,fashion
CMP000023,Promo Email 22,Email,10194,469000,3752,268,0.0714,3.47,2025-09-18,2025-10-21,fashion
CMP000024,Promo TikTok 23,TikTok,35475,3965216,20128,592,0.0294,2.15,2026-01-10,2026-01-29,electronics
CMP000025,Promo Facebook 24,Facebook,12559,993344,7304,166,0.0227,1.46,2026-02-13,2026-03-02,electronics
CMP000026,Promo Google 25,Google,5311,1234464,14028,334,0.0238,4.23,2025-10-01,2025-11-11,electronics
CMP000027,Promo Email 26,Email,5269,665910,7399,151,0.0204,4.27,2026-06-01,2026-07-11,electronics
CMP000028,Promo TikTok 27,TikTok,32549,851904,15776,928,0.0588,2.86,2025-11-04,2025-11-21,fashion
CMP000029,Promo Facebook 28,Facebook,39473,4366582,42394,902,0.0213,2.0,2026-05-24,2026-06-13,electronics
CMP000030,Promo Google 29,Google,8826,554092,2827,257,0.0909,2.36,2025-09-03,2025-09-21,electronics
CMP000031,Promo Email 30,Email,29680,1862520,22440,935,0.0417,4.71,2026-05-10,2026-06-18,electronics
CMP000032,Promo TikTok 31,TikTok,38083,4151706,40703,1313,0.0323,1.94,2025-08-31,2025-09-18,electronics
CMP000033,Promo Facebook 32,Facebook,18790,4081468,24887,607,0.0244,2.3,2026-03-17,2026-05-07,fashion
CMP000034,Promo Google 33,Google,49276,7518472,90584,3484,0.0385,4.2,2025-10-01,2025-11-12,electronics
CMP000035,Promo Email 34,Email,15346,7055412,49686,1014,0.0204,5.9,2026-05-10,2026-07-08,electronics
CMP000036,Promo TikTok 35,TikTok,8007,2738610,17010,378,0.0222,3.3,2026-04-05,2026-05-29,electronics
CMP000037,Promo Facebook 36,Facebook,27328,9857172,55068,1412,0.0256,2.66,2026-05-08,2026-05-23,electronics
CMP000038,Promo Google 37,Google,49255,3410792,34804,1582,0.0455,2.44,2025-09-12,2025-10-30,fashion
CMP000039,Promo Email 38,Email,26219,1405250,25550,730,0.0286,4.11,2026-04-12,2026-05-31,electronics
CMP000040,Promo TikTok 39,TikTok,18241,317520,1890,189,0.1,1.35,2026-02-02,2026-02-23,fashion
CMP000041,Promo Facebook 40,Facebook,11412,686868,8177,221,0.027,2.4,2025-12-11,2026-02-06,fashion
CMP000042,Promo Google 41,Google,7161,149504,2336,146,0.0625,2.04,2025-11-13,2025-12-25,fashion
CMP000043,Promo Email 42,Email,39377,1618188,19734,1794,0.0909,4.76,2026-05-18,2026-07-06,fashion
CMP000044,Promo TikTok 43,TikTok,23243,3828006,20254,779,0.0385,2.95,2025-09-29,2025-10-20,fashion
CMP000045,Promo Facebook 44,Facebook,18494,2670580,13420,305,0.0227,1.41,2025-09-18,2025-10-20,electronics
CMP000046,Promo Google 45,Google,11746,3466320,22220,505,0.0227,3.56,2026-01-29,2026-03-27,fashion
CMP000047,Promo Email 46,Email,6123,482976,9288,387,0.0417,4.16,2026-02-11,2026-03-04,fashion
CMP000048,Promo TikTok 47,TikTok,15625,1169090,10166,221,0.0217,1.93,2025-11-07,2025-11-25,fashion
CMP000049,Promo Facebook 48,Facebook,32815,784333,6941,631,0.0909,2.51,2025-08-29,2025-10-04,fashion
CMP000050,Promo Google 49,Google,7729,716040,9180,270,0.0294,4.26,2026-06-12,2026-08-07,fashion
CMP000051,Promo Email 50,Email,20764,1006500,8250,750,0.0909,5.24,2026-05-27,2026-06-17,electronics
CMP000052,Promo TikTok 51,TikTok,31931,2532208,27524,983,0.0357,2.5,2026-06-11,2026-07-23,electronics
CMP000053,Promo Facebook 52,Facebook,23853,2337024,17184,358,0.0208,1.91,2025-10-09,2025-11-25,fashion
CMP000054,Promo Google 53,Google,23065,1329664,11872,848,0.0714,3.22,2025-09-10,2025-10-01,electronics
CMP000055,Promo Email 54,Email,14176,695079,11033,1003,0.0909,4.41,2026-05-02,2026-06-24,fashion
CMP000056,Promo TikTok 55,TikTok,9068,636560,8720,218,0.025,2.01,2026-05-15,2026-07-04,electronics
CMP000057,Promo Facebook 56,Facebook,16401,603520,3680,160,0.0435,1.36,2025-11-09,2025-12-24,electronics
CMP000058,Promo Google 57,Google,20420,3573990,19215,549,0.0286,3.82,2026-07-05,2026-08-21,electronics
CMP000059,Promo Email 58,Email,32680,6372000,84960,2124,0.025,5.0,2026-02-28,2026-04-12,electronics
CMP000060,Promo TikTok 59,TikTok,24954,3807300,25725,525,0.0204,2.09,2025-11-05,2025-12-02,fashion
CMP000061,Promo Facebook 60,Facebook,26418,1793988,15876,378,0.0238,1.41,2025-10-24,2025-12-21,fashion
CMP000062,Promo Google 61,Google,21586,803301,14093,829,0.0588,2.46,2026-04-09,2026-05-10,electronics
CMP000063,Promo Email 62,Email,45710,7791225,42575,1703,0.04,5.05,2025-08-27,2025-09-25,fashion
CMP000064,Promo TikTok 63,TikTok,39418,2386800,22950,765,0.0333,1.51,2025-11-03,2025-12-27,electronics
CMP000065,Promo Facebook 64,Facebook,18993,1155675,20275,811,0.04,2.73,2026-01-09,2026-01-25,fashion
CMP000066,Promo Google 65,Google,17848,3431400,45752,1204,0.0263,3.95,2025-09-10,2025-10-22,fashion
CMP000067,Promo Email 66,Email,26025,2403120,14136,744,0.0526,4.12,2026-06-25,2026-08-01,fashion
CMP000068,Promo TikTok 67,TikTok,26494,2957864,16252,478,0.0294,2.32,2025-08-16,2025-09-01,fashion
CMP000069,Promo Facebook 68,Facebook,23111,2009304,17028,516,0.0303,2.12,2026-06-09,2026-08-03,fashion
CMP000070,Promo Google 69,Google,33225,2661549,45111,1367,0.0303,3.81,2025-09-30,2025-10-31,fashion
CMP000071,Promo Email 70,Email,40066,4266864,33864,1411,0.0417,4.91,2025-10-02,2025-10-17,electronics
CMP000072,Promo TikTok 71,TikTok,31454,960144,11568,482,0.0417,1.99,2025-09-21,2025-11-14,electronics
CMP000073,Promo Facebook 72,Facebook,26608,2470860,23310,518,0.0222,2.66,2026-02-11,2026-03-16,fashion
CMP000074,Promo Google 73,Google,32995,2945496,27528,744,0.027,2.35,2026-06-02,2026-07-19,electronics
CMP000075,Promo Email 74,Email,32864,1673298,10329,939,0.0909,4.03,2026-04-26,2026-05-20,fashion
CMP000076,Promo TikTok 75,TikTok,41789,1192609,6589,599,0.0909,1.32,2025-12-02,2026-01-13,fashion
CMP000077,Promo Facebook 76,Facebook,8295,722832,4884,222,0.0455,1.81,2026-05-30,2026-07-09,electronics
CMP000078,Promo Google 77,Google,30054,1445250,19270,470,0.0244,2.32,2025-09-06,2025-10-03,fashion
CMP000079,Promo Email 78,Email,6044,941439,5921,191,0.0323,4.64,2026-02-20,2026-04-09,fashion
CMP000080,Promo TikTok 79,TikTok,47969,6219040,33080,827,0.025,1.91,2026-01-16,2026-02-01,electronics
CMP000081,Promo Facebook 80,Facebook,7282,411180,5340,178,0.0333,2.63,2025-12-09,2026-01-12,electronics
CMP000082,Promo Google 81,Google,33854,5180481,46671,993,0.0213,4.25,2025-08-18,2025-09-11,fashion
CMP000083,Promo Email 82,Email,16756,1416948,22854,586,0.0256,4.64,2025-10-09,2025-11-29,electronics
CMP000084,Promo TikTok 83,TikTok,32422,9540331,63181,1541,0.0244,2.94,2025-11-10,2025-12-21,electronics
CMP000085,Promo Facebook 84,Facebook,35451,1765640,11930,1193,0.1,2.36,2026-06-09,2026-08-07,electronics
CMP000086,Promo Google 85,Google,34467,2518488,44184,2104,0.0476,3.63,2026-05-05,2026-05-23,electronics
CMP000087,Promo Email 86,Email,13433,1387680,19824,826,0.0417,4.73,2025-10-03,2025-10-21,electronics
CMP000088,Promo TikTok 87,TikTok,15989,554358,2814,201,0.0714,1.32,2026-02-01,2026-03-12,electronics
CMP000089,Promo Facebook 88,Facebook,5253,405600,2400,120,0.05,2.37,2026-01-20,2026-02-04,electronics
CMP000090,Promo Google 89,Google,34679,6997736,47282,1006,0.0213,2.98,2026-01-28,2026-03-12,electronics
CMP000091,Promo Email 90,Email,39469,4015104,41824,2614,0.0625,5.5,2026-05-01,2026-05-15,fashion
CMP000092,Promo TikTok 91,TikTok,27887,2214800,19600,400,0.0204,1.6,2026-06-17,2026-07-09,electronics
CMP000093,Promo Facebook 92,Facebook,26276,1814250,14514,354,0.0244,1.93,2025-11-22,2026-01-08,fashion
CMP000094,Promo Google 93,Google,14645,3353308,20447,889,0.0435,3.93,2025-10-18,2025-11-26,fashion
CMP000095,Promo Email 94,Email,43434,8790915,60627,2887,0.0476,3.91,2026-03-25,2026-05-15,fashion
CMP000096,Promo TikTok 95,TikTok,48621,3301560,24456,1019,0.0417,2.15,2026-03-12,2026-05-05,fashion
CMP000097,Promo Facebook 96,Facebook,13847,2359800,20520,513,0.025,2.75,2025-12-11,2026-01-01,electronics
CMP000098,Promo Google 97,Google,44216,4777080,39480,987,0.025,2.57,2026-03-14,2026-04-02,fashion
CMP000099,Promo Email 98,Email,22638,1937628,25164,1398,0.0556,5.59,2026-03-24,2026-05-18,fashion
CMP000100,Promo TikTok 99,TikTok,29524,2872282,36358,742,0.0204,1.6,2026-03-21,2026-05-14,electronics
