risk_id,customer_id,financial_risk,operational_risk,customer_risk,overall_risk,risk_category,confidence_score
RSK000033,CUS-000033,0.2926,0.2842,0.8077,0.5485,Medium,0.8394
RSK000034,CUS-000034,0.6535,0.3652,0.415,0.4766,Medium,0.8528
RSK000035,CUS-000035,0.8659,0.4982,0.7036,0.7112,High,0.9118
RSK000036,CUS-000036,0.4318,0.4426,0.5384,0.4873,Medium,0.9093
RSK000037,CUS-000037,0.2043,0.1459,0.116,0.1485,Low,0.7139
RSK000038,CUS-000038,0.6875,0.3745,0.2949,0.4286,Medium,0.7923
RSK000039,CUS-000039,0.6899,0.2802,0.579,0.5525,Medium,0.7938
RSK000040,CUS-000040,0.5144,0.3974,0.1334,0.3005,Low,0.9365
RSK000041,CUS-000041,0.4034,0.4087,0.2391,0.3223,Low,0.8502
RSK000042,CUS-000042,0.8327,0.2111,0.3146,0.4493,Medium,0.7545
RSK000043,CUS-000043,0.396,0.1694,0.6412,0.4733,Medium,0.7285
RSK000044,CUS-000044,0.2251,0.3736,0.4654,0.375,Low,0.7057
RSK000045,CUS-000045,0.7759,0.2317,0.7748,0.6665,Medium,0.7255
RSK000046,CUS-000046,0.1364,0.1631,0.2081,0.1776,Low,0.7398
RSK000047,CUS-000047,0.7345,0.3186,0.4083,0.4882,Medium,0.8224
RSK000048,CUS-000048,0.2969,0.3717,0.2938,0.3103,Low,0.9532
RSK000049,CUS-000049,0.4449,0.2605,0.57,0.4706,Medium,0.7082
RSK000050,CUS-000050,0.6308,0.1605,0.3053,0.374,Low,0.73
RSK000051,CUS-000051,0.4433,0.4871,0.322,0.3914,Low,0.9099
RSK000052,CUS-000052,0.1273,0.3739,0.3744,0.3002,Low,0.9429
RSK000053,CUS-000053,0.1249,0.487,0.215,0.2424,Low,0.986
RSK000054,CUS-000054,0.5328,0.4569,0.2746,0.3885,Low,0.8972
RSK000055,CUS-000055,0.1852,0.1509,0.141,0.1562,Low,0.9623
RSK000056,CUS-000056,0.1922,0.4711,0.4376,0.3707,Low,0.9381
RSK000057,CUS-000057,0.3108,0.1821,0.695,0.4772,Medium,0.7766
RSK000058,CUS-000058,0.3632,0.3822,0.1552,0.263,Low,0.896
RSK000059,CUS-000059,0.5081,0.3671,0.1141,0.2829,Low,0.7076
RSK000060,CUS-000060,0.3021,0.4831,0.5378,0.4561,Medium,0.7087
RSK000061,CUS-000061,0.1391,0.217,0.01,0.0901,Low,0.928
RSK000062,CUS-000062,0.2574,0.357,0.1398,0.2185,Low,0.8328
RSK000063,CUS-000063,0.5883,0.3923,0.071,0.2904,Low,0.9881
RSK000064,CUS-000064,0.1865,0.3564,0.2033,0.2289,Low,0.8517
RSK000065,CUS-000065,0.5078,0.2614,0.126,0.2676,Low,0.8173
RSK000066,CUS-000066,0.5599,0.185,0.5224,0.4662,Medium,0.7604
RSK000067,CUS-000067,0.1254,0.3697,0.6376,0.4304,Medium,0.8164
RSK000068,CUS-000068,0.878,0.1273,0.3782,0.478,Medium,0.8212
RSK000069,CUS-000069,0.8364,0.3896,0.5986,0.6281,Medium,0.892
RSK000070,CUS-000070,0.1259,0.3345,0.4812,0.3453,Low,0.8606
RSK000071,CUS-000071,0.746,0.1215,0.463,0.4796,Medium,0.7202
RSK000072,CUS-000072,0.6964,0.3537,0.3981,0.4787,Medium,0.924
RSK000073,CUS-000073,0.7898,0.2381,0.5884,0.5788,Medium,0.7986
RSK000074,CUS-000074,0.3802,0.1475,0.01,0.1486,Low,0.7084
RSK000075,CUS-000075,0.6496,0.2157,0.696,0.586,Medium,0.9464
RSK000076,CUS-000076,0.8633,0.4093,0.5436,0.6127,Medium,0.9704
RSK000077,CUS-000077,0.2892,0.2382,0.3134,0.2911,Low,0.9183
RSK000078,CUS-000078,0.8021,0.2199,0.5278,0.5485,Medium,0.9388
RSK000079,CUS-000079,0.5144,0.1906,0.6434,0.5141,Medium,0.868
RSK000080,CUS-000080,0.7365,0.3527,0.2784,0.4307,Medium,0.7922
RSK000081,CUS-000081,0.7686,0.1919,0.69,0.614,Medium,0.7103
RSK000082,CUS-000082,0.1807,0.3349,0.1795,0.2109,Low,0.8311
RSK000083,CUS-000083,0.4625,0.1625,0.1222,0.2324,Low,0.9777
RSK000084,CUS-000084,0.6522,0.2693,0.2244,0.3617,Low,0.9678
RSK000085,CUS-000085,0.2722,0.2296,0.8023,0.5287,Medium,0.8506
RSK000086,CUS-000086,0.567,0.2612,0.2416,0.3431,Low,0.9745
RSK000087,CUS-000087,0.5896,0.2508,0.6634,0.5587,Medium,0.7004
RSK000088,CUS-000088,0.1835,0.1301,0.3981,0.2801,Low,0.8008
RSK000089,CUS-000089,0.2469,0.2699,0.3757,0.3159,Low,0.8137
RSK000090,CUS-000090,0.5429,0.4387,0.4512,0.4762,Medium,0.8504
RSK000091,CUS-000091,0.7585,0.4695,0.3044,0.4736,Medium,0.8854
RSK000092,CUS-000092,0.8249,0.1756,0.0552,0.3102,Low,0.7744
RSK000093,CUS-000093,0.7816,0.4653,0.8504,0.7527,High,0.9457
RSK000094,CUS-000094,0.8756,0.301,0.5012,0.5735,Medium,0.7509
RSK000095,CUS-000095,0.7977,0.4447,0.3682,0.5123,Medium,0.9708
RSK000096,CUS-000096,0.6746,0.2059,0.1401,0.3136,Low,0.8802
RSK000097,CUS-000097,0.4934,0.1511,0.4552,0.4058,Medium,0.7014
RSK000098,CUS-000098,0.3648,0.1676,0.2677,0.2768,Low,0.8353
RSK000099,CUS-000099,0.4034,0.2862,0.687,0.5218,Medium,0.8353
RSK000100,CUS-000100,0.3844,0.1918,0.6644,0.4859,Medium,0.751
RSK000101,CUS-000101,0.1263,0.3421,0.4554,0.334,Low,0.8796
RSK000102,CUS-000102,0.1313,0.4744,0.4288,0.3487,Low,0.7276
RSK000103,CUS-000103,0.8039,0.3043,0.1875,0.3958,Low,0.7239
RSK000104,CUS-000104,0.7208,0.3602,0.2084,0.3925,Low,0.7617
RSK000105,CUS-000105,0.6549,0.2291,0.4018,0.4432,Medium,0.8658
RSK000106,CUS-000106,0.8922,0.3531,0.01,0.3433,Low,0.7702
RSK000107,CUS-000107,0.4572,0.1274,0.4987,0.412,Medium,0.7489
RSK000108,CUS-000108,0.5559,0.167,0.1966,0.2985,Low,0.9429
RSK000109,CUS-000109,0.1624,0.4539,0.01,0.1445,Low,0.9365
RSK000110,CUS-000110,0.6171,0.1864,0.3946,0.4197,Medium,0.9113
RSK000111,CUS-000111,0.2711,0.3392,0.3806,0.3395,Low,0.9262
RSK000112,CUS-000112,0.8103,0.2617,0.5047,0.5478,Medium,0.8812
RSK000113,CUS-000113,0.8855,0.3808,0.0306,0.3571,Low,0.8439
RSK000114,CUS-000114,0.2646,0.2247,0.5461,0.3974,Low,0.7893
RSK000115,CUS-000115,0.8913,0.4555,0.5625,0.6397,Medium,0.7951
RSK000116,CUS-000116,0.1137,0.4281,0.4956,0.3675,Low,0.9551
RSK000117,CUS-000117,0.4696,0.105,0.0893,0.2065,Low,0.8158
RSK000118,CUS-000118,0.8152,0.4864,0.5131,0.5984,Medium,0.9567
RSK000119,CUS-000119,0.1546,0.209,0.8217,0.499,Medium,0.8677
RSK000120,CUS-000120,0.1392,0.1414,0.2704,0.2052,Low,0.7373
RSK000121,CUS-000121,0.6508,0.4323,0.6625,0.6129,Medium,0.8186
RSK000122,CUS-000122,0.8786,0.24,0.1858,0.4045,Medium,0.9453
RSK000123,CUS-000123,0.1537,0.3601,0.1166,0.1764,Low,0.7348
RSK000124,CUS-000124,0.8329,0.4634,0.7058,0.6955,Medium,0.7655
RSK000125,CUS-000125,0.4974,0.2574,0.4534,0.4274,Medium,0.8401
RSK000126,CUS-000126,0.7266,0.2727,0.1633,0.3542,Low,0.7731
RSK000127,CUS-000127,0.4979,0.1592,0.4544,0.4084,Medium,0.9353
RSK000128,CUS-000128,0.8636,0.4398,0.5165,0.6053,Medium,0.9759
RSK000129,CUS-000129,0.8483,0.4474,0.2787,0.4833,Medium,0.9507
RSK000130,CUS-000130,0.1118,0.3992,0.2704,0.2486,Low,0.7265
RSK000131,CUS-000131,0.4614,0.1063,0.6025,0.4609,Medium,0.939
RSK000132,CUS-000132,0.5329,0.4843,0.1333,0.3234,Low,0.7348
RSK000133,CUS-000133,0.4055,0.3342,0.1353,0.2561,Low,0.9138
RSK000134,CUS-000134,0.5306,0.3131,0.7491,0.5964,Medium,0.8849
RSK000135,CUS-000135,0.2518,0.1747,0.565,0.393,Low,0.8672
RSK000136,CUS-000136,0.1982,0.3261,0.1757,0.2125,Low,0.7783
RSK000137,CUS-000137,0.2428,0.1005,0.4662,0.326,Low,0.9474
RSK000138,CUS-000138,0.5372,0.3804,0.2661,0.3703,Low,0.9713
RSK000139,CUS-000139,0.5564,0.2769,0.2205,0.3325,Low,0.8614
RSK000140,CUS-000140,0.6214,0.1755,0.4577,0.4504,Medium,0.7183
RSK000141,CUS-000141,0.3546,0.2472,0.3636,0.3376,Low,0.8089
RSK000142,CUS-000142,0.3122,0.1518,0.01,0.129,Low,0.8482
RSK000143,CUS-000143,0.2241,0.3307,0.7003,0.4835,Medium,0.9396
RSK000144,CUS-000144,0.4688,0.4164,0.7499,0.5989,Medium,0.8357
RSK000145,CUS-000145,0.5478,0.2433,0.4042,0.4151,Medium,0.7249
RSK000146,CUS-000146,0.8761,0.4706,0.2903,0.5021,Medium,0.9313
RSK000147,CUS-000147,0.4457,0.3379,0.3415,0.372,Low,0.8011
RSK000148,CUS-000148,0.4631,0.1849,0.59,0.4709,Medium,0.7586
RSK000149,CUS-000149,0.5368,0.2604,0.1482,0.2872,Low,0.8249
RSK000150,CUS-000150,0.7364,0.2552,0.745,0.6445,Medium,0.8112
RSK000151,CUS-000151,0.1203,0.3281,0.779,0.4912,Medium,0.847
RSK000152,CUS-000152,0.3587,0.3065,0.1443,0.2411,Low,0.9029
RSK000153,CUS-000153,0.8333,0.2197,0.749,0.6684,Medium,0.8817
RSK000154,CUS-000154,0.6744,0.2244,0.1453,0.3198,Low,0.7888
RSK000155,CUS-000155,0.8496,0.1899,0.307,0.4464,Medium,0.8358
RSK000156,CUS-000156,0.4226,0.2496,0.5156,0.4345,Medium,0.7784
RSK000157,CUS-000157,0.8911,0.4132,0.5345,0.6172,Medium,0.7207
RSK000158,CUS-000158,0.8125,0.2367,0.1287,0.3554,Low,0.8347
RSK000159,CUS-000159,0.8324,0.4314,0.0375,0.3548,Low,0.9844
RSK000160,CUS-000160,0.3647,0.4819,0.4877,0.4496,Medium,0.7966
RSK000161,CUS-000161,0.417,0.1774,0.3286,0.3249,Low,0.8558
RSK000162,CUS-000162,0.8114,0.3662,0.0304,0.3319,Low,0.8789
RSK000163,CUS-000163,0.4321,0.4197,0.2585,0.3428,Low,0.7889
RSK000164,CUS-000164,0.6868,0.2671,0.3279,0.4234,Medium,0.8524
RSK000165,CUS-000165,0.342,0.354,0.8066,0.5767,Medium,0.8686
RSK000166,CUS-000166,0.7047,0.253,0.1307,0.3274,Low,0.8192
RSK000167,CUS-000167,0.6335,0.46,0.3187,0.4414,Medium,0.7827
RSK000168,CUS-000168,0.6276,0.3191,0.01,0.2571,Low,0.8434
RSK000169,CUS-000169,0.2294,0.2477,0.552,0.3944,Low,0.7286
RSK000170,CUS-000170,0.2283,0.1342,0.2617,0.2262,Low,0.8106
RSK000171,CUS-000171,0.1575,0.3538,0.2078,0.2219,Low,0.8985
RSK000172,CUS-000172,0.287,0.2959,0.4064,0.3485,Low,0.8134
RSK000173,CUS-000173,0.4962,0.2101,0.7533,0.5675,Medium,0.8374
RSK000174,CUS-000174,0.6196,0.2871,0.2401,0.3634,Low,0.867
RSK000175,CUS-000175,0.4085,0.3121,0.4173,0.3936,Low,0.8737
RSK000176,CUS-000176,0.2216,0.1697,0.1068,0.1538,Low,0.7291
RSK000177,CUS-000177,0.8891,0.3088,0.2507,0.4538,Medium,0.9397
RSK000178,CUS-000178,0.6768,0.3572,0.4137,0.4813,Medium,0.8639
RSK000179,CUS-000179,0.1773,0.116,0.2056,0.1792,Low,0.8389
RSK000180,CUS-000180,0.3295,0.2288,0.2363,0.2628,Low,0.8632
RSK000181,CUS-000181,0.2319,0.1696,0.4963,0.3516,Low,0.9444
RSK000182,CUS-000182,0.5543,0.4908,0.6155,0.5722,Medium,0.7791
RSK000183,CUS-000183,0.2928,0.3736,0.5837,0.4544,Medium,0.7247
RSK000184,CUS-000184,0.5664,0.1278,0.6753,0.5331,Medium,0.7138
RSK000185,CUS-000185,0.7799,0.438,0.8395,0.7413,High,0.968
RSK000186,CUS-000186,0.4211,0.3875,0.3453,0.3765,Low,0.954
RSK000187,CUS-000187,0.8454,0.143,0.459,0.5117,Medium,0.9501
RSK000188,CUS-000188,0.2747,0.3412,0.6693,0.4853,Medium,0.862
RSK000189,CUS-000189,0.6279,0.3885,0.5687,0.5504,Medium,0.7437
RSK000190,CUS-000190,0.2782,0.1512,0.0269,0.1271,Low,0.8277
RSK000191,CUS-000191,0.399,0.4384,0.0403,0.2275,Low,0.8792
RSK000192,CUS-000192,0.6732,0.191,0.1415,0.3109,Low,0.9863
RSK000193,CUS-000193,0.1947,0.2003,0.3912,0.2941,Low,0.7405
RSK000194,CUS-000194,0.6863,0.1435,0.4447,0.4569,Medium,0.9181
RSK000195,CUS-000195,0.7336,0.3971,0.7038,0.6514,Medium,0.8381
RSK000196,CUS-000196,0.4254,0.2266,0.782,0.5639,Medium,0.8857
RSK000197,CUS-000197,0.8328,0.4114,0.3692,0.5167,Medium,0.7163
RSK000198,CUS-000198,0.7698,0.3452,0.2966,0.4483,Medium,0.75
RSK000199,CUS-000199,0.5059,0.3937,0.6897,0.5754,Medium,0.735
RSK000200,CUS-000200,0.2745,0.2565,0.5884,0.4279,Medium,0.8623
RSK000201,CUS-000201,0.8447,0.3281,0.3448,0.4914,Medium,0.9129
RSK000202,CUS-000202,0.1045,0.1119,0.01,0.0587,Low,0.8634
RSK000203,CUS-000203,0.5362,0.3065,0.1631,0.3037,Low,0.7275
RSK000204,CUS-000204,0.1886,0.4247,0.4466,0.3648,Low,0.9405
RSK000205,CUS-000205,0.7347,0.3684,0.2038,0.396,Low,0.8943
RSK000206,CUS-000206,0.3907,0.3921,0.2689,0.3301,Low,0.7866
RSK000207,CUS-000207,0.3213,0.4899,0.3523,0.3705,Low,0.775
RSK000208,CUS-000208,0.7584,0.3346,0.4849,0.5369,Medium,0.8778
RSK000209,CUS-000209,0.2549,0.1794,0.1121,0.1684,Low,0.9125
RSK000210,CUS-000210,0.2161,0.1483,0.25,0.2195,Low,0.8821
RSK000211,CUS-000211,0.4116,0.3765,0.7036,0.5506,Medium,0.9016
RSK000212,CUS-000212,0.5169,0.4908,0.4941,0.5003,Medium,0.7471
RSK000213,CUS-000213,0.2556,0.4,0.3177,0.3155,Low,0.7799
RSK000214,CUS-000214,0.2954,0.2723,0.4696,0.3779,Low,0.8373
RSK000215,CUS-000215,0.2268,0.3371,0.2576,0.2643,Low,0.9599
RSK000216,CUS-000216,0.7003,0.3446,0.7076,0.6328,Medium,0.7292
RSK000217,CUS-000217,0.8967,0.1714,0.4842,0.5454,Medium,0.9849
RSK000218,CUS-000218,0.4313,0.3456,0.4391,0.4181,Medium,0.7619
RSK000219,CUS-000219,0.8992,0.2273,0.6378,0.6341,Medium,0.7432
RSK000220,CUS-000220,0.1803,0.4787,0.1856,0.2426,Low,0.7226
RSK000221,CUS-000221,0.5453,0.1853,0.2845,0.3429,Low,0.8996
RSK000222,CUS-000222,0.5184,0.1959,0.0239,0.2066,Low,0.9586
RSK000223,CUS-000223,0.5342,0.4827,0.0803,0.2969,Low,0.7446
RSK000224,CUS-000224,0.4935,0.421,0.4247,0.4446,Medium,0.8944
RSK000225,CUS-000225,0.3713,0.3263,0.668,0.5107,Medium,0.7845
RSK000226,CUS-000226,0.7808,0.4726,0.7369,0.6972,Medium,0.982
RSK000227,CUS-000227,0.7825,0.26,0.103,0.3382,Low,0.9117
RSK000228,CUS-000228,0.4404,0.1247,0.4407,0.3774,Low,0.8615
RSK000229,CUS-000229,0.5216,0.3214,0.7561,0.5988,Medium,0.9631
RSK000230,CUS-000230,0.3369,0.3006,0.2609,0.2916,Low,0.9513
RSK000231,CUS-000231,0.1575,0.2073,0.2568,0.2171,Low,0.7233
RSK000232,CUS-000232,0.1799,0.3247,0.1273,0.1826,Low,0.8193
RSK000233,CUS-000233,0.4403,0.2702,0.2253,0.2988,Low,0.9528
RSK000234,CUS-000234,0.3708,0.1786,0.4505,0.3722,Low,0.9496
RSK000235,CUS-000235,0.3268,0.4598,0.7644,0.5722,Medium,0.9293
RSK000236,CUS-000236,0.3607,0.3297,0.3683,0.3583,Low,0.7848
RSK000237,CUS-000237,0.2951,0.4355,0.5311,0.4412,Medium,0.809
RSK000238,CUS-000238,0.645,0.3582,0.4627,0.4965,Medium,0.9064
RSK000239,CUS-000239,0.5906,0.2602,0.0152,0.2368,Low,0.7034
RSK000240,CUS-000240,0.552,0.4526,0.6648,0.5885,Medium,0.9294
RSK000241,CUS-000241,0.3287,0.2467,0.2721,0.284,Low,0.8803
RSK000242,CUS-000242,0.8212,0.3822,0.7541,0.6999,Medium,0.9312
RSK000243,CUS-000243,0.1884,0.4318,0.196,0.2409,Low,0.9017
RSK000244,CUS-000244,0.5827,0.1125,0.2778,0.3362,Low,0.7345
RSK000245,CUS-000245,0.1965,0.148,0.5392,0.3582,Low,0.9105
RSK000246,CUS-000246,0.4619,0.4906,0.351,0.4122,Medium,0.7144
RSK000247,CUS-000247,0.2091,0.3358,0.685,0.4724,Medium,0.8647
RSK000248,CUS-000248,0.8564,0.1454,0.0999,0.3359,Low,0.9518
RSK000249,CUS-000249,0.6761,0.1643,0.7233,0.5973,Medium,0.8835
RSK000250,CUS-000250,0.8369,0.1687,0.7167,0.6432,Medium,0.7189
RSK000251,CUS-000251,0.1613,0.2422,0.5152,0.3544,Low,0.9609
RSK000252,CUS-000252,0.7227,0.3173,0.6676,0.6141,Medium,0.9414
RSK000253,CUS-000253,0.8479,0.1621,0.7948,0.6842,Medium,0.7098
RSK000254,CUS-000254,0.5577,0.3464,0.01,0.2416,Low,0.929
RSK000255,CUS-000255,0.2893,0.4507,0.0892,0.2215,Low,0.9377
RSK000256,CUS-000256,0.6881,0.1863,0.4048,0.4461,Medium,0.9455
RSK000257,CUS-000257,0.3571,0.4054,0.3754,0.3759,Low,0.9785
RSK000258,CUS-000258,0.5509,0.4247,0.5284,0.5144,Medium,0.9165
RSK000259,CUS-000259,0.2937,0.273,0.3783,0.3319,Low,0.7741
RSK000260,CUS-000260,0.6438,0.2041,0.015,0.2415,Low,0.8379
RSK000261,CUS-000261,0.3083,0.4011,0.5251,0.4353,Medium,0.8061
RSK000262,CUS-000262,0.5378,0.3173,0.2101,0.3299,Low,0.983
RSK000263,CUS-000263,0.8294,0.1699,0.4479,0.5068,Medium,0.942
RSK000264,CUS-000264,0.2204,0.4692,0.7116,0.5158,Medium,0.8639
RSK000265,CUS-000265,0.397,0.382,0.4646,0.4278,Medium,0.8116
RSK000266,CUS-000266,0.4343,0.1663,0.6186,0.4729,Medium,0.7447
RSK000267,CUS-000267,0.2865,0.4093,0.329,0.3323,Low,0.7254
RSK000268,CUS-000268,0.315,0.3118,0.4961,0.4049,Medium,0.956
RSK000269,CUS-000269,0.3175,0.4917,0.01,0.1986,Low,0.7784
RSK000270,CUS-000270,0.3851,0.1765,0.1965,0.2491,Low,0.9483
RSK000271,CUS-000271,0.7589,0.2433,0.0533,0.303,Low,0.7287
RSK000272,CUS-000272,0.3195,0.2012,0.2128,0.2425,Low,0.9829
RSK000273,CUS-000273,0.2024,0.4021,0.172,0.2271,Low,0.7622
RSK000274,CUS-000274,0.3817,0.2715,0.01,0.1738,Low,0.939
RSK000275,CUS-000275,0.5524,0.4342,0.162,0.3336,Low,0.7053
RSK000276,CUS-000276,0.1257,0.1182,0.2476,0.1851,Low,0.7999
RSK000277,CUS-000277,0.683,0.3268,0.7256,0.6331,Medium,0.757
RSK000278,CUS-000278,0.846,0.1587,0.3131,0.4421,Medium,0.9008
RSK000279,CUS-000279,0.3894,0.1683,0.0712,0.1861,Low,0.9514
RSK000280,CUS-000280,0.7782,0.2507,0.5696,0.5684,Medium,0.8664
RSK000281,CUS-000281,0.6682,0.3712,0.7309,0.6401,Medium,0.8025
RSK000282,CUS-000282,0.469,0.289,0.1003,0.2486,Low,0.7988
RSK000283,CUS-000283,0.5314,0.3042,0.0756,0.2581,Low,0.7462
RSK000284,CUS-000284,0.8397,0.4266,0.5368,0.6056,Medium,0.7871
RSK000285,CUS-000285,0.1817,0.2881,0.3694,0.2968,Low,0.8538
RSK000286,CUS-000286,0.6627,0.2196,0.6173,0.5514,Medium,0.9199
RSK000287,CUS-000287,0.7434,0.3148,0.6444,0.6082,Medium,0.9633
RSK000288,CUS-000288,0.5494,0.3641,0.7709,0.6231,Medium,0.9417
RSK000289,CUS-000289,0.3311,0.255,0.2774,0.289,Low,0.8818
RSK000290,CUS-000290,0.2495,0.2405,0.4495,0.3477,Low,0.8661
RSK000291,CUS-000291,0.3688,0.1268,0.1915,0.2318,Low,0.8223
RSK000292,CUS-000292,0.4448,0.2223,0.5818,0.4688,Medium,0.806
RSK000293,CUS-000293,0.1648,0.2266,0.5468,0.3682,Low,0.9802
RSK000294,CUS-000294,0.3851,0.3327,0.726,0.5451,Medium,0.7289
RSK000295,CUS-000295,0.2854,0.3167,0.555,0.4265,Medium,0.7637
RSK000296,CUS-000296,0.1684,0.1866,0.3608,0.2682,Low,0.9449
RSK000297,CUS-000297,0.4891,0.1839,0.2105,0.2888,Low,0.7577
RSK000298,CUS-000298,0.657,0.1956,0.0998,0.2861,Low,0.7344
RSK000299,CUS-000299,0.4105,0.211,0.01,0.1704,Low,0.8654
RSK000300,CUS-000300,0.78,0.3413,0.5618,0.5832,Medium,0.7422
RSK000301,CUS-000301,0.4464,0.3586,0.1603,0.2858,Low,0.7789
RSK000302,CUS-000302,0.8503,0.3117,0.5395,0.5872,Medium,0.7029
RSK000303,CUS-000303,0.3713,0.2745,0.509,0.4208,Medium,0.8835
RSK000304,CUS-000304,0.5061,0.2262,0.6576,0.5259,Medium,0.9874
RSK000305,CUS-000305,0.8172,0.4344,0.5288,0.5964,Medium,0.7136
RSK000306,CUS-000306,0.1275,0.2657,0.01,0.0964,Low,0.7564
RSK000307,CUS-000307,0.2987,0.3739,0.6102,0.4695,Medium,0.7542
RSK000308,CUS-000308,0.4459,0.3567,0.4628,0.4365,Medium,0.9811
RSK000309,CUS-000309,0.7802,0.4729,0.6736,0.6654,Medium,0.8744
RSK000310,CUS-000310,0.2396,0.2412,0.7656,0.5029,Medium,0.8089
RSK000311,CUS-000311,0.7417,0.3879,0.5002,0.5502,Medium,0.7064
RSK000312,CUS-000312,0.4557,0.478,0.3976,0.4311,Medium,0.9389
RSK000313,CUS-000313,0.6219,0.4646,0.202,0.3805,Low,0.81
RSK000314,CUS-000314,0.5561,0.3594,0.0921,0.2848,Low,0.8966
RSK000315,CUS-000315,0.3099,0.3816,0.0409,0.1897,Low,0.7514
RSK000316,CUS-000316,0.2128,0.3715,0.3326,0.3044,Low,0.9168
RSK000317,CUS-000317,0.1791,0.2734,0.6533,0.4351,Medium,0.7366
RSK000318,CUS-000318,0.6467,0.2122,0.4966,0.4848,Medium,0.8954
RSK000319,CUS-000319,0.3633,0.3286,0.0273,0.1884,Low,0.7712
RSK000320,CUS-000320,0.4675,0.3718,0.3452,0.3872,Low,0.889
RSK000321,CUS-000321,0.8148,0.4756,0.7058,0.6925,Medium,0.9263
RSK000322,CUS-000322,0.2982,0.2537,0.0242,0.1523,Low,0.716
RSK000323,CUS-000323,0.7592,0.322,0.2489,0.4166,Medium,0.7856
RSK000324,CUS-000324,0.6336,0.2788,0.6147,0.5532,Medium,0.9709
RSK000325,CUS-000325,0.2052,0.3705,0.0371,0.1542,Low,0.7669
RSK000326,CUS-000326,0.2839,0.2915,0.1854,0.2362,Low,0.8178
RSK000327,CUS-000327,0.8167,0.3608,0.01,0.3222,Low,0.9139
RSK000328,CUS-000328,0.5708,0.3149,0.8236,0.646,Medium,0.9279
RSK000329,CUS-000329,0.2861,0.4224,0.4267,0.3837,Low,0.752
RSK000330,CUS-000330,0.3686,0.312,0.2376,0.2918,Low,0.8909
RSK000331,CUS-000331,0.3885,0.449,0.7352,0.5739,Medium,0.9542
RSK000332,CUS-000332,0.687,0.2464,0.2705,0.3906,Low,0.8173
RSK000333,CUS-000333,0.6792,0.3204,0.4446,0.4901,Medium,0.9234
RSK000334,CUS-000334,0.4285,0.2119,0.5494,0.4456,Medium,0.8768
RSK000335,CUS-000335,0.5524,0.3776,0.2424,0.3624,Low,0.9226
RSK000336,CUS-000336,0.8612,0.3549,0.0545,0.3566,Low,0.9284
RSK000337,CUS-000337,0.1572,0.3905,0.1813,0.2159,Low,0.8482
RSK000338,CUS-000338,0.3498,0.214,0.2336,0.2645,Low,0.9119
RSK000339,CUS-000339,0.4072,0.4084,0.6215,0.5146,Medium,0.7414
