operation_id,warehouse_id,processing_time,downtime_minutes,incident_count,utilization,labor_hours,shipment_delay_days,efficiency_score,operation_date
OPS000057,W04,4.28,62,2,0.6978,194,3,0.738,2026-07-21
OPS000058,W03,3.79,52,1,0.8258,233,3,0.848,2026-07-21
OPS000059,W02,6.04,50,1,0.654,268,4,0.85,2026-07-21
OPS000060,W01,3.6,49,2,0.7425,170,3,0.751,2026-07-21
OPS000061,W04,6.03,62,2,0.8112,319,3,0.738,2026-07-22
OPS000062,W03,5.05,50,2,0.6579,325,3,0.75,2026-07-22
OPS000063,W02,5.01,54,1,0.9301,408,4,0.846,2026-07-22
OPS000064,W01,4.37,63,1,0.8754,237,3,0.837,2026-07-22
OPS000065,W04,2.93,43,2,0.7395,177,4,0.757,2026-07-23
OPS000066,W03,3.97,57,2,0.9096,479,3,0.743,2026-07-23
OPS000067,W02,4.89,49,2,0.8942,273,3,0.751,2026-07-23
OPS000068,W01,4.06,56,1,0.7173,270,4,0.844,2026-07-23
OPS000069,W04,6.13,57,2,0.7336,343,4,0.743,2026-07-24
OPS000070,W03,4.24,49,2,0.6494,474,3,0.751,2026-07-24
OPS000071,W02,5.46,39,1,0.6063,130,4,0.861,2026-07-24
OPS000072,W01,4.18,36,2,0.7178,283,3,0.764,2026-07-24
OPS000073,W04,5.47,58,1,0.94,119,4,0.842,2026-07-25
OPS000074,W03,3.24,41,2,0.7375,345,3,0.759,2026-07-25
OPS000075,W02,4.74,44,2,0.8079,315,4,0.756,2026-07-25
OPS000076,W01,3.19,57,2,0.8835,111,3,0.743,2026-07-25
OPS000077,W04,5.16,35,2,0.6151,295,4,0.765,2026-07-26
OPS000078,W03,5.0,41,2,0.8492,108,3,0.759,2026-07-26
OPS000079,W02,5.76,47,2,0.7836,136,4,0.753,2026-07-26
OPS000080,W01,4.67,52,1,0.7109,248,3,0.848,2026-07-26
OPS000081,W04,3.2,59,1,0.6296,105,3,0.841,2026-07-27
OPS000082,W03,4.11,39,1,0.8079,370,3,0.861,2026-07-27
OPS000083,W02,3.82,49,1,0.7553,347,4,0.851,2026-07-27
OPS000084,W01,5.83,53,1,0.6531,151,4,0.847,2026-07-27
OPS000085,W04,3.15,56,2,0.6878,490,3,0.744,2026-07-28
OPS000086,W03,5.3,42,1,0.8323,151,3,0.858,2026-07-28
OPS000087,W02,5.86,48,1,0.8375,256,3,0.852,2026-07-28
OPS000088,W01,4.05,55,1,0.703,215,4,0.845,2026-07-28
OPS000089,W04,3.32,38,1,0.8452,425,4,0.862,2026-07-29
OPS000090,W03,3.26,58,1,0.7114,478,4,0.842,2026-07-29
OPS000091,W02,6.28,36,1,0.8226,342,3,0.864,2026-07-29
OPS000092,W01,3.06,56,1,0.8934,289,3,0.844,2026-07-29
OPS000093,W04,3.58,59,2,0.9251,217,3,0.741,2026-07-30
OPS000094,W03,5.54,65,1,0.7027,260,4,0.835,2026-07-30
OPS000095,W02,2.92,59,2,0.6404,237,4,0.741,2026-07-30
OPS000096,W01,4.56,57,2,0.7575,115,4,0.743,2026-07-30
OPS000097,W04,3.02,52,2,0.6508,297,4,0.748,2026-07-31
OPS000098,W03,6.17,36,2,0.843,144,3,0.764,2026-07-31
OPS000099,W02,6.66,60,1,0.8874,283,3,0.84,2026-07-31
OPS000100,W01,2.8,45,2,0.734,173,4,0.755,2026-07-31
OPS000101,W04,3.86,38,1,0.6882,438,4,0.862,2026-08-01
OPS000102,W03,6.54,49,1,0.8667,149,3,0.851,2026-08-01
OPS000103,W02,6.71,63,1,0.7302,498,3,0.837,2026-08-01
OPS000104,W01,6.7,62,2,0.8204,400,3,0.738,2026-08-01
OPS000105,W04,5.01,62,2,0.8916,406,4,0.738,2026-08-02
OPS000106,W03,4.09,38,1,0.6506,356,4,0.862,2026-08-02
OPS000107,W02,2.87,59,1,0.6769,286,4,0.841,2026-08-02
OPS000108,W01,4.16,51,1,0.6281,450,4,0.849,2026-08-02
OPS000109,W04,3.84,43,2,0.8845,457,4,0.757,2026-08-03
OPS000110,W03,3.13,61,2,0.7564,412,3,0.739,2026-08-03
OPS000111,W02,5.81,39,2,0.9248,236,3,0.761,2026-08-03
OPS000112,W01,4.56,57,1,0.9245,382,3,0.843,2026-08-03
OPS000113,W04,4.58,64,1,0.9446,429,4,0.836,2026-08-04
OPS000114,W03,5.28,58,1,0.9323,411,4,0.842,2026-08-04
OPS000115,W02,3.51,57,1,0.6056,255,4,0.843,2026-08-04
OPS000116,W01,4.24,48,2,0.6941,476,4,0.752,2026-08-04
OPS000117,W04,4.79,57,2,0.8688,303,4,0.743,2026-08-05
OPS000118,W03,5.78,61,2,0.621,279,3,0.739,2026-08-05
OPS000119,W02,3.49,52,1,0.8877,205,3,0.848,2026-08-05
OPS000120,W01,5.55,35,2,0.6731,280,3,0.765,2026-08-05
