date,year,quarter,month,week,weekday,weekend,holiday_flag,festival,financial_quarter
2023-03-20,2023,1,3,12,0,False,False,None,1
2023-03-21,2023,1,3,12,1,False,False,None,1
2023-03-22,2023,1,3,12,2,False,False,None,1
2023-03-23,2023,1,3,12,3,False,False,Christmas,1
2023-03-24,2023,1,3,12,4,False,False,None,1
2023-03-25,2023,1,3,12,5,True,True,None,1
2023-03-26,2023,1,3,12,6,True,False,None,1
2023-03-27,2023,1,3,13,0,False,False,None,1
2023-03-28,2023,1,3,13,1,False,False,None,1
2023-03-29,2023,1,3,13,2,False,False,None,1
2023-03-30,2023,1,3,13,3,False,False,None,1
2023-03-31,2023,1,3,13,4,False,True,None,1
2023-04-01,2023,2,4,13,5,True,False,None,2
2023-04-02,2023,2,4,13,6,True,False,None,2
2023-04-03,2023,2,4,14,0,False,False,None,2
2023-04-04,2023,2,4,14,1,False,False,None,2
2023-04-05,2023,2,4,14,2,False,False,None,2
2023-04-06,2023,2,4,14,3,False,False,None,2
2023-04-07,2023,2,4,14,4,False,False,None,2
2023-04-08,2023,2,4,14,5,True,False,None,2
2023-04-09,2023,2,4,14,6,True,False,None,2
2023-04-10,2023,2,4,15,0,False,False,None,2
2023-04-11,2023,2,4,15,1,False,False,None,2
2023-04-12,2023,2,4,15,2,False,False,None,2
2023-04-13,2023,2,4,15,3,False,False,None,2
2023-04-14,2023,2,4,15,4,False,False,None,2
2023-04-15,2023,2,4,15,5,True,False,None,2
2023-04-16,2023,2,4,15,6,True,False,None,2
2023-04-17,2023,2,4,16,0,False,False,None,2
2023-04-18,2023,2,4,16,1,False,False,None,2
2023-04-19,2023,2,4,16,2,False,False,None,2
2023-04-20,2023,2,4,16,3,False,False,None,2
2023-04-21,2023,2,4,16,4,False,False,None,2
2023-04-22,2023,2,4,16,5,True,False,None,2
2023-04-23,2023,2,4,16,6,True,False,None,2
2023-04-24,2023,2,4,17,0,False,False,None,2
2023-04-25,2023,2,4,17,1,False,False,None,2
2023-04-26,2023,2,4,17,2,False,False,Carnival,2
2023-04-27,2023,2,4,17,3,False,False,None,2
2023-04-28,2023,2,4,17,4,False,False,None,2
2023-04-29,2023,2,4,17,5,True,False,Carnival,2
2023-04-30,2023,2,4,17,6,True,False,None,2
2023-05-01,2023,2,5,18,0,False,True,None,2
2023-05-02,2023,2,5,18,1,False,False,None,2
2023-05-03,2023,2,5,18,2,False,False,None,2
2023-05-04,2023,2,5,18,3,False,False,None,2
2023-05-05,2023,2,5,18,4,False,False,None,2
2023-05-06,2023,2,5,18,5,True,False,None,2
2023-05-07,2023,2,5,18,6,True,False,None,2
2023-05-08,2023,2,5,19,0,False,False,None,2
2023-05-09,2023,2,5,19,1,False,False,None,2
2023-05-10,2023,2,5,19,2,False,False,Black Friday,2
2023-05-11,2023,2,5,19,3,False,False,None,2
2023-05-12,2023,2,5,19,4,False,True,None,2
2023-05-13,2023,2,5,19,5,True,False,None,2
2023-05-14,2023,2,5,19,6,True,False,None,2
2023-05-15,2023,2,5,20,0,False,False,None,2
2023-05-16,2023,2,5,20,1,False,False,None,2
2023-05-17,2023,2,5,20,2,False,False,None,2
2023-05-18,2023,2,5,20,3,False,False,None,2
2023-05-19,2023,2,5,20,4,False,False,None,2
2023-05-20,2023,2,5,20,5,True,False,None,2
2023-05-21,2023,2,5,20,6,True,False,None,2
2023-05-22,2023,2,5,21,0,False,False,None,2
2023-05-23,2023,2,5,21,1,False,False,None,2
2023-05-24,2023,2,5,21,2,False,False,None,2
2023-05-25,2023,2,5,21,3,False,False,None,2
2023-05-26,2023,2,5,21,4,False,True,None,2
2023-05-27,2023,2,5,21,5,True,False,None,2
2023-05-28,2023,2,5,21,6,True,True,Carnival,2
2023-05-29,2023,2,5,22,0,False,False,None,2
2023-05-30,2023,2,5,22,1,False,False,Carnival,2
2023-05-31,2023,2,5,22,2,False,True,Christmas,2
2023-06-01,2023,2,6,22,3,False,True,Black Friday,2
2023-06-02,2023,2,6,22,4,False,False,None,2
2023-06-03,2023,2,6,22,5,True,False,None,2
2023-06-04,2023,2,6,22,6,True,False,None,2
2023-06-05,2023,2,6,23,0,False,False,None,2
2023-06-06,2023,2,6,23,1,False,False,Christmas,2
2023-06-07,2023,2,6,23,2,False,False,None,2
2023-06-08,2023,2,6,23,3,False,False,None,2
2023-06-09,2023,2,6,23,4,False,False,None,2
2023-06-10,2023,2,6,23,5,True,False,None,2
2023-06-11,2023,2,6,23,6,True,False,None,2
2023-06-12,2023,2,6,24,0,False,False,None,2
2023-06-13,2023,2,6,24,1,False,False,None,2
2023-06-14,2023,2,6,24,2,False,False,None,2
2023-06-15,2023,2,6,24,3,False,False,None,2
2023-06-16,2023,2,6,24,4,False,False,None,2
2023-06-17,2023,2,6,24,5,True,True,None,2
2023-06-18,2023,2,6,24,6,True,False,None,2
2023-06-19,2023,2,6,25,0,False,False,None,2
2023-06-20,2023,2,6,25,1,False,False,None,2
2023-06-21,2023,2,6,25,2,False,False,None,2
2023-06-22,2023,2,6,25,3,False,False,None,2
2023-06-23,2023,2,6,25,4,False,False,Christmas,2
2023-06-24,2023,2,6,25,5,True,False,None,2
2023-06-25,2023,2,6,25,6,True,False,None,2
2023-06-26,2023,2,6,26,0,False,False,None,2
2023-06-27,2023,2,6,26,1,False,False,None,2
2023-06-28,2023,2,6,26,2,False,False,None,2
2023-06-29,2023,2,6,26,3,False,False,None,2
2023-06-30,2023,2,6,26,4,False,True,Black Friday,2
2023-07-01,2023,3,7,26,5,True,False,None,3
2023-07-02,2023,3,7,26,6,True,False,None,3
2023-07-03,2023,3,7,27,0,False,False,None,3
2023-07-04,2023,3,7,27,1,False,False,None,3
2023-07-05,2023,3,7,27,2,False,False,None,3
2023-07-06,2023,3,7,27,3,False,False,None,3
2023-07-07,2023,3,7,27,4,False,True,None,3
2023-07-08,2023,3,7,27,5,True,False,None,3
2023-07-09,2023,3,7,27,6,True,False,Christmas,3
2023-07-10,2023,3,7,28,0,False,False,None,3
2023-07-11,2023,3,7,28,1,False,False,None,3
2023-07-12,2023,3,7,28,2,False,False,None,3
2023-07-13,2023,3,7,28,3,False,True,None,3
2023-07-14,2023,3,7,28,4,False,False,None,3
2023-07-15,2023,3,7,28,5,True,False,None,3
2023-07-16,2023,3,7,28,6,True,True,None,3
2023-07-17,2023,3,7,29,0,False,True,None,3
2023-07-18,2023,3,7,29,1,False,False,None,3
2023-07-19,2023,3,7,29,2,False,False,None,3
2023-07-20,2023,3,7,29,3,False,False,Christmas,3
2023-07-21,2023,3,7,29,4,False,False,None,3
2023-07-22,2023,3,7,29,5,True,False,None,3
2023-07-23,2023,3,7,29,6,True,False,None,3
2023-07-24,2023,3,7,30,0,False,False,Black Friday,3
2023-07-25,2023,3,7,30,1,False,False,None,3
2023-07-26,2023,3,7,30,2,False,False,None,3
2023-07-27,2023,3,7,30,3,False,False,None,3
2023-07-28,2023,3,7,30,4,False,False,None,3
2023-07-29,2023,3,7,30,5,True,False,None,3
2023-07-30,2023,3,7,30,6,True,False,None,3
2023-07-31,2023,3,7,31,0,False,False,None,3
2023-08-01,2023,3,8,31,1,False,False,None,3
2023-08-02,2023,3,8,31,2,False,False,None,3
2023-08-03,2023,3,8,31,3,False,False,None,3
2023-08-04,2023,3,8,31,4,False,False,None,3
2023-08-05,2023,3,8,31,5,True,False,None,3
2023-08-06,2023,3,8,31,6,True,False,None,3
2023-08-07,2023,3,8,32,0,False,False,None,3
2023-08-08,2023,3,8,32,1,False,False,None,3
2023-08-09,2023,3,8,32,2,False,False,None,3
2023-08-10,2023,3,8,32,3,False,False,None,3
2023-08-11,2023,3,8,32,4,False,False,None,3
2023-08-12,2023,3,8,32,5,True,False,None,3
2023-08-13,2023,3,8,32,6,True,False,None,3
2023-08-14,2023,3,8,33,0,False,False,None,3
2023-08-15,2023,3,8,33,1,False,False,None,3
2023-08-16,2023,3,8,33,2,False,False,None,3
2023-08-17,2023,3,8,33,3,False,False,None,3
2023-08-18,2023,3,8,33,4,False,False,None,3
2023-08-19,2023,3,8,33,5,True,False,None,3
2023-08-20,2023,3,8,33,6,True,False,None,3
2023-08-21,2023,3,8,34,0,False,False,None,3
2023-08-22,2023,3,8,34,1,False,False,None,3
2023-08-23,2023,3,8,34,2,False,False,None,3
2023-08-24,2023,3,8,34,3,False,False,None,3
2023-08-25,2023,3,8,34,4,False,False,None,3
2023-08-26,2023,3,8,34,5,True,False,None,3
2023-08-27,2023,3,8,34,6,True,False,None,3
2023-08-28,2023,3,8,35,0,False,False,None,3
2023-08-29,2023,3,8,35,1,False,False,None,3
2023-08-30,2023,3,8,35,2,False,False,None,3
2023-08-31,2023,3,8,35,3,False,False,None,3
2023-09-01,2023,3,9,35,4,False,False,None,3
2023-09-02,2023,3,9,35,5,True,False,None,3
2023-09-03,2023,3,9,35,6,True,False,None,3
2023-09-04,2023,3,9,36,0,False,False,None,3
2023-09-05,2023,3,9,36,1,False,False,None,3
2023-09-06,2023,3,9,36,2,False,False,Carnival,3
2023-09-07,2023,3,9,36,3,False,False,None,3
2023-09-08,2023,3,9,36,4,False,False,None,3
2023-09-09,2023,3,9,36,5,True,False,None,3
2023-09-10,2023,3,9,36,6,True,False,None,3
2023-09-11,2023,3,9,37,0,False,False,None,3
2023-09-12,2023,3,9,37,1,False,False,None,3
2023-09-13,2023,3,9,37,2,False,False,None,3
2023-09-14,2023,3,9,37,3,False,False,None,3
2023-09-15,2023,3,9,37,4,False,False,None,3
2023-09-16,2023,3,9,37,5,True,False,None,3
2023-09-17,2023,3,9,37,6,True,False,None,3
2023-09-18,2023,3,9,38,0,False,True,None,3
2023-09-19,2023,3,9,38,1,False,False,None,3
2023-09-20,2023,3,9,38,2,False,False,None,3
2023-09-21,2023,3,9,38,3,False,False,None,3
2023-09-22,2023,3,9,38,4,False,False,None,3
2023-09-23,2023,3,9,38,5,True,False,None,3
2023-09-24,2023,3,9,38,6,True,False,None,3
2023-09-25,2023,3,9,39,0,False,False,None,3
2023-09-26,2023,3,9,39,1,False,False,None,3
2023-09-27,2023,3,9,39,2,False,False,None,3
2023-09-28,2023,3,9,39,3,False,False,None,3
2023-09-29,2023,3,9,39,4,False,False,None,3
2023-09-30,2023,3,9,39,5,True,False,None,3
2023-10-01,2023,4,10,39,6,True,False,None,4
2023-10-02,2023,4,10,40,0,False,False,Christmas,4
2023-10-03,2023,4,10,40,1,False,False,None,4
2023-10-04,2023,4,10,40,2,False,False,Christmas,4
2023-10-05,2023,4,10,40,3,False,False,None,4
2023-10-06,2023,4,10,40,4,False,False,Carnival,4
2023-10-07,2023,4,10,40,5,True,False,Christmas,4
2023-10-08,2023,4,10,40,6,True,False,None,4
2023-10-09,2023,4,10,41,0,False,False,None,4
2023-10-10,2023,4,10,41,1,False,False,None,4
2023-10-11,2023,4,10,41,2,False,False,None,4
2023-10-12,2023,4,10,41,3,False,False,None,4
2023-10-13,2023,4,10,41,4,False,True,None,4
2023-10-14,2023,4,10,41,5,True,False,None,4
2023-10-15,2023,4,10,41,6,True,False,None,4
2023-10-16,2023,4,10,42,0,False,False,None,4
2023-10-17,2023,4,10,42,1,False,False,None,4
2023-10-18,2023,4,10,42,2,False,False,None,4
2023-10-19,2023,4,10,42,3,False,False,None,4
2023-10-20,2023,4,10,42,4,False,False,None,4
2023-10-21,2023,4,10,42,5,True,False,Carnival,4
2023-10-22,2023,4,10,42,6,True,False,Carnival,4
2023-10-23,2023,4,10,43,0,False,False,None,4
2023-10-24,2023,4,10,43,1,False,False,None,4
2023-10-25,2023,4,10,43,2,False,False,None,4
2023-10-26,2023,4,10,43,3,False,False,None,4
2023-10-27,2023,4,10,43,4,False,False,None,4
2023-10-28,2023,4,10,43,5,True,False,Carnival,4
2023-10-29,2023,4,10,43,6,True,False,None,4
2023-10-30,2023,4,10,44,0,False,False,None,4
2023-10-31,2023,4,10,44,1,False,False,None,4
2023-11-01,2023,4,11,44,2,False,False,Christmas,4
2023-11-02,2023,4,11,44,3,False,False,Christmas,4
2023-11-03,2023,4,11,44,4,False,False,None,4
2023-11-04,2023,4,11,44,5,True,False,None,4
2023-11-05,2023,4,11,44,6,True,False,None,4
2023-11-06,2023,4,11,45,0,False,False,None,4
2023-11-07,2023,4,11,45,1,False,False,None,4
2023-11-08,2023,4,11,45,2,False,False,None,4
2023-11-09,2023,4,11,45,3,False,False,None,4
2023-11-10,2023,4,11,45,4,False,False,None,4
2023-11-11,2023,4,11,45,5,True,False,None,4
2023-11-12,2023,4,11,45,6,True,False,Christmas,4
2023-11-13,2023,4,11,46,0,False,False,Christmas,4
2023-11-14,2023,4,11,46,1,False,False,None,4
2023-11-15,2023,4,11,46,2,False,False,None,4
2023-11-16,2023,4,11,46,3,False,False,None,4
2023-11-17,2023,4,11,46,4,False,False,None,4
2023-11-18,2023,4,11,46,5,True,False,None,4
2023-11-19,2023,4,11,46,6,True,False,None,4
2023-11-20,2023,4,11,47,0,False,True,None,4
2023-11-21,2023,4,11,47,1,False,False,None,4
2023-11-22,2023,4,11,47,2,False,False,Christmas,4
2023-11-23,2023,4,11,47,3,False,False,None,4
2023-11-24,2023,4,11,47,4,False,False,None,4
2023-11-25,2023,4,11,47,5,True,False,None,4
2023-11-26,2023,4,11,47,6,True,False,None,4
2023-11-27,2023,4,11,48,0,False,False,None,4
2023-11-28,2023,4,11,48,1,False,False,None,4
2023-11-29,2023,4,11,48,2,False,False,None,4
2023-11-30,2023,4,11,48,3,False,False,None,4
2023-12-01,2023,4,12,48,4,False,False,None,4
2023-12-02,2023,4,12,48,5,True,False,None,4
2023-12-03,2023,4,12,48,6,True,False,None,4
2023-12-04,2023,4,12,49,0,False,False,None,4
2023-12-05,2023,4,12,49,1,False,False,None,4
2023-12-06,2023,4,12,49,2,False,False,None,4
2023-12-07,2023,4,12,49,3,False,False,None,4
2023-12-08,2023,4,12,49,4,False,False,None,4
2023-12-09,2023,4,12,49,5,True,False,None,4
2023-12-10,2023,4,12,49,6,True,False,None,4
2023-12-11,2023,4,12,50,0,False,False,None,4
2023-12-12,2023,4,12,50,1,False,False,None,4
2023-12-13,2023,4,12,50,2,False,False,None,4
2023-12-14,2023,4,12,50,3,False,False,None,4
2023-12-15,2023,4,12,50,4,False,False,None,4
2023-12-16,2023,4,12,50,5,True,False,None,4
2023-12-17,2023,4,12,50,6,True,False,Carnival,4
2023-12-18,2023,4,12,51,0,False,False,None,4
2023-12-19,2023,4,12,51,1,False,False,None,4
2023-12-20,2023,4,12,51,2,False,False,None,4
2023-12-21,2023,4,12,51,3,False,False,None,4
2023-12-22,2023,4,12,51,4,False,False,None,4
2023-12-23,2023,4,12,51,5,True,False,None,4
2023-12-24,2023,4,12,51,6,True,False,None,4
2023-12-25,2023,4,12,52,0,False,False,None,4
2023-12-26,2023,4,12,52,1,False,False,None,4
2023-12-27,2023,4,12,52,2,False,False,None,4
2023-12-28,2023,4,12,52,3,False,False,None,4
2023-12-29,2023,4,12,52,4,False,False,None,4
2023-12-30,2023,4,12,52,5,True,False,None,4
2023-12-31,2023,4,12,52,6,True,False,None,4
2024-01-01,2024,1,1,1,0,False,False,None,1
2024-01-02,2024,1,1,1,1,False,False,None,1
2024-01-03,2024,1,1,1,2,False,False,Black Friday,1
2024-01-04,2024,1,1,1,3,False,False,None,1
2024-01-05,2024,1,1,1,4,False,False,None,1
2024-01-06,2024,1,1,1,5,True,False,None,1
2024-01-07,2024,1,1,1,6,True,False,None,1
2024-01-08,2024,1,1,2,0,False,False,None,1
2024-01-09,2024,1,1,2,1,False,False,None,1
2024-01-10,2024,1,1,2,2,False,False,None,1
2024-01-11,2024,1,1,2,3,False,False,Black Friday,1
2024-01-12,2024,1,1,2,4,False,False,None,1
2024-01-13,2024,1,1,2,5,True,False,None,1
2024-01-14,2024,1,1,2,6,True,False,None,1
2024-01-15,2024,1,1,3,0,False,False,None,1
2024-01-16,2024,1,1,3,1,False,False,None,1
2024-01-17,2024,1,1,3,2,False,False,None,1
2024-01-18,2024,1,1,3,3,False,True,None,1
2024-01-19,2024,1,1,3,4,False,False,None,1
2024-01-20,2024,1,1,3,5,True,False,None,1
2024-01-21,2024,1,1,3,6,True,False,None,1
2024-01-22,2024,1,1,4,0,False,False,None,1
2024-01-23,2024,1,1,4,1,False,False,None,1
2024-01-24,2024,1,1,4,2,False,False,None,1
2024-01-25,2024,1,1,4,3,False,False,None,1
2024-01-26,2024,1,1,4,4,False,False,None,1
2024-01-27,2024,1,1,4,5,True,False,None,1
2024-01-28,2024,1,1,4,6,True,False,None,1
2024-01-29,2024,1,1,5,0,False,True,None,1
2024-01-30,2024,1,1,5,1,False,False,None,1
2024-01-31,2024,1,1,5,2,False,False,None,1
2024-02-01,2024,1,2,5,3,False,False,None,1
2024-02-02,2024,1,2,5,4,False,False,None,1
2024-02-03,2024,1,2,5,5,True,False,None,1
2024-02-04,2024,1,2,5,6,True,False,None,1
2024-02-05,2024,1,2,6,0,False,False,None,1
2024-02-06,2024,1,2,6,1,False,False,None,1
2024-02-07,2024,1,2,6,2,False,False,None,1
2024-02-08,2024,1,2,6,3,False,False,Carnival,1
2024-02-09,2024,1,2,6,4,False,False,None,1
2024-02-10,2024,1,2,6,5,True,False,None,1
2024-02-11,2024,1,2,6,6,True,False,None,1
2024-02-12,2024,1,2,7,0,False,True,None,1
2024-02-13,2024,1,2,7,1,False,False,None,1
2024-02-14,2024,1,2,7,2,False,False,None,1
2024-02-15,2024,1,2,7,3,False,True,None,1
2024-02-16,2024,1,2,7,4,False,False,None,1
2024-02-17,2024,1,2,7,5,True,False,None,1
2024-02-18,2024,1,2,7,6,True,False,None,1
2024-02-19,2024,1,2,8,0,False,False,None,1
2024-02-20,2024,1,2,8,1,False,False,None,1
2024-02-21,2024,1,2,8,2,False,True,None,1
2024-02-22,2024,1,2,8,3,False,False,None,1
2024-02-23,2024,1,2,8,4,False,False,None,1
2024-02-24,2024,1,2,8,5,True,True,None,1
2024-02-25,2024,1,2,8,6,True,False,Carnival,1
2024-02-26,2024,1,2,9,0,False,False,None,1
2024-02-27,2024,1,2,9,1,False,False,None,1
2024-02-28,2024,1,2,9,2,False,False,None,1
2024-02-29,2024,1,2,9,3,False,True,None,1
2024-03-01,2024,1,3,9,4,False,False,None,1
2024-03-02,2024,1,3,9,5,True,False,None,1
2024-03-03,2024,1,3,9,6,True,False,None,1
2024-03-04,2024,1,3,10,0,False,False,None,1
2024-03-05,2024,1,3,10,1,False,False,None,1
2024-03-06,2024,1,3,10,2,False,False,None,1
2024-03-07,2024,1,3,10,3,False,False,None,1
2024-03-08,2024,1,3,10,4,False,False,None,1
2024-03-09,2024,1,3,10,5,True,False,None,1
2024-03-10,2024,1,3,10,6,True,False,None,1
2024-03-11,2024,1,3,11,0,False,False,None,1
2024-03-12,2024,1,3,11,1,False,False,None,1
2024-03-13,2024,1,3,11,2,False,False,None,1
2024-03-14,2024,1,3,11,3,False,False,None,1
2024-03-15,2024,1,3,11,4,False,False,Carnival,1
2024-03-16,2024,1,3,11,5,True,False,Carnival,1
2024-03-17,2024,1,3,11,6,True,True,None,1
2024-03-18,2024,1,3,12,0,False,False,None,1
2024-03-19,2024,1,3,12,1,False,False,None,1
2024-03-20,2024,1,3,12,2,False,False,None,1
2024-03-21,2024,1,3,12,3,False,False,None,1
2024-03-22,2024,1,3,12,4,False,False,None,1
2024-03-23,2024,1,3,12,5,True,False,None,1
2024-03-24,2024,1,3,12,6,True,False,None,1
2024-03-25,2024,1,3,13,0,False,False,None,1
2024-03-26,2024,1,3,13,1,False,False,None,1
2024-03-27,2024,1,3,13,2,False,False,None,1
2024-03-28,2024,1,3,13,3,False,True,None,1
2024-03-29,2024,1,3,13,4,False,False,None,1
2024-03-30,2024,1,3,13,5,True,False,None,1
2024-03-31,2024,1,3,13,6,True,False,None,1
2024-04-01,2024,2,4,14,0,False,False,None,2
2024-04-02,2024,2,4,14,1,False,False,None,2
2024-04-03,2024,2,4,14,2,False,False,None,2
2024-04-04,2024,2,4,14,3,False,False,None,2
2024-04-05,2024,2,4,14,4,False,False,None,2
2024-04-06,2024,2,4,14,5,True,False,None,2
2024-04-07,2024,2,4,14,6,True,False,None,2
2024-04-08,2024,2,4,15,0,False,False,None,2
2024-04-09,2024,2,4,15,1,False,False,None,2
2024-04-10,2024,2,4,15,2,False,False,None,2
2024-04-11,2024,2,4,15,3,False,False,None,2
2024-04-12,2024,2,4,15,4,False,False,None,2
2024-04-13,2024,2,4,15,5,True,False,None,2
2024-04-14,2024,2,4,15,6,True,False,None,2
2024-04-15,2024,2,4,16,0,False,False,None,2
2024-04-16,2024,2,4,16,1,False,False,None,2
2024-04-17,2024,2,4,16,2,False,False,None,2
2024-04-18,2024,2,4,16,3,False,False,None,2
2024-04-19,2024,2,4,16,4,False,False,None,2
2024-04-20,2024,2,4,16,5,True,False,None,2
2024-04-21,2024,2,4,16,6,True,True,Carnival,2
2024-04-22,2024,2,4,17,0,False,False,None,2
2024-04-23,2024,2,4,17,1,False,False,None,2
2024-04-24,2024,2,4,17,2,False,False,None,2
2024-04-25,2024,2,4,17,3,False,False,None,2
2024-04-26,2024,2,4,17,4,False,False,Carnival,2
2024-04-27,2024,2,4,17,5,True,False,Carnival,2
2024-04-28,2024,2,4,17,6,True,False,None,2
2024-04-29,2024,2,4,18,0,False,False,None,2
2024-04-30,2024,2,4,18,1,False,False,None,2
2024-05-01,2024,2,5,18,2,False,False,None,2
2024-05-02,2024,2,5,18,3,False,False,None,2
2024-05-03,2024,2,5,18,4,False,False,None,2
2024-05-04,2024,2,5,18,5,True,False,None,2
2024-05-05,2024,2,5,18,6,True,False,None,2
2024-05-06,2024,2,5,19,0,False,False,None,2
2024-05-07,2024,2,5,19,1,False,False,None,2
2024-05-08,2024,2,5,19,2,False,False,None,2
2024-05-09,2024,2,5,19,3,False,False,None,2
2024-05-10,2024,2,5,19,4,False,True,None,2
2024-05-11,2024,2,5,19,5,True,False,Christmas,2
2024-05-12,2024,2,5,19,6,True,False,None,2
2024-05-13,2024,2,5,20,0,False,False,None,2
2024-05-14,2024,2,5,20,1,False,True,None,2
2024-05-15,2024,2,5,20,2,False,False,None,2
2024-05-16,2024,2,5,20,3,False,False,None,2
2024-05-17,2024,2,5,20,4,False,False,None,2
2024-05-18,2024,2,5,20,5,True,False,None,2
2024-05-19,2024,2,5,20,6,True,False,None,2
2024-05-20,2024,2,5,21,0,False,False,None,2
2024-05-21,2024,2,5,21,1,False,False,None,2
2024-05-22,2024,2,5,21,2,False,False,None,2
2024-05-23,2024,2,5,21,3,False,False,None,2
2024-05-24,2024,2,5,21,4,False,False,None,2
2024-05-25,2024,2,5,21,5,True,False,None,2
2024-05-26,2024,2,5,21,6,True,False,None,2
2024-05-27,2024,2,5,22,0,False,False,None,2
2024-05-28,2024,2,5,22,1,False,False,None,2
2024-05-29,2024,2,5,22,2,False,False,None,2
2024-05-30,2024,2,5,22,3,False,False,None,2
2024-05-31,2024,2,5,22,4,False,False,None,2
2024-06-01,2024,2,6,22,5,True,False,None,2
2024-06-02,2024,2,6,22,6,True,False,None,2
2024-06-03,2024,2,6,23,0,False,False,None,2
2024-06-04,2024,2,6,23,1,False,False,None,2
2024-06-05,2024,2,6,23,2,False,False,None,2
2024-06-06,2024,2,6,23,3,False,False,None,2
2024-06-07,2024,2,6,23,4,False,False,None,2
2024-06-08,2024,2,6,23,5,True,True,None,2
2024-06-09,2024,2,6,23,6,True,False,None,2
2024-06-10,2024,2,6,24,0,False,False,None,2
2024-06-11,2024,2,6,24,1,False,False,None,2
2024-06-12,2024,2,6,24,2,False,False,None,2
