inventory_id,product_id,warehouse_id,warehouse_name,current_stock,minimum_stock,maximum_stock,reorder_level,lead_time_days,stockout_risk,inventory_turnover,last_restock_date
INV000069,PRD-00069,W01,WH_SAO_PAULO,200,23,231,46,13,0.1379,2.27,2026-07-20
INV000070,PRD-00070,W04,WH_SAO_PAULO,166,22,225,45,8,0.2655,3.49,2026-07-21
INV000071,PRD-00071,W01,WH_RIO,334,43,437,87,12,0.2374,5.38,2026-07-18
INV000072,PRD-00072,W03,WH_SAO_PAULO,98,13,134,26,13,0.2741,1.88,2026-07-09
INV000073,PRD-00073,W01,WH_BAHIA,202,25,259,51,5,0.2231,3.28,2026-08-01
INV000074,PRD-00074,W02,WH_BAHIA,176,36,361,72,4,0.5138,5.09,2026-07-30
INV000075,PRD-00075,W04,WH_MINAS,266,34,349,69,6,0.24,3.63,2026-07-14
INV000076,PRD-00076,W02,WH_RIO,119,16,168,33,11,0.2959,2.14,2026-07-18
INV000077,PRD-00077,W04,WH_MINAS,316,55,559,111,3,0.4357,6.96,2026-07-13
INV000078,PRD-00078,W03,WH_MINAS,507,64,641,128,6,0.2103,8.03,2026-07-22
INV000079,PRD-00079,W04,WH_BAHIA,293,36,360,72,10,0.1884,4.57,2026-07-25
INV000080,PRD-00080,W03,WH_BAHIA,148,16,167,33,7,0.119,1.6,2026-07-24
INV000081,PRD-00081,W04,WH_BAHIA,111,14,146,29,12,0.2449,1.62,2026-07-08
INV000082,PRD-00082,W01,WH_RIO,182,22,227,45,2,0.2018,3.46,2026-08-02
INV000083,PRD-00083,W03,WH_BAHIA,200,42,426,85,7,0.5316,5.02,2026-07-13
INV000084,PRD-00084,W02,WH_BAHIA,149,21,219,43,13,0.3227,2.94,2026-07-08
INV000085,PRD-00085,W04,WH_BAHIA,185,20,207,41,8,0.1106,3.22,2026-07-15
INV000086,PRD-00086,W01,WH_SAO_PAULO,261,42,424,84,10,0.3859,4.71,2026-07-13
INV000087,PRD-00087,W03,WH_MINAS,175,31,319,63,12,0.4531,3.76,2026-07-23
INV000088,PRD-00088,W03,WH_MINAS,281,40,404,80,2,0.3062,5.14,2026-07-29
INV000089,PRD-00089,W01,WH_BAHIA,340,50,503,100,3,0.3254,5.45,2026-07-21
INV000090,PRD-00090,W02,WH_MINAS,117,28,284,56,3,0.5895,2.77,2026-07-09
INV000091,PRD-00091,W01,WH_SAO_PAULO,177,33,334,66,10,0.4716,4.51,2026-07-10
INV000092,PRD-00092,W01,WH_SAO_PAULO,180,27,275,55,2,0.3478,2.8,2026-07-31
INV000093,PRD-00093,W04,WH_SAO_PAULO,314,36,367,73,13,0.1467,4.48,2026-07-11
INV000094,PRD-00094,W01,WH_RIO,189,33,338,67,12,0.4425,3.79,2026-07-30
INV000095,PRD-00095,W03,WH_RIO,189,42,425,85,3,0.5563,5.82,2026-07-13
INV000096,PRD-00096,W01,WH_BAHIA,373,54,543,108,4,0.3143,6.76,2026-07-19
INV000097,PRD-00097,W04,WH_SAO_PAULO,281,48,485,97,4,0.4218,6.47,2026-08-01
INV000098,PRD-00098,W01,WH_BAHIA,105,19,196,39,12,0.467,2.54,2026-07-20
INV000099,PRD-00099,W03,WH_MINAS,215,30,308,61,4,0.3042,3.93,2026-07-14
INV000100,PRD-00100,W01,WH_RIO,227,26,266,53,4,0.1498,2.74,2026-07-20
INV000101,PRD-00101,W03,WH_RIO,163,32,327,65,3,0.503,3.88,2026-07-23
INV000102,PRD-00102,W02,WH_RIO,399,57,575,115,10,0.3073,6.33,2026-07-29
INV000103,PRD-00103,W02,WH_RIO,163,21,215,43,10,0.2454,2.21,2026-07-08
INV000104,PRD-00104,W01,WH_SAO_PAULO,110,27,271,54,5,0.5956,3.54,2026-07-27
INV000105,PRD-00105,W02,WH_BAHIA,188,34,340,68,2,0.4487,3.42,2026-08-02
INV000106,PRD-00106,W01,WH_MINAS,200,29,296,59,6,0.3266,3.71,2026-07-18
INV000107,PRD-00107,W01,WH_SAO_PAULO,214,25,254,50,5,0.1608,3.85,2026-07-26
INV000108,PRD-00108,W01,WH_BAHIA,202,40,402,80,4,0.4988,4.2,2026-07-22
INV000109,PRD-00109,W02,WH_SAO_PAULO,155,36,362,72,12,0.573,3.99,2026-07-07
INV000110,PRD-00110,W04,WH_BAHIA,114,27,278,55,13,0.5914,3.18,2026-07-08
INV000111,PRD-00111,W04,WH_MINAS,133,17,171,34,3,0.2267,2.38,2026-07-08
INV000112,PRD-00112,W04,WH_BAHIA,236,46,468,93,8,0.4968,5.04,2026-07-07
INV000113,PRD-00113,W03,WH_SAO_PAULO,146,26,265,53,8,0.4511,2.71,2026-07-18
INV000114,PRD-00114,W03,WH_SAO_PAULO,420,74,746,149,3,0.4378,9.7,2026-07-10
INV000115,PRD-00115,W02,WH_MINAS,414,60,603,120,7,0.3146,7.09,2026-08-02
INV000116,PRD-00116,W02,WH_BAHIA,311,50,508,101,6,0.389,5.75,2026-07-09
INV000117,PRD-00117,W02,WH_MINAS,192,47,478,95,9,0.5992,6.28,2026-07-21
INV000118,PRD-00118,W03,WH_MINAS,449,58,580,116,8,0.2272,6.48,2026-07-17
INV000119,PRD-00119,W03,WH_RIO,482,55,550,110,4,0.1252,7.08,2026-07-20
INV000120,PRD-00120,W04,WH_MINAS,266,41,414,82,9,0.359,4.4,2026-07-20
INV000121,PRD-00121,W02,WH_SAO_PAULO,357,44,445,89,8,0.1996,5.94,2026-08-03
INV000122,PRD-00122,W02,WH_BAHIA,342,63,638,127,3,0.4648,8.38,2026-07-07
INV000123,PRD-00123,W03,WH_SAO_PAULO,229,40,406,81,9,0.4373,4.52,2026-07-17
INV000124,PRD-00124,W04,WH_MINAS,135,24,245,49,12,0.4512,3.54,2026-07-22
INV000125,PRD-00125,W04,WH_SAO_PAULO,343,55,551,110,7,0.3786,6.92,2026-07-09
INV000126,PRD-00126,W04,WH_BAHIA,369,45,459,91,7,0.1978,6.11,2026-07-27
INV000127,PRD-00127,W01,WH_MINAS,143,16,161,32,9,0.1173,2.26,2026-08-01
INV000128,PRD-00128,W03,WH_RIO,236,33,332,66,9,0.2913,4.58,2026-08-04
INV000129,PRD-00129,W02,WH_MINAS,186,29,292,58,13,0.3652,3.1,2026-07-09
INV000130,PRD-00130,W01,WH_SAO_PAULO,506,61,619,123,3,0.1839,7.34,2026-07-31
INV000131,PRD-00131,W03,WH_SAO_PAULO,209,32,320,64,4,0.3489,4.33,2026-07-20
INV000132,PRD-00132,W04,WH_MINAS,193,23,237,47,4,0.1891,3.41,2026-07-20
INV000133,PRD-00133,W03,WH_MINAS,427,57,571,114,2,0.2535,6.62,2026-07-16
INV000134,PRD-00134,W02,WH_RIO,117,25,258,51,3,0.5483,2.48,2026-07-30
INV000135,PRD-00135,W02,WH_BAHIA,91,15,159,31,8,0.4313,1.62,2026-08-02
INV000136,PRD-00136,W01,WH_SAO_PAULO,314,44,440,88,3,0.288,5.75,2026-07-07
INV000137,PRD-00137,W02,WH_BAHIA,190,40,406,81,2,0.5332,4.51,2026-08-03
INV000138,PRD-00138,W04,WH_RIO,220,37,378,75,10,0.4195,4.1,2026-07-18
INV000139,PRD-00139,W01,WH_MINAS,265,42,428,85,10,0.3823,4.65,2026-07-28
INV000140,PRD-00140,W02,WH_SAO_PAULO,302,50,506,101,6,0.4043,6.37,2026-07-12
INV000141,PRD-00141,W04,WH_SAO_PAULO,281,42,423,84,6,0.3373,5.61,2026-07-31
INV000142,PRD-00142,W02,WH_BAHIA,227,28,281,56,2,0.195,2.88,2026-07-20
INV000143,PRD-00143,W02,WH_BAHIA,110,21,210,42,6,0.4787,2.82,2026-07-30
INV000144,PRD-00144,W01,WH_SAO_PAULO,90,16,162,32,6,0.4479,2.63,2026-07-20
INV000145,PRD-00145,W01,WH_BAHIA,287,48,489,97,10,0.4143,5.8,2026-07-11
INV000146,PRD-00146,W03,WH_BAHIA,144,32,320,64,7,0.5514,4.42,2026-07-14
INV000147,PRD-00147,W01,WH_RIO,219,27,270,54,12,0.1919,2.65,2026-07-18
INV000148,PRD-00148,W03,WH_SAO_PAULO,127,16,167,33,2,0.244,1.49,2026-08-01
INV000149,PRD-00149,W03,WH_MINAS,159,30,306,61,12,0.4821,3.91,2026-07-08
INV000150,PRD-00150,W03,WH_BAHIA,236,45,458,91,13,0.4858,6.3,2026-07-20
INV000151,PRD-00151,W02,WH_RIO,214,41,416,83,9,0.4868,4.36,2026-07-23
INV000152,PRD-00152,W02,WH_SAO_PAULO,103,23,236,47,2,0.5654,2.81,2026-07-29
INV000153,PRD-00153,W01,WH_MINAS,255,31,317,63,3,0.1981,4.4,2026-07-17
INV000154,PRD-00154,W02,WH_RIO,98,23,236,47,5,0.5865,3.62,2026-07-12
INV000155,PRD-00155,W03,WH_BAHIA,91,16,163,32,7,0.4451,1.64,2026-08-04
INV000156,PRD-00156,W01,WH_BAHIA,571,67,678,135,3,0.1591,7.59,2026-07-15
INV000157,PRD-00157,W01,WH_MINAS,178,26,267,53,13,0.3358,3.94,2026-07-12
INV000158,PRD-00158,W04,WH_BAHIA,473,58,585,117,9,0.1928,6.43,2026-07-28
INV000159,PRD-00159,W01,WH_SAO_PAULO,178,32,323,64,9,0.4506,3.98,2026-07-29
INV000160,PRD-00160,W03,WH_SAO_PAULO,233,47,473,94,8,0.5084,5.32,2026-07-07
INV000161,PRD-00161,W04,WH_RIO,407,48,486,97,4,0.1643,5.63,2026-08-03
INV000162,PRD-00162,W02,WH_BAHIA,320,39,391,78,3,0.1837,4.44,2026-07-19
INV000163,PRD-00163,W03,WH_SAO_PAULO,255,45,458,91,9,0.4444,4.99,2026-07-12
INV000164,PRD-00164,W01,WH_BAHIA,253,46,468,93,3,0.4606,6.29,2026-07-07
INV000165,PRD-00165,W01,WH_SAO_PAULO,224,53,533,106,7,0.5805,5.82,2026-07-17
INV000166,PRD-00166,W01,WH_SAO_PAULO,101,15,159,31,13,0.3688,1.87,2026-07-14
INV000167,PRD-00167,W04,WH_BAHIA,102,25,253,50,2,0.5984,3.6,2026-07-25
INV000168,PRD-00168,W03,WH_MINAS,321,79,790,158,8,0.5942,9.09,2026-07-29
INV000169,PRD-00169,W02,WH_RIO,97,14,149,29,5,0.3533,2.22,2026-07-20
INV000170,PRD-00170,W03,WH_RIO,136,28,285,57,11,0.5245,3.02,2026-07-19
INV000171,PRD-00171,W02,WH_RIO,241,37,371,74,10,0.3522,4.73,2026-07-14
INV000172,PRD-00172,W02,WH_RIO,193,42,421,84,4,0.5427,4.93,2026-07-23
INV000173,PRD-00173,W03,WH_RIO,286,58,582,116,8,0.5094,6.68,2026-07-09
INV000174,PRD-00174,W03,WH_BAHIA,241,41,419,83,8,0.4262,4.92,2026-07-11
INV000175,PRD-00175,W02,WH_MINAS,445,59,591,118,11,0.2483,6.56,2026-07-13
INV000176,PRD-00176,W04,WH_RIO,201,28,284,56,11,0.2947,3.86,2026-08-02
INV000177,PRD-00177,W02,WH_SAO_PAULO,63,12,129,25,10,0.5154,1.65,2026-07-29
INV000178,PRD-00178,W04,WH_MINAS,453,53,538,107,3,0.1596,7.15,2026-07-27
INV000179,PRD-00179,W02,WH_BAHIA,181,32,320,64,7,0.4361,3.68,2026-07-29
INV000180,PRD-00180,W02,WH_BAHIA,184,22,227,45,6,0.193,2.6,2026-07-19
INV000181,PRD-00181,W03,WH_MINAS,405,66,662,132,11,0.3891,8.09,2026-07-24
INV000182,PRD-00182,W01,WH_BAHIA,164,23,235,47,12,0.3051,3.19,2026-07-22
INV000183,PRD-00183,W02,WH_RIO,183,28,289,57,5,0.369,3.55,2026-07-23
INV000184,PRD-00184,W03,WH_BAHIA,216,37,378,75,7,0.4301,3.95,2026-07-10
INV000185,PRD-00185,W02,WH_SAO_PAULO,199,35,358,71,6,0.4457,4.14,2026-07-15
INV000186,PRD-00186,W01,WH_BAHIA,160,27,271,54,9,0.4118,2.87,2026-08-04
INV000187,PRD-00187,W01,WH_SAO_PAULO,217,49,490,98,3,0.558,5.78,2026-07-08
INV000188,PRD-00188,W01,WH_BAHIA,109,23,238,47,2,0.5439,2.33,2026-07-18
INV000189,PRD-00189,W04,WH_RIO,498,56,565,113,12,0.1201,6.45,2026-07-18
INV000190,PRD-00190,W04,WH_RIO,602,71,715,143,2,0.1592,8.18,2026-07-20
INV000191,PRD-00191,W01,WH_RIO,224,40,407,81,2,0.451,4.75,2026-07-19
INV000192,PRD-00192,W04,WH_RIO,188,41,411,82,12,0.5437,5.35,2026-07-12
INV000193,PRD-00193,W04,WH_SAO_PAULO,161,23,234,46,12,0.3149,2.81,2026-07-31
INV000194,PRD-00194,W02,WH_BAHIA,369,82,823,164,11,0.5522,9.82,2026-07-10
INV000195,PRD-00195,W01,WH_RIO,116,21,219,43,6,0.4727,2.21,2026-08-04
INV000196,PRD-00196,W01,WH_BAHIA,329,38,385,77,2,0.1477,4.57,2026-07-12
INV000197,PRD-00197,W03,WH_SAO_PAULO,350,61,614,122,8,0.4309,7.92,2026-07-28
INV000198,PRD-00198,W01,WH_RIO,204,25,256,51,8,0.2062,2.89,2026-08-01
INV000199,PRD-00199,W01,WH_RIO,288,36,360,72,2,0.2022,3.7,2026-07-26
INV000200,PRD-00200,W04,WH_RIO,103,23,239,47,9,0.5708,3.3,2026-07-08
INV000201,PRD-00201,W04,WH_BAHIA,346,48,488,97,8,0.2924,6.28,2026-07-25
INV000202,PRD-00202,W02,WH_MINAS,257,56,564,112,2,0.5451,7.19,2026-07-23
INV000203,PRD-00203,W03,WH_BAHIA,134,22,228,45,5,0.4148,3.11,2026-07-25
INV000204,PRD-00204,W04,WH_RIO,109,15,155,31,2,0.3013,2.51,2026-07-24
INV000205,PRD-00205,W02,WH_BAHIA,78,11,117,23,3,0.339,1.71,2026-07-15
INV000206,PRD-00206,W04,WH_BAHIA,130,25,259,51,3,0.5,2.44,2026-07-13
INV000207,PRD-00207,W03,WH_SAO_PAULO,190,36,366,73,13,0.4823,4.81,2026-07-16
INV000208,PRD-00208,W03,WH_MINAS,480,62,629,125,13,0.2381,7.91,2026-08-01
INV000209,PRD-00209,W03,WH_RIO,247,40,407,81,13,0.3946,5.16,2026-07-30
INV000210,PRD-00210,W04,WH_RIO,227,35,350,70,3,0.3533,4.0,2026-07-09
INV000211,PRD-00211,W01,WH_MINAS,355,50,503,100,9,0.2956,6.05,2026-07-20
INV000212,PRD-00212,W04,WH_MINAS,324,46,469,93,6,0.3106,5.07,2026-07-20
INV000213,PRD-00213,W01,WH_MINAS,184,32,320,64,4,0.4268,3.4,2026-07-13
INV000214,PRD-00214,W01,WH_MINAS,150,19,190,38,4,0.2147,1.88,2026-07-19
INV000215,PRD-00215,W04,WH_SAO_PAULO,346,52,526,105,10,0.3435,6.46,2026-07-28
INV000216,PRD-00216,W01,WH_MINAS,351,40,407,81,8,0.1397,5.62,2026-07-22
INV000217,PRD-00217,W02,WH_BAHIA,139,18,186,37,8,0.2567,1.93,2026-07-27
INV000218,PRD-00218,W01,WH_SAO_PAULO,339,41,419,83,4,0.1929,4.79,2026-07-17
INV000219,PRD-00219,W03,WH_BAHIA,174,27,272,54,11,0.3626,2.82,2026-07-26
INV000220,PRD-00220,W01,WH_BAHIA,470,62,623,124,3,0.2468,7.87,2026-08-03
INV000221,PRD-00221,W02,WH_RIO,112,24,244,48,7,0.5429,2.52,2026-07-17
INV000222,PRD-00222,W01,WH_MINAS,344,53,536,107,13,0.3594,6.48,2026-07-28
INV000223,PRD-00223,W04,WH_SAO_PAULO,357,66,662,132,5,0.4615,7.54,2026-07-16
INV000224,PRD-00224,W04,WH_SAO_PAULO,160,30,303,60,11,0.4737,3.6,2026-07-22
INV000225,PRD-00225,W02,WH_SAO_PAULO,302,36,365,73,7,0.1749,4.52,2026-07-18
INV000226,PRD-00226,W04,WH_BAHIA,192,44,442,88,8,0.5666,5.37,2026-08-04
INV000227,PRD-00227,W02,WH_RIO,311,40,408,81,13,0.2396,4.67,2026-07-26
INV000228,PRD-00228,W02,WH_RIO,153,17,178,35,2,0.1453,2.38,2026-07-30
INV000229,PRD-00229,W02,WH_BAHIA,195,30,304,60,9,0.3607,3.46,2026-07-30
INV000230,PRD-00230,W02,WH_MINAS,400,56,567,113,9,0.2958,6.82,2026-07-18
INV000231,PRD-00231,W01,WH_BAHIA,141,32,324,64,13,0.5662,3.55,2026-07-09
INV000232,PRD-00232,W01,WH_BAHIA,350,66,664,132,11,0.4737,7.36,2026-07-10
INV000233,PRD-00233,W03,WH_RIO,353,55,558,111,10,0.3685,6.08,2026-07-13
INV000234,PRD-00234,W04,WH_MINAS,150,32,328,65,9,0.5441,4.66,2026-08-03
INV000235,PRD-00235,W01,WH_SAO_PAULO,156,29,294,58,3,0.4712,3.76,2026-07-17
INV000236,PRD-00236,W02,WH_RIO,147,21,214,42,9,0.3163,2.79,2026-07-24
INV000237,PRD-00237,W03,WH_BAHIA,112,21,218,43,2,0.4886,3.38,2026-07-10
INV000238,PRD-00238,W01,WH_MINAS,221,32,324,64,9,0.32,3.97,2026-07-26
INV000239,PRD-00239,W01,WH_RIO,196,27,274,54,4,0.2873,2.9,2026-07-09
INV000240,PRD-00240,W01,WH_BAHIA,182,33,338,67,9,0.4631,3.99,2026-07-11
INV000241,PRD-00241,W01,WH_BAHIA,345,53,537,107,6,0.3587,6.0,2026-07-14
INV000242,PRD-00242,W01,WH_MINAS,212,40,405,81,11,0.4778,4.93,2026-07-10
INV000243,PRD-00243,W04,WH_RIO,335,51,511,102,12,0.3457,6.55,2026-07-18
INV000244,PRD-00244,W02,WH_BAHIA,198,33,338,67,3,0.4159,3.38,2026-07-29
INV000245,PRD-00245,W04,WH_BAHIA,350,40,405,81,8,0.1379,5.04,2026-07-08
INV000246,PRD-00246,W03,WH_SAO_PAULO,259,32,324,64,6,0.2031,3.48,2026-07-16
INV000247,PRD-00247,W01,WH_RIO,233,32,328,65,3,0.2918,4.51,2026-07-12
INV000248,PRD-00248,W04,WH_BAHIA,598,70,701,140,4,0.1481,8.17,2026-07-20
INV000249,PRD-00249,W02,WH_SAO_PAULO,136,28,286,57,5,0.5261,3.07,2026-07-10
INV000250,PRD-00250,W03,WH_SAO_PAULO,376,43,432,86,6,0.1316,5.19,2026-07-23
INV000251,PRD-00251,W03,WH_BAHIA,157,25,253,50,8,0.3819,3.77,2026-07-07
INV000252,PRD-00252,W04,WH_BAHIA,615,68,689,137,6,0.1087,8.05,2026-07-24
INV000253,PRD-00253,W01,WH_BAHIA,147,23,236,47,2,0.3797,2.26,2026-07-24
INV000254,PRD-00254,W04,WH_RIO,147,24,245,49,13,0.4024,3.49,2026-07-31
INV000255,PRD-00255,W02,WH_SAO_PAULO,505,56,569,113,8,0.114,7.55,2026-07-20
INV000256,PRD-00256,W03,WH_RIO,360,44,447,89,7,0.1964,5.08,2026-08-04
INV000257,PRD-00257,W01,WH_BAHIA,164,32,324,64,6,0.4954,4.59,2026-07-26
INV000258,PRD-00258,W03,WH_RIO,199,48,480,96,6,0.5863,5.67,2026-07-14
INV000259,PRD-00259,W04,WH_RIO,190,35,352,70,5,0.4618,4.91,2026-07-20
INV000260,PRD-00260,W01,WH_MINAS,220,29,291,58,13,0.2466,3.16,2026-07-31
INV000261,PRD-00261,W01,WH_SAO_PAULO,195,31,317,63,3,0.3868,4.22,2026-07-11
INV000262,PRD-00262,W01,WH_RIO,363,64,646,129,5,0.4389,7.8,2026-07-23
INV000263,PRD-00263,W04,WH_RIO,277,53,532,106,13,0.4803,6.03,2026-08-03
INV000264,PRD-00264,W03,WH_BAHIA,278,43,437,87,11,0.3653,4.73,2026-07-09
INV000265,PRD-00265,W03,WH_RIO,162,38,380,76,11,0.5748,4.87,2026-07-10
INV000266,PRD-00266,W02,WH_MINAS,212,30,304,60,7,0.3049,3.07,2026-07-09
INV000267,PRD-00267,W03,WH_MINAS,179,29,297,59,3,0.3993,4.27,2026-07-28
INV000268,PRD-00268,W03,WH_MINAS,379,52,520,104,9,0.2726,6.01,2026-07-25
INV000269,PRD-00269,W04,WH_SAO_PAULO,126,19,194,38,13,0.3538,2.17,2026-07-11
INV000270,PRD-00270,W03,WH_MINAS,134,16,168,33,5,0.2071,2.73,2026-07-24
INV000271,PRD-00271,W03,WH_RIO,301,47,473,94,2,0.365,5.11,2026-07-11
INV000272,PRD-00272,W04,WH_SAO_PAULO,252,28,281,56,13,0.1064,3.5,2026-07-12
INV000273,PRD-00273,W04,WH_MINAS,433,56,568,113,11,0.239,7.37,2026-07-15
INV000274,PRD-00274,W03,WH_BAHIA,233,54,541,108,6,0.5701,6.4,2026-07-19
INV000275,PRD-00275,W01,WH_MINAS,236,37,373,74,3,0.369,4.04,2026-08-01
INV000276,PRD-00276,W04,WH_MINAS,296,54,541,108,13,0.4539,6.14,2026-07-24
INV000277,PRD-00277,W03,WH_RIO,241,55,551,110,3,0.5634,6.43,2026-07-26
