month,revenue,profit,orders,customers,growth_rate,average_order_value,customer_lifetime_value,customer_retention,inventory_turnover,operating_margin,net_margin
2023-11,1919378.42,526385.45,17732,7681,0.0268,93.89,1292.88,0.7652,6.81,0.3242,0.2742
2023-12,1986608.4,418223.66,15245,4620,0.1193,114.12,674.96,0.8475,7.77,0.2605,0.2105
2024-01,1972210.2,571767.44,14722,6309,0.0794,87.45,932.37,0.7783,9.97,0.3399,0.2899
2024-02,2006784.86,390656.6,33589,5316,0.1297,89.0,852.89,0.9296,6.88,0.2447,0.1947
2024-03,2045138.5,341964.33,14484,6183,0.0077,80.6,908.84,0.746,7.59,0.2172,0.1672
2024-04,1981100.45,540099.39,13975,6901,0.1098,81.13,512.34,0.8588,7.03,0.3226,0.2726
2024-05,2089201.25,356323.13,32907,4802,-0.008,108.28,1280.31,0.935,7.94,0.2206,0.1706
2024-06,2090357.72,580295.85,16840,9646,0.042,95.02,1495.42,0.7128,7.62,0.3276,0.2776
2024-07,2031199.5,506954.15,18247,8097,0.114,101.3,1124.71,0.7935,5.51,0.2996,0.2496
2024-08,2149942.22,608722.55,42487,7644,0.1338,115.01,907.26,0.7611,6.11,0.3331,0.2831
2024-09,2164270.53,501446.61,15745,7461,0.0649,84.11,1352.49,0.9194,5.68,0.2817,0.2317
2024-10,2093772.2,341999.52,15167,10069,0.0105,97.44,715.92,0.8156,4.5,0.2133,0.1633
2024-11,2156782.02,412855.89,18559,7942,0.0577,110.19,1454.23,0.8595,9.93,0.2414,0.1914
2024-12,2218119.77,505858.65,21497,4721,0.0632,101.99,1213.71,0.8462,4.25,0.2781,0.2281
